family,tier,method,K_additional,improvement_pct,regret,normalized_regret,constraint_violations
BETA_TIMING,0.0,REFERENCE,0,0.0,0.010976453675797465,1.0,0.0
BETA_TIMING,0.0,REFERENCE,1,0.0,0.010976453675797465,1.0,0.0
BETA_TIMING,0.0,REFERENCE,2,0.0,0.010976453675797465,1.0,0.0
BETA_TIMING,0.0,REFERENCE,3,0.0,0.010976453675797465,1.0,0.0
BETA_TIMING,0.0,RANDOM,0,0.0,0.010976453675797465,1.0,0.0
BETA_TIMING,0.0,RANDOM,1,0.10868301382214535,0.009889623537576013,0.9484167770448774,0.9333333333333332
BETA_TIMING,0.0,RANDOM,2,0.2152803606032061,0.008823650069765406,0.8806340363160708,1.7916666666666667
BETA_TIMING,0.0,RANDOM,3,0.25706307502659564,0.008405822925531511,0.8624047146230823,2.7416666666666667
BETA_TIMING,0.0,ADAPTIVE_GREEDY,0,0.0,0.010976453675797465,1.0,0.0
BETA_TIMING,0.0,ADAPTIVE_GREEDY,1,0.6994209971196782,0.0039822437046007015,0.6666666666666674,0.6666666666666666
BETA_TIMING,0.0,ADAPTIVE_GREEDY,2,0.6994209971196782,0.0039822437046007015,0.6666666666666674,1.3333333333333333
BETA_TIMING,0.0,ADAPTIVE_GREEDY,3,0.6994209971196782,0.0039822437046007015,0.6666666666666674,2.0
BETA_TIMING,0.0,PURE_BO_EI,0,0.0,0.010976453675797465,1.0,0.0
BETA_TIMING,0.0,PURE_BO_EI,1,0.0,0.010976453675797465,1.0,1.0
BETA_TIMING,0.0,PURE_BO_EI,2,0.2914092956741406,0.008062360719056067,0.83943092068559,1.8333333333333333
BETA_TIMING,0.0,PURE_BO_EI,3,0.6883547716470059,0.004092905959327419,0.6727642540189241,2.5
BETA_TIMING,0.0,MODEL_INFORMED_BO_EI,0,0.0,0.010976453675797465,1.0,0.0
BETA_TIMING,0.0,MODEL_INFORMED_BO_EI,1,0.6994209971196782,0.0039822437046007015,0.6666666666666674,0.6666666666666666
BETA_TIMING,0.0,MODEL_INFORMED_BO_EI,2,0.6994209971196782,0.0039822437046007015,0.6666666666666674,1.3333333333333333
BETA_TIMING,0.0,MODEL_INFORMED_BO_EI,3,0.6994209971196782,0.0039822437046007015,0.6666666666666674,2.0
BETA_TIMING,0.01,REFERENCE,0,0.0,0.018075979659023383,1.0,0.0
BETA_TIMING,0.01,REFERENCE,1,0.0,0.018075979659023383,1.0,0.0
BETA_TIMING,0.01,REFERENCE,2,0.0,0.018075979659023383,1.0,0.0
BETA_TIMING,0.01,REFERENCE,3,0.0,0.018075979659023383,1.0,0.0
BETA_TIMING,0.01,RANDOM,0,0.0,0.018075979659023383,1.0,0.0
BETA_TIMING,0.01,RANDOM,1,0.32636789054592347,0.014812300753564149,0.8370105366219719,0.7000000000000001
BETA_TIMING,0.01,RANDOM,2,0.5055203511168419,0.013020776147854964,0.747461441289725,1.4000000000000001
BETA_TIMING,0.01,RANDOM,3,0.587307378736267,0.01220290587166071,0.7034688895301295,2.216666666666667
BETA_TIMING,0.01,ADAPTIVE_GREEDY,0,0.0,0.018075979659023383,1.0,0.0
BETA_TIMING,0.01,ADAPTIVE_GREEDY,1,1.7293765996987915,0.0007822136620355351,0.16666666666666743,0.16666666666666666
BETA_TIMING,0.01,ADAPTIVE_GREEDY,2,1.7293765996987915,0.0007822136620355351,0.16666666666666743,0.3333333333333333
BETA_TIMING,0.01,ADAPTIVE_GREEDY,3,1.7293765996987915,0.0007822136620355351,0.16666666666666743,0.5
BETA_TIMING,0.01,PURE_BO_EI,0,0.0,0.018075979659023383,1.0,0.0
BETA_TIMING,0.01,PURE_BO_EI,1,0.0,0.018075979659023383,1.0,1.0
BETA_TIMING,0.01,PURE_BO_EI,2,1.274661607864567,0.005329363580377717,0.3611341090880728,1.3333333333333333
BETA_TIMING,0.01,PURE_BO_EI,3,1.6716070838374322,0.0013599088206490686,0.19446744242140687,1.5
BETA_TIMING,0.01,MODEL_INFORMED_BO_EI,0,0.0,0.018075979659023383,1.0,0.0
BETA_TIMING,0.01,MODEL_INFORMED_BO_EI,1,1.7293765996987915,0.0007822136620355351,0.16666666666666743,0.16666666666666666
BETA_TIMING,0.01,MODEL_INFORMED_BO_EI,2,1.7293765996987915,0.0007822136620355351,0.16666666666666743,0.3333333333333333
BETA_TIMING,0.01,MODEL_INFORMED_BO_EI,3,1.7293765996987915,0.0007822136620355351,0.16666666666666743,0.5
BETA_TIMING,0.02,REFERENCE,0,0.0,0.01874624794998965,1.0,0.0
BETA_TIMING,0.02,REFERENCE,1,0.0,0.01874624794998965,1.0,0.0
BETA_TIMING,0.02,REFERENCE,2,0.0,0.01874624794998965,1.0,0.0
BETA_TIMING,0.02,REFERENCE,3,0.0,0.01874624794998965,1.0,0.0
BETA_TIMING,0.02,RANDOM,0,0.0,0.01874624794998965,1.0,0.0
