model,family,tier,method,seed,K_additional,executed_trials,best_E3,improvement_pct,oracle_E3,headroom,regret,normalized_regret,constraint_violations
LEG_0_NOMINAL,BETA_TIMING,0.0,RANDOM,7,1,2,1.0,0.0,0.9858631791723752,0.014136820827624796,0.014136820827624796,1.0,1
LEG_0_NOMINAL,BETA_TIMING,0.0,RANDOM,7,2,3,1.0,0.0,0.9858631791723752,0.014136820827624796,0.014136820827624796,1.0,2
LEG_0_NOMINAL,BETA_TIMING,0.0,RANDOM,7,3,4,1.0,0.0,0.9858631791723752,0.014136820827624796,0.014136820827624796,1.0,3
LEG_0_NOMINAL,BETA_TIMING,0.0,RANDOM,8,0,1,1.0,0.0,0.9858631791723752,0.014136820827624796,0.014136820827624796,1.0,0
LEG_0_NOMINAL,BETA_TIMING,0.0,RANDOM,8,1,2,1.0,0.0,0.9858631791723752,0.014136820827624796,0.014136820827624796,1.0,1
LEG_0_NOMINAL,BETA_TIMING,0.0,RANDOM,8,2,3,1.0,0.0,0.9858631791723752,0.014136820827624796,0.014136820827624796,1.0,2
LEG_0_NOMINAL,BETA_TIMING,0.0,RANDOM,8,3,4,1.0,0.0,0.9858631791723752,0.014136820827624796,0.014136820827624796,1.0,3
LEG_0_NOMINAL,BETA_TIMING,0.0,RANDOM,9,0,1,1.0,0.0,0.9858631791723752,0.014136820827624796,0.014136820827624796,1.0,0
LEG_0_NOMINAL,BETA_TIMING,0.0,RANDOM,9,1,2,1.0,0.0,0.9858631791723752,0.014136820827624796,0.014136820827624796,1.0,1
LEG_0_NOMINAL,BETA_TIMING,0.0,RANDOM,9,2,3,1.0,0.0,0.9858631791723752,0.014136820827624796,0.014136820827624796,1.0,2
LEG_0_NOMINAL,BETA_TIMING,0.0,RANDOM,9,3,4,1.0,0.0,0.9858631791723752,0.014136820827624796,0.014136820827624796,1.0,3
LEG_0_NOMINAL,BETA_TIMING,0.0,RANDOM,10,0,1,1.0,0.0,0.9858631791723752,0.014136820827624796,0.014136820827624796,1.0,0
LEG_0_NOMINAL,BETA_TIMING,0.0,RANDOM,10,1,2,1.0,0.0,0.9858631791723752,0.014136820827624796,0.014136820827624796,1.0,1
LEG_0_NOMINAL,BETA_TIMING,0.0,RANDOM,10,2,3,1.0,0.0,0.9858631791723752,0.014136820827624796,0.014136820827624796,1.0,2
LEG_0_NOMINAL,BETA_TIMING,0.0,RANDOM,10,3,4,1.0,0.0,0.9858631791723752,0.014136820827624796,0.014136820827624796,1.0,3
LEG_0_NOMINAL,BETA_TIMING,0.0,RANDOM,11,0,1,1.0,0.0,0.9858631791723752,0.014136820827624796,0.014136820827624796,1.0,0
LEG_0_NOMINAL,BETA_TIMING,0.0,RANDOM,11,1,2,1.0,0.0,0.9858631791723752,0.014136820827624796,0.014136820827624796,1.0,1
LEG_0_NOMINAL,BETA_TIMING,0.0,RANDOM,11,2,3,1.0,0.0,0.9858631791723752,0.014136820827624796,0.014136820827624796,1.0,2
LEG_0_NOMINAL,BETA_TIMING,0.0,RANDOM,11,3,4,1.0,0.0,0.9858631791723752,0.014136820827624796,0.014136820827624796,1.0,3
LEG_0_NOMINAL,BETA_TIMING,0.0,RANDOM,12,0,1,1.0,0.0,0.9858631791723752,0.014136820827624796,0.014136820827624796,1.0,0
LEG_0_NOMINAL,BETA_TIMING,0.0,RANDOM,12,1,2,1.0,0.0,0.9858631791723752,0.014136820827624796,0.014136820827624796,1.0,1
LEG_0_NOMINAL,BETA_TIMING,0.0,RANDOM,12,2,3,1.0,0.0,0.9858631791723752,0.014136820827624796,0.014136820827624796,1.0,2
LEG_0_NOMINAL,BETA_TIMING,0.0,RANDOM,12,3,4,1.0,0.0,0.9858631791723752,0.014136820827624796,0.014136820827624796,1.0,3
LEG_0_NOMINAL,BETA_TIMING,0.0,RANDOM,13,0,1,1.0,0.0,0.9858631791723752,0.014136820827624796,0.014136820827624796,1.0,0
LEG_0_NOMINAL,BETA_TIMING,0.0,RANDOM,13,1,2,1.0,0.0,0.9858631791723752,0.014136820827624796,0.014136820827624796,1.0,1
LEG_0_NOMINAL,BETA_TIMING,0.0,RANDOM,13,2,3,1.0,0.0,0.9858631791723752,0.014136820827624796,0.014136820827624796,1.0,2
LEG_0_NOMINAL,BETA_TIMING,0.0,RANDOM,13,3,4,1.0,0.0,0.9858631791723752,0.014136820827624796,0.014136820827624796,1.0,3
LEG_0_NOMINAL,BETA_TIMING,0.0,RANDOM,14,0,1,1.0,0.0,0.9858631791723752,0.014136820827624796,0.014136820827624796,1.0,0
LEG_0_NOMINAL,BETA_TIMING,0.0,RANDOM,14,1,2,1.0,0.0,0.9858631791723752,0.014136820827624796,0.014136820827624796,1.0,1
LEG_0_NOMINAL,BETA_TIMING,0.0,RANDOM,14,2,3,1.0,0.0,0.9858631791723752,0.014136820827624796,0.014136820827624796,1.0,2
LEG_0_NOMINAL,BETA_TIMING,0.0,RANDOM,14,3,4,1.0,0.0,0.9858631791723752,0.014136820827624796,0.014136820827624796,1.0,3
LEG_0_NOMINAL,BETA_TIMING,0.0,RANDOM,15,0,1,1.0,0.0,0.9858631791723752,0.014136820827624796,0.014136820827624796,1.0,0
