pair_class,pair_instance_count,unique_case_count,mean_e_delta_J,p95_e_delta_J,p99_e_delta_J,max_e_delta_J,pearson_delta_pred_vs_actual,spearman_delta_pred_vs_actual,pearson_error_vs_abs_actual_delta,spearman_error_vs_abs_actual_delta,formal_local_alpha_relationship,evidence_role,threshold_frozen
CURRENT_GLOBAL_IDENTIFICATION_EXCITATION_PAIR_INSTANCES,61,9,0.00850543051743,0.00753215325456,0.193060871556,0.216052982758,0.96316317243,0.949735086511,0.206443330756,0.226171981926,False,DESIGNATED_VALIDATION_BUT_NOT_PERSONALIZATION_ALPHA_SCALE,False
RETROSPECTIVE_LOCAL_DECISION_OPPORTUNITY_PAIRS,341,9,2.22800743848e-05,2.412448282e-05,0.000863147481512,0.00170839435891,0.998765630324,0.998445489665,0.219459836315,-0.0447454056047,True,RETROSPECTIVE_LOCAL_DECISION_OPPORTUNITY_CANDIDATE_NOT_DESIGNATED_VALIDATION,False
