path_id,case_id,coordinate,direction,prototype_variant_id,evaluated_horizon_sequence,selected_horizon_steps,predicted_endpoint_delta_J,truth_endpoint_delta_J_posthoc,direction_consistency_pass,magnitude_gate_pass,direction_gate_pass,recovered_small_step_path,intermediate_trajectories_executed,truth_used_for_authorization,truth_attached_posthoc_only
prospective_accumulation_01,prospective_subject_001__matched_linear,knee,NEGATIVE,H3_ADAPTIVE_HORIZON,1;2;3;5,5,-0.00792307022394,-0.00792307022393,True,True,True,True,False,False,True
prospective_accumulation_02,prospective_subject_001__nonlinear_stiffness_strong,knee,NEGATIVE,H3_ADAPTIVE_HORIZON,1;2;3;5,5,-0.00568672647028,-0.0129156035515,True,True,True,True,False,False,True
prospective_accumulation_03,prospective_subject_001__nonlinear_stiffness_strong,knee,NEGATIVE,H3_ADAPTIVE_HORIZON,1;2;3;5,5,-0.00568672647028,-0.0129156035515,True,True,True,True,False,False,True
prospective_accumulation_04,prospective_subject_001__nonlinear_stiffness_strong,knee,NEGATIVE,H3_ADAPTIVE_HORIZON,1;2;3;5,5,-0.00568672647028,-0.0129156035515,True,True,True,True,False,False,True
prospective_accumulation_05,prospective_subject_002__matched_linear,knee,NEGATIVE,H3_ADAPTIVE_HORIZON,1;2;3;5,5,-0.00627863894776,-0.00627863894788,True,True,True,True,False,False,True
prospective_accumulation_06,prospective_subject_002__hip_knee_coupling_strong,knee,NEGATIVE,H3_ADAPTIVE_HORIZON,1;2;3;5,5,-0.00641952663804,-0.00699144118431,True,True,True,True,False,False,True
prospective_accumulation_07,prospective_subject_003__matched_linear,knee,NEGATIVE,H3_ADAPTIVE_HORIZON,1;2;3;5,5,-0.00670816217832,-0.00670816217832,True,True,True,True,False,False,True
prospective_accumulation_08,prospective_subject_003__combined_strong,knee,NEGATIVE,H3_ADAPTIVE_HORIZON,1;2;3;5,5,-0.00571759915175,-0.0113573784518,True,True,True,True,False,False,True
prospective_accumulation_09,prospective_subject_003__combined_strong,knee,NEGATIVE,H3_ADAPTIVE_HORIZON,1;2;3;5,5,-0.00571759915175,-0.0113573784518,True,True,True,True,False,False,True
