case_id,subject_id,scenario_name,framework_id,horizon_steps,final_alpha_hip,final_alpha_knee,final_alpha_phase,truth_optimum_alpha_hip_posthoc,truth_optimum_alpha_knee_posthoc,truth_optimum_alpha_phase_posthoc,hip_grid_steps_from_truth_optimum,knee_grid_steps_from_truth_optimum,phase_grid_steps_from_truth_optimum,generator_grid_L1_steps_from_truth_optimum,final_alpha_is_neutral,final_J,global_regret,truth_used_for_selection,truth_attached_posthoc_only,distance_is_physical,distance_definition,unique_final_alpha_count_within_framework,source_framework_id,prototype_variant_id
prospective_subject_001__matched_linear,prospective_subject_001,matched_linear,H1_SINGLE_STEP_ONLY,1,0,0,0,2,-5,0.0125,-8,20,-5,33,True,1,0.0350667794579,False,True,False,L1_COUNT_OF_EXISTING_FORMAL_GENERATOR_GRID_UNITS,2,SINGLE_STEP,H1_SINGLE_STEP_ONLY
prospective_subject_001__matched_linear,prospective_subject_001,matched_linear,H2_FIXED_BUNDLE_5,5,0,-5,0,2,-5,0.0125,-8,0,-5,13,False,0.969202794811,0.00427479418365,False,True,False,L1_COUNT_OF_EXISTING_FORMAL_GENERATOR_GRID_UNITS,1,BUNDLE_5,H2_FIXED_BUNDLE_5
prospective_subject_001__nonlinear_stiffness_strong,prospective_subject_001,nonlinear_stiffness_strong,H1_SINGLE_STEP_ONLY,1,0,0,0,-5,-5,-0.025,20,20,10,50,True,1,0.0609777702223,False,True,False,L1_COUNT_OF_EXISTING_FORMAL_GENERATOR_GRID_UNITS,2,SINGLE_STEP,H1_SINGLE_STEP_ONLY
prospective_subject_001__nonlinear_stiffness_strong,prospective_subject_001,nonlinear_stiffness_strong,H2_FIXED_BUNDLE_5,5,0,-5,0,-5,-5,-0.025,20,0,10,30,False,0.950858011384,0.011839598975,False,True,False,L1_COUNT_OF_EXISTING_FORMAL_GENERATOR_GRID_UNITS,1,BUNDLE_5,H2_FIXED_BUNDLE_5
prospective_subject_002__matched_linear,prospective_subject_002,matched_linear,H1_SINGLE_STEP_ONLY,1,0,0,0,2,-5,0.03,-8,20,-12,40,True,1,0.0258263082185,False,True,False,L1_COUNT_OF_EXISTING_FORMAL_GENERATOR_GRID_UNITS,2,SINGLE_STEP,H1_SINGLE_STEP_ONLY
prospective_subject_002__matched_linear,prospective_subject_002,matched_linear,H2_FIXED_BUNDLE_5,5,0,-5,0,2,-5,0.03,-8,0,-12,20,False,0.975317392642,0.0011472991471,False,True,False,L1_COUNT_OF_EXISTING_FORMAL_GENERATOR_GRID_UNITS,1,BUNDLE_5,H2_FIXED_BUNDLE_5
prospective_subject_002__hip_knee_coupling_strong,prospective_subject_002,hip_knee_coupling_strong,H1_SINGLE_STEP_ONLY,1,0,0,0,2,-5,0.03,-8,20,-12,40,True,1,0.0291011844616,False,True,False,L1_COUNT_OF_EXISTING_FORMAL_GENERATOR_GRID_UNITS,2,SINGLE_STEP,H1_SINGLE_STEP_ONLY
prospective_subject_002__hip_knee_coupling_strong,prospective_subject_002,hip_knee_coupling_strong,H2_FIXED_BUNDLE_5,5,0,-5,0,2,-5,0.03,-8,0,-12,20,False,0.972657012595,0.00176155816821,False,True,False,L1_COUNT_OF_EXISTING_FORMAL_GENERATOR_GRID_UNITS,1,BUNDLE_5,H2_FIXED_BUNDLE_5
prospective_subject_003__matched_linear,prospective_subject_003,matched_linear,H1_SINGLE_STEP_ONLY,1,0,0,0,2,-5,0.03,-8,20,-12,40,True,1,0.0271274717933,False,True,False,L1_COUNT_OF_EXISTING_FORMAL_GENERATOR_GRID_UNITS,2,SINGLE_STEP,H1_SINGLE_STEP_ONLY
prospective_subject_003__matched_linear,prospective_subject_003,matched_linear,H2_FIXED_BUNDLE_5,5,0,-5,0,2,-5,0.03,-8,0,-12,20,False,0.973706313745,0.000837074344438,False,True,False,L1_COUNT_OF_EXISTING_FORMAL_GENERATOR_GRID_UNITS,1,BUNDLE_5,H2_FIXED_BUNDLE_5
