row_scope,prototype_variant_id,case_id,subject_id,scenario_name,horizon_steps,endpoint_authorization_count,intermediate_trajectory_execution_count
CASE,H1_SINGLE_STEP_ONLY,prospective_subject_002__hip_knee_coupling_strong,prospective_subject_002,hip_knee_coupling_strong,1,0,0
CASE,H1_SINGLE_STEP_ONLY,prospective_subject_002__hip_knee_coupling_strong,prospective_subject_002,hip_knee_coupling_strong,2,0,0
CASE,H1_SINGLE_STEP_ONLY,prospective_subject_002__hip_knee_coupling_strong,prospective_subject_002,hip_knee_coupling_strong,3,0,0
CASE,H1_SINGLE_STEP_ONLY,prospective_subject_002__hip_knee_coupling_strong,prospective_subject_002,hip_knee_coupling_strong,5,0,0
CASE,H1_SINGLE_STEP_ONLY,prospective_subject_003__matched_linear,prospective_subject_003,matched_linear,1,0,0
CASE,H1_SINGLE_STEP_ONLY,prospective_subject_003__matched_linear,prospective_subject_003,matched_linear,2,0,0
CASE,H1_SINGLE_STEP_ONLY,prospective_subject_003__matched_linear,prospective_subject_003,matched_linear,3,0,0
CASE,H1_SINGLE_STEP_ONLY,prospective_subject_003__matched_linear,prospective_subject_003,matched_linear,5,0,0
CASE,H1_SINGLE_STEP_ONLY,prospective_subject_003__combined_strong,prospective_subject_003,combined_strong,1,0,0
CASE,H1_SINGLE_STEP_ONLY,prospective_subject_003__combined_strong,prospective_subject_003,combined_strong,2,0,0
CASE,H1_SINGLE_STEP_ONLY,prospective_subject_003__combined_strong,prospective_subject_003,combined_strong,3,0,0
CASE,H1_SINGLE_STEP_ONLY,prospective_subject_003__combined_strong,prospective_subject_003,combined_strong,5,0,0
ALL_CASES,H1_SINGLE_STEP_ONLY,ALL_CASES,ALL_SUBJECTS,ALL_SCENARIOS,1,0,0
ALL_CASES,H1_SINGLE_STEP_ONLY,ALL_CASES,ALL_SUBJECTS,ALL_SCENARIOS,2,0,0
ALL_CASES,H1_SINGLE_STEP_ONLY,ALL_CASES,ALL_SUBJECTS,ALL_SCENARIOS,3,0,0
ALL_CASES,H1_SINGLE_STEP_ONLY,ALL_CASES,ALL_SUBJECTS,ALL_SCENARIOS,5,0,0
CASE,H2_FIXED_BUNDLE_5,baseline__matched_linear,baseline,matched_linear,1,0,0
CASE,H2_FIXED_BUNDLE_5,baseline__matched_linear,baseline,matched_linear,2,0,0
CASE,H2_FIXED_BUNDLE_5,baseline__matched_linear,baseline,matched_linear,3,0,0
CASE,H2_FIXED_BUNDLE_5,baseline__matched_linear,baseline,matched_linear,5,4,0
CASE,H2_FIXED_BUNDLE_5,hip_stiff__matched_linear,hip_stiff,matched_linear,1,0,0
CASE,H2_FIXED_BUNDLE_5,hip_stiff__matched_linear,hip_stiff,matched_linear,2,0,0
CASE,H2_FIXED_BUNDLE_5,hip_stiff__matched_linear,hip_stiff,matched_linear,3,0,0
CASE,H2_FIXED_BUNDLE_5,hip_stiff__matched_linear,hip_stiff,matched_linear,5,4,0
CASE,H2_FIXED_BUNDLE_5,knee_stiff__matched_linear,knee_stiff,matched_linear,1,0,0
CASE,H2_FIXED_BUNDLE_5,knee_stiff__matched_linear,knee_stiff,matched_linear,2,0,0
CASE,H2_FIXED_BUNDLE_5,knee_stiff__matched_linear,knee_stiff,matched_linear,3,0,0
CASE,H2_FIXED_BUNDLE_5,knee_stiff__matched_linear,knee_stiff,matched_linear,5,4,0
CASE,H2_FIXED_BUNDLE_5,heavy_leg__matched_linear,heavy_leg,matched_linear,1,0,0
CASE,H2_FIXED_BUNDLE_5,heavy_leg__matched_linear,heavy_leg,matched_linear,2,0,0
CASE,H2_FIXED_BUNDLE_5,heavy_leg__matched_linear,heavy_leg,matched_linear,3,0,0
CASE,H2_FIXED_BUNDLE_5,heavy_leg__matched_linear,heavy_leg,matched_linear,5,4,0
CASE,H2_FIXED_BUNDLE_5,baseline__nonlinear_stiffness_mild,baseline,nonlinear_stiffness_mild,1,0,0
CASE,H2_FIXED_BUNDLE_5,baseline__nonlinear_stiffness_mild,baseline,nonlinear_stiffness_mild,2,0,0
CASE,H2_FIXED_BUNDLE_5,baseline__nonlinear_stiffness_mild,baseline,nonlinear_stiffness_mild,3,0,0
CASE,H2_FIXED_BUNDLE_5,baseline__nonlinear_stiffness_mild,baseline,nonlinear_stiffness_mild,5,4,0
CASE,H2_FIXED_BUNDLE_5,baseline__hip_knee_coupling_mild,baseline,hip_knee_coupling_mild,1,0,0
CASE,H2_FIXED_BUNDLE_5,baseline__hip_knee_coupling_mild,baseline,hip_knee_coupling_mild,2,0,0
CASE,H2_FIXED_BUNDLE_5,baseline__hip_knee_coupling_mild,baseline,hip_knee_coupling_mild,3,0,0
CASE,H2_FIXED_BUNDLE_5,baseline__hip_knee_coupling_mild,baseline,hip_knee_coupling_mild,5,4,0
CASE,H2_FIXED_BUNDLE_5,baseline__nonlinear_damping_mild,baseline,nonlinear_damping_mild,1,0,0
CASE,H2_FIXED_BUNDLE_5,baseline__nonlinear_damping_mild,baseline,nonlinear_damping_mild,2,0,0
CASE,H2_FIXED_BUNDLE_5,baseline__nonlinear_damping_mild,baseline,nonlinear_damping_mild,3,0,0
CASE,H2_FIXED_BUNDLE_5,baseline__nonlinear_damping_mild,baseline,nonlinear_damping_mild,5,4,0
CASE,H2_FIXED_BUNDLE_5,baseline__structured_residual,baseline,structured_residual,1,0,0
CASE,H2_FIXED_BUNDLE_5,baseline__structured_residual,baseline,structured_residual,2,0,0
CASE,H2_FIXED_BUNDLE_5,baseline__structured_residual,baseline,structured_residual,3,0,0
CASE,H2_FIXED_BUNDLE_5,baseline__structured_residual,baseline,structured_residual,5,4,0
CASE,H2_FIXED_BUNDLE_5,baseline__combined_mild,baseline,combined_mild,1,0,0
CASE,H2_FIXED_BUNDLE_5,baseline__combined_mild,baseline,combined_mild,2,0,0
CASE,H2_FIXED_BUNDLE_5,baseline__combined_mild,baseline,combined_mild,3,0,0
CASE,H2_FIXED_BUNDLE_5,baseline__combined_mild,baseline,combined_mild,5,4,0
CASE,H2_FIXED_BUNDLE_5,prospective_subject_001__matched_linear,prospective_subject_001,matched_linear,1,0,0
CASE,H2_FIXED_BUNDLE_5,prospective_subject_001__matched_linear,prospective_subject_001,matched_linear,2,0,0
CASE,H2_FIXED_BUNDLE_5,prospective_subject_001__matched_linear,prospective_subject_001,matched_linear,3,0,0
CASE,H2_FIXED_BUNDLE_5,prospective_subject_001__matched_linear,prospective_subject_001,matched_linear,5,4,0
CASE,H2_FIXED_BUNDLE_5,prospective_subject_001__nonlinear_stiffness_strong,prospective_subject_001,nonlinear_stiffness_strong,1,0,0
CASE,H2_FIXED_BUNDLE_5,prospective_subject_001__nonlinear_stiffness_strong,prospective_subject_001,nonlinear_stiffness_strong,2,0,0
CASE,H2_FIXED_BUNDLE_5,prospective_subject_001__nonlinear_stiffness_strong,prospective_subject_001,nonlinear_stiffness_strong,3,0,0
CASE,H2_FIXED_BUNDLE_5,prospective_subject_001__nonlinear_stiffness_strong,prospective_subject_001,nonlinear_stiffness_strong,5,4,0
CASE,H2_FIXED_BUNDLE_5,prospective_subject_002__matched_linear,prospective_subject_002,matched_linear,1,0,0
CASE,H2_FIXED_BUNDLE_5,prospective_subject_002__matched_linear,prospective_subject_002,matched_linear,2,0,0
CASE,H2_FIXED_BUNDLE_5,prospective_subject_002__matched_linear,prospective_subject_002,matched_linear,3,0,0
CASE,H2_FIXED_BUNDLE_5,prospective_subject_002__matched_linear,prospective_subject_002,matched_linear,5,4,0
CASE,H2_FIXED_BUNDLE_5,prospective_subject_002__hip_knee_coupling_strong,prospective_subject_002,hip_knee_coupling_strong,1,0,0
CASE,H2_FIXED_BUNDLE_5,prospective_subject_002__hip_knee_coupling_strong,prospective_subject_002,hip_knee_coupling_strong,2,0,0
CASE,H2_FIXED_BUNDLE_5,prospective_subject_002__hip_knee_coupling_strong,prospective_subject_002,hip_knee_coupling_strong,3,0,0
CASE,H2_FIXED_BUNDLE_5,prospective_subject_002__hip_knee_coupling_strong,prospective_subject_002,hip_knee_coupling_strong,5,4,0
CASE,H2_FIXED_BUNDLE_5,prospective_subject_003__matched_linear,prospective_subject_003,matched_linear,1,0,0
CASE,H2_FIXED_BUNDLE_5,prospective_subject_003__matched_linear,prospective_subject_003,matched_linear,2,0,0
CASE,H2_FIXED_BUNDLE_5,prospective_subject_003__matched_linear,prospective_subject_003,matched_linear,3,0,0
CASE,H2_FIXED_BUNDLE_5,prospective_subject_003__matched_linear,prospective_subject_003,matched_linear,5,4,0
CASE,H2_FIXED_BUNDLE_5,prospective_subject_003__combined_strong,prospective_subject_003,combined_strong,1,0,0
CASE,H2_FIXED_BUNDLE_5,prospective_subject_003__combined_strong,prospective_subject_003,combined_strong,2,0,0
CASE,H2_FIXED_BUNDLE_5,prospective_subject_003__combined_strong,prospective_subject_003,combined_strong,3,0,0
CASE,H2_FIXED_BUNDLE_5,prospective_subject_003__combined_strong,prospective_subject_003,combined_strong,5,4,0
ALL_CASES,H2_FIXED_BUNDLE_5,ALL_CASES,ALL_SUBJECTS,ALL_SCENARIOS,1,0,0
ALL_CASES,H2_FIXED_BUNDLE_5,ALL_CASES,ALL_SUBJECTS,ALL_SCENARIOS,2,0,0
ALL_CASES,H2_FIXED_BUNDLE_5,ALL_CASES,ALL_SUBJECTS,ALL_SCENARIOS,3,0,0
ALL_CASES,H2_FIXED_BUNDLE_5,ALL_CASES,ALL_SUBJECTS,ALL_SCENARIOS,5,60,0
CASE,H3_ADAPTIVE_HORIZON,baseline__matched_linear,baseline,matched_linear,1,0,0
CASE,H3_ADAPTIVE_HORIZON,baseline__matched_linear,baseline,matched_linear,2,0,0
CASE,H3_ADAPTIVE_HORIZON,baseline__matched_linear,baseline,matched_linear,3,0,0
CASE,H3_ADAPTIVE_HORIZON,baseline__matched_linear,baseline,matched_linear,5,4,0
CASE,H3_ADAPTIVE_HORIZON,hip_stiff__matched_linear,hip_stiff,matched_linear,1,0,0
CASE,H3_ADAPTIVE_HORIZON,hip_stiff__matched_linear,hip_stiff,matched_linear,2,0,0
CASE,H3_ADAPTIVE_HORIZON,hip_stiff__matched_linear,hip_stiff,matched_linear,3,0,0
CASE,H3_ADAPTIVE_HORIZON,hip_stiff__matched_linear,hip_stiff,matched_linear,5,4,0
CASE,H3_ADAPTIVE_HORIZON,knee_stiff__matched_linear,knee_stiff,matched_linear,1,0,0
CASE,H3_ADAPTIVE_HORIZON,knee_stiff__matched_linear,knee_stiff,matched_linear,2,0,0
CASE,H3_ADAPTIVE_HORIZON,knee_stiff__matched_linear,knee_stiff,matched_linear,3,0,0
CASE,H3_ADAPTIVE_HORIZON,knee_stiff__matched_linear,knee_stiff,matched_linear,5,4,0
CASE,H3_ADAPTIVE_HORIZON,heavy_leg__matched_linear,heavy_leg,matched_linear,1,0,0
CASE,H3_ADAPTIVE_HORIZON,heavy_leg__matched_linear,heavy_leg,matched_linear,2,0,0
CASE,H3_ADAPTIVE_HORIZON,heavy_leg__matched_linear,heavy_leg,matched_linear,3,1,0
CASE,H3_ADAPTIVE_HORIZON,heavy_leg__matched_linear,heavy_leg,matched_linear,5,3,0
CASE,H3_ADAPTIVE_HORIZON,baseline__nonlinear_stiffness_mild,baseline,nonlinear_stiffness_mild,1,0,0
CASE,H3_ADAPTIVE_HORIZON,baseline__nonlinear_stiffness_mild,baseline,nonlinear_stiffness_mild,2,0,0
CASE,H3_ADAPTIVE_HORIZON,baseline__nonlinear_stiffness_mild,baseline,nonlinear_stiffness_mild,3,0,0
CASE,H3_ADAPTIVE_HORIZON,baseline__nonlinear_stiffness_mild,baseline,nonlinear_stiffness_mild,5,4,0
CASE,H3_ADAPTIVE_HORIZON,baseline__hip_knee_coupling_mild,baseline,hip_knee_coupling_mild,1,0,0
CASE,H3_ADAPTIVE_HORIZON,baseline__hip_knee_coupling_mild,baseline,hip_knee_coupling_mild,2,0,0
CASE,H3_ADAPTIVE_HORIZON,baseline__hip_knee_coupling_mild,baseline,hip_knee_coupling_mild,3,0,0
CASE,H3_ADAPTIVE_HORIZON,baseline__hip_knee_coupling_mild,baseline,hip_knee_coupling_mild,5,4,0
CASE,H3_ADAPTIVE_HORIZON,baseline__nonlinear_damping_mild,baseline,nonlinear_damping_mild,1,0,0
CASE,H3_ADAPTIVE_HORIZON,baseline__nonlinear_damping_mild,baseline,nonlinear_damping_mild,2,0,0
CASE,H3_ADAPTIVE_HORIZON,baseline__nonlinear_damping_mild,baseline,nonlinear_damping_mild,3,0,0
CASE,H3_ADAPTIVE_HORIZON,baseline__nonlinear_damping_mild,baseline,nonlinear_damping_mild,5,4,0
CASE,H3_ADAPTIVE_HORIZON,baseline__structured_residual,baseline,structured_residual,1,0,0
CASE,H3_ADAPTIVE_HORIZON,baseline__structured_residual,baseline,structured_residual,2,0,0
CASE,H3_ADAPTIVE_HORIZON,baseline__structured_residual,baseline,structured_residual,3,0,0
CASE,H3_ADAPTIVE_HORIZON,baseline__structured_residual,baseline,structured_residual,5,4,0
CASE,H3_ADAPTIVE_HORIZON,baseline__combined_mild,baseline,combined_mild,1,0,0
CASE,H3_ADAPTIVE_HORIZON,baseline__combined_mild,baseline,combined_mild,2,0,0
CASE,H3_ADAPTIVE_HORIZON,baseline__combined_mild,baseline,combined_mild,3,0,0
CASE,H3_ADAPTIVE_HORIZON,baseline__combined_mild,baseline,combined_mild,5,4,0
CASE,H3_ADAPTIVE_HORIZON,prospective_subject_001__matched_linear,prospective_subject_001,matched_linear,1,0,0
CASE,H3_ADAPTIVE_HORIZON,prospective_subject_001__matched_linear,prospective_subject_001,matched_linear,2,0,0
CASE,H3_ADAPTIVE_HORIZON,prospective_subject_001__matched_linear,prospective_subject_001,matched_linear,3,0,0
CASE,H3_ADAPTIVE_HORIZON,prospective_subject_001__matched_linear,prospective_subject_001,matched_linear,5,4,0
CASE,H3_ADAPTIVE_HORIZON,prospective_subject_001__nonlinear_stiffness_strong,prospective_subject_001,nonlinear_stiffness_strong,1,0,0
CASE,H3_ADAPTIVE_HORIZON,prospective_subject_001__nonlinear_stiffness_strong,prospective_subject_001,nonlinear_stiffness_strong,2,0,0
CASE,H3_ADAPTIVE_HORIZON,prospective_subject_001__nonlinear_stiffness_strong,prospective_subject_001,nonlinear_stiffness_strong,3,0,0
CASE,H3_ADAPTIVE_HORIZON,prospective_subject_001__nonlinear_stiffness_strong,prospective_subject_001,nonlinear_stiffness_strong,5,4,0
CASE,H3_ADAPTIVE_HORIZON,prospective_subject_002__matched_linear,prospective_subject_002,matched_linear,1,0,0
CASE,H3_ADAPTIVE_HORIZON,prospective_subject_002__matched_linear,prospective_subject_002,matched_linear,2,0,0
CASE,H3_ADAPTIVE_HORIZON,prospective_subject_002__matched_linear,prospective_subject_002,matched_linear,3,0,0
CASE,H3_ADAPTIVE_HORIZON,prospective_subject_002__matched_linear,prospective_subject_002,matched_linear,5,4,0
CASE,H3_ADAPTIVE_HORIZON,prospective_subject_002__hip_knee_coupling_strong,prospective_subject_002,hip_knee_coupling_strong,1,0,0
