case_id,subject_id,scenario_name,policy_id,framework_id,horizon_steps,iteration,trial_purpose,selection_mode,trajectory_id,alpha_hip,alpha_knee,alpha_phase,operating_alpha_hip_before,operating_alpha_knee_before,operating_alpha_phase_before,operating_alpha_hip_after,operating_alpha_knee_after,operating_alpha_phase_after,J_pred,actual_J,operating_actual_J_before,best_actual_J_before,best_actual_J_after,delta_J_pred_endpoint,delta_J_actual_vs_operating,accepted_meaningful_improvement,executed_false_improvement,evaluated_horizon_sequence,adaptive_escalation_stop_reason,latent_intermediate_count,intermediate_execution_count,endpoint_execution_count,model_refit_after_execution,full_map_recomputed_after_execution,authorization_invalidated_after_execution,truth_accessed_before_selection,manifest_sha_verified_before_truth,execution_status,cumulative_regret_vs_best_before,stop_reason_after_iteration
baseline__matched_linear,baseline,matched_linear,H3_ADAPTIVE_HORIZON,H3_ADAPTIVE_HORIZON,0,12,EXPLORE,EXPLORE,asym_h+2.000_k+0.000_p+0.00000,2,0,0,0,-5,0,0,-5,0,0.996206194737,0.996205813345,0.971228759614,0.971228759614,0.971228759614,0.0249726521134,0.0249770537307,False,False,1;2;3;5,MAXIMUM_HORIZON_EVALUATED_WITHOUT_ELIGIBLE_ENDPOINT,0,0,0,True,True,False,False,True,EXECUTED,0.184661545196,
hip_stiff__matched_linear,hip_stiff,matched_linear,H3_ADAPTIVE_HORIZON,H3_ADAPTIVE_HORIZON,0,1,EXPLORE,EXPLORE,asym_h+0.250_k+0.000_p+0.00000,0.25,0,0,0,0,0,0,0,0,0.999931323653,0.999930463492,1,1,1,-6.86763465457e-05,-6.95365076068e-05,False,False,1,NO_CONSISTENT_NONDECISION_VALID_DIRECTION,0,0,0,True,True,False,False,True,EXECUTED,0,
hip_stiff__matched_linear,hip_stiff,matched_linear,H3_ADAPTIVE_HORIZON,H3_ADAPTIVE_HORIZON,5,2,EXPLOIT,ADAPTIVE_DIRECT_ENDPOINT_H5,asym_h+0.000_k-1.250_p+0.00000,0,-1.25,0,0,0,0,0,-1.25,0,0.992585589095,0.992582871522,1,1,0.992582871522,-0.0074144109054,-0.00741712847757,True,False,1;2;3;5,FIRST_ELIGIBLE_HORIZON_SELECTED,4,0,1,True,True,True,False,True,EXECUTED,0,
hip_stiff__matched_linear,hip_stiff,matched_linear,H3_ADAPTIVE_HORIZON,H3_ADAPTIVE_HORIZON,5,3,EXPLOIT,ADAPTIVE_DIRECT_ENDPOINT_H5,asym_h+0.000_k-2.500_p+0.00000,0,-2.5,0,0,-1.25,0,0,-2.5,0,0.98529465763,0.985291920941,0.992582871522,0.992582871522,0.985291920941,-0.00729093146412,-0.00729095058154,True,False,1;2;3;5,FIRST_ELIGIBLE_HORIZON_SELECTED,4,0,1,True,True,True,False,True,EXECUTED,0,
hip_stiff__matched_linear,hip_stiff,matched_linear,H3_ADAPTIVE_HORIZON,H3_ADAPTIVE_HORIZON,5,4,EXPLOIT,ADAPTIVE_DIRECT_ENDPOINT_H5,asym_h+0.000_k-3.750_p+0.00000,0,-3.75,0,0,-2.5,0,0,-3.75,0,0.978125848972,0.978123092514,0.985291920941,0.985291920941,0.978123092514,-0.00716880865877,-0.00716882842726,True,False,1;2;3;5,FIRST_ELIGIBLE_HORIZON_SELECTED,4,0,1,True,True,True,False,True,EXECUTED,0,
hip_stiff__matched_linear,hip_stiff,matched_linear,H3_ADAPTIVE_HORIZON,H3_ADAPTIVE_HORIZON,5,5,EXPLOIT,ADAPTIVE_DIRECT_ENDPOINT_H5,asym_h+0.000_k-5.000_p+0.00000,0,-5,0,0,-3.75,0,0,-5,0,0.971078595998,0.971075819116,0.978123092514,0.978123092514,0.971075819116,-0.00704725297411,-0.00704727339717,True,False,1;2;3;5,FIRST_ELIGIBLE_HORIZON_SELECTED,4,0,1,True,True,True,False,True,EXECUTED,0,
hip_stiff__matched_linear,hip_stiff,matched_linear,H3_ADAPTIVE_HORIZON,H3_ADAPTIVE_HORIZON,0,6,EXPLORE,EXPLORE,asym_h+0.500_k+0.000_p+0.00000,0.5,0,0,0,-5,0,0,-5,0,0.999868293195,0.999867433694,0.971075819116,0.971075819116,0.971075819116,0.0287896971976,0.0287916145779,False,False,1;2;3;5,MAXIMUM_HORIZON_EVALUATED_WITHOUT_ELIGIBLE_ENDPOINT,0,0,0,True,True,False,False,True,EXECUTED,0.0287916145779,
hip_stiff__matched_linear,hip_stiff,matched_linear,H3_ADAPTIVE_HORIZON,H3_ADAPTIVE_HORIZON,0,7,EXPLORE,EXPLORE,asym_h+0.750_k+0.000_p+0.00000,0.75,0,0,0,-5,0,0,-5,0,0.999808223371,0.999807364527,0.971075819116,0.971075819116,0.971075819116,0.0287296273734,0.0287315454107,False,False,1;2;3;5,MAXIMUM_HORIZON_EVALUATED_WITHOUT_ELIGIBLE_ENDPOINT,0,0,0,True,True,False,False,True,EXECUTED,0.0575231599886,
hip_stiff__matched_linear,hip_stiff,matched_linear,H3_ADAPTIVE_HORIZON,H3_ADAPTIVE_HORIZON,0,8,EXPLORE,EXPLORE,asym_h+1.000_k+0.000_p+0.00000,1,0,0,0,-5,0,0,-5,0,0.99975112453,0.99975026634,0.971075819116,0.971075819116,0.971075819116,0.0286725285328,0.028674447224,False,False,1;2;3;5,MAXIMUM_HORIZON_EVALUATED_WITHOUT_ELIGIBLE_ENDPOINT,0,0,0,True,True,False,False,True,EXECUTED,0.0861976072126,
hip_stiff__matched_linear,hip_stiff,matched_linear,H3_ADAPTIVE_HORIZON,H3_ADAPTIVE_HORIZON,0,9,EXPLORE,EXPLORE,asym_h+1.250_k+0.000_p+0.00000,1.25,0,0,0,-5,0,0,-5,0,0.999697007011,0.999696149472,0.971075819116,0.971075819116,0.971075819116,0.0286184110137,0.0286203303555,False,False,1;2;3;5,MAXIMUM_HORIZON_EVALUATED_WITHOUT_ELIGIBLE_ENDPOINT,0,0,0,True,True,False,False,True,EXECUTED,0.114817937568,
