subject_id,split,reference_candidate_id,reference_candidate_index,subject_reference_hip_rms_nm,subject_reference_knee_rms_nm,reference_hip_tau_rms_nm,reference_knee_tau_rms_nm,reference_j_truth,abs_error_from_one,within_frozen_tolerance
MYOLEG_VP_001,DEVELOPMENT,MYOLEG_V3_K0312,312,35.014797547421495,10.222359698797423,35.01479754742149,10.222359698797424,1.0,0.0,True
MYOLEG_VP_002,DEVELOPMENT,MYOLEG_V3_K0312,312,37.70943345870379,12.13350307179609,37.70943345870378,12.13350307179609,0.9999999999999998,2.220446049250313e-16,True
MYOLEG_VP_003,DEVELOPMENT,MYOLEG_V3_K0312,312,35.668807467203116,10.528724480402136,35.66880746720313,10.528724480402138,1.0000000000000002,2.220446049250313e-16,True
MYOLEG_VP_005,DEVELOPMENT,MYOLEG_V3_K0312,312,36.70935738059085,11.64919305250103,36.70935738059086,11.649193052501031,1.0000000000000002,2.220446049250313e-16,True
MYOLEG_VP_006,DEVELOPMENT,MYOLEG_V3_K0312,312,37.09121586402316,11.043750922842388,37.09121586402318,11.043750922842385,1.0,0.0,True
MYOLEG_VP_007,DEVELOPMENT,MYOLEG_V3_K0312,312,36.89040352216734,11.513219298567773,36.89040352216733,11.513219298567767,0.9999999999999997,3.3306690738754696e-16,True
MYOLEG_VP_009,DEVELOPMENT,MYOLEG_V3_K0312,312,34.12053523756781,10.405134831603377,34.12053523756781,10.405134831603375,0.9999999999999999,1.1102230246251565e-16,True
MYOLEG_VP_010,DEVELOPMENT,MYOLEG_V3_K0312,312,37.75270436673844,12.029059855109079,37.75270436673846,12.029059855109075,1.0000000000000002,2.220446049250313e-16,True
MYOLEG_VP_011,DEVELOPMENT,MYOLEG_V3_K0312,312,37.8916773030651,11.785131854548197,37.89167730306509,11.785131854548197,0.9999999999999998,2.220446049250313e-16,True
MYOLEG_VP_013,DEVELOPMENT,MYOLEG_V3_K0312,312,35.941471770130825,11.474031230765103,35.94147177013082,11.4740312307651,0.9999999999999997,3.3306690738754696e-16,True
MYOLEG_VP_014,DEVELOPMENT,MYOLEG_V3_K0312,312,37.63182979154063,11.921872381985041,37.63182979154064,11.921872381985045,1.0000000000000002,2.220446049250313e-16,True
MYOLEG_VP_015,DEVELOPMENT,MYOLEG_V3_K0312,312,36.14206520187333,10.584323815253665,36.142065201873336,10.584323815253663,1.0,0.0,True
MYOLEG_VP_017,DEVELOPMENT,MYOLEG_V3_K0312,312,36.28485396471866,10.815781666129,36.28485396471865,10.815781666128998,0.9999999999999998,2.220446049250313e-16,True
MYOLEG_VP_018,DEVELOPMENT,MYOLEG_V3_K0312,312,36.19696447970777,11.036924047268874,36.19696447970779,11.036924047268874,1.0000000000000002,2.220446049250313e-16,True
MYOLEG_VP_019,DEVELOPMENT,MYOLEG_V3_K0312,312,37.89186431548028,11.666085437753384,37.89186431548028,11.666085437753386,1.0,0.0,True
MYOLEG_VP_021,DEVELOPMENT,MYOLEG_V3_K0312,312,38.21151828705559,12.169674648661305,38.21151828705558,12.169674648661303,0.9999999999999998,2.220446049250313e-16,True
MYOLEG_VP_022,DEVELOPMENT,MYOLEG_V3_K0312,312,36.222897472148134,10.857623775411543,36.222897472148155,10.857623775411547,1.0000000000000004,4.440892098500626e-16,True
MYOLEG_VP_023,DEVELOPMENT,MYOLEG_V3_K0312,312,35.21745209420148,11.220071334067333,35.21745209420149,11.220071334067335,1.0000000000000002,2.220446049250313e-16,True
MYOLEG_VP_025,DEVELOPMENT,MYOLEG_V3_K0312,312,34.161127851170896,10.015957413498562,34.1611278511709,10.015957413498558,0.9999999999999999,1.1102230246251565e-16,True
MYOLEG_VP_026,DEVELOPMENT,MYOLEG_V3_K0312,312,33.55623310024567,9.983943911455157,33.55623310024568,9.983943911455157,1.0,0.0,True
MYOLEG_VP_027,DEVELOPMENT,MYOLEG_V3_K0312,312,39.2425112858636,12.6052792874792,39.24251128586359,12.605279287479199,0.9999999999999998,2.220446049250313e-16,True
MYOLEG_VP_029,DEVELOPMENT,MYOLEG_V3_K0312,312,37.40696152794813,11.50870099422878,37.406961527948134,11.508700994228784,1.0000000000000002,2.220446049250313e-16,True
MYOLEG_VP_030,DEVELOPMENT,MYOLEG_V3_K0312,312,33.56947818274504,10.226229440688524,33.56947818274503,10.226229440688526,1.0,0.0,True
MYOLEG_VP_031,DEVELOPMENT,MYOLEG_V3_K0312,312,36.583411552198214,11.42055530057063,36.583411552198214,11.420555300570623,0.9999999999999997,3.3306690738754696e-16,True
