Frame,frame_step,frame_contiguous_from_previous,LHip_x_local_m,LHip_z_local_m,LHip_out_of_plane_m,LHip_planarity_error_m,RHip_x_local_m,RHip_z_local_m,RHip_out_of_plane_m,RHip_planarity_error_m,LKnee_x_local_m,LKnee_z_local_m,LKnee_out_of_plane_m,LKnee_planarity_error_m,RKnee_x_local_m,RKnee_z_local_m,RKnee_out_of_plane_m,RKnee_planarity_error_m,LAnkle_x_local_m,LAnkle_z_local_m,LAnkle_out_of_plane_m,LAnkle_planarity_error_m,RAnkle_x_local_m,RAnkle_z_local_m,RAnkle_out_of_plane_m,RAnkle_planarity_error_m,q_hip_rad,q_knee_rad,theta_shank_rad,theta_shank_projected_rad,theta_shank_closure_error_rad,projected_signed_knee_rotation_rad,q_hip_deg,q_knee_deg,theta_shank_deg,theta_shank_projected_deg,angle_valid,angle_invalid_reason,q_hip_within_configured_range,q_knee_within_configured_range,joint_range_valid,joint_range_reason,joint_angles_clipped,theta_shank_definition,observed_ankle_x_local_m,observed_ankle_z_local_m,observed_ankle_out_of_plane_m,observed_ankle_is_pull_point,q_hip_raw_rad,q_knee_raw_rad,q_hip_raw_deg,q_knee_raw_deg,x_hip_projected_m,z_hip_projected_m,x_knee_observed_m,z_knee_observed_m,x_ankle_observed_m,z_ankle_observed_m,planarity_error_m,joint_limit_valid,joint_limit_reason,invalid_reason,source_trajectory_type,simulation_status,angle_filter_method,angle_filter_uses_future_samples
5550,,True,-0.0077564877125939425,-0.009191153266707448,0.24013966149930335,0.24013966149930335,0.0,0.0,0.019628576743928115,0.019628576743928115,0.3638358091160433,-0.007979190478533103,0.3011810424127289,0.3011810424127289,0.3758137853368517,0.008592242667810166,-0.0027589648076599264,0.0027589648076599264,0.7131593371904509,-0.009188537624572519,0.32287392403618015,0.32287392403618015,0.7258189124131667,0.016599545151975436,-0.02361131784562102,0.02361131784562102,0.014973033420183472,0.04284763864438389,-0.027874605224200415,0.022873681921642186,2.926426256801007e-05,1.4632134123011977e-05,0.8578916214848451,2.4549888564248445,-1.5970972349399997,1.3105654360347878,True,,True,False,False,q_knee_out_of_range,False,q_hip - q_knee,0.7258189124131667,0.016599545151975436,-0.02361131784562102,False,0.02285904978751917,1.4632128444994556e-05,1.3097270765042697,0.0008383592051915082,0.0,0.0,0.3758137853368517,0.008592242667810166,0.7258189124131667,0.016599545151975436,0.01779875690611682,False,q_knee_out_of_range,q_knee_out_of_range,provided_rehabilitation_reference,software_only,savitzky_golay_offline_by_frame,True
5551,1.0,True,-0.00469045989346739,-0.007716354131327711,0.24013966149930335,0.24013966149930335,0.0,0.0,0.02245504820541957,0.02245504820541957,0.36690156339126256,-0.006503072056941064,0.3011909512298946,0.3011909512298946,0.3752294852302266,0.011804868347914641,-0.007178383879769676,0.007178383879769676,0.7168373733999788,-0.007722722984465762,0.3229121994711609,0.3229121994711609,0.723522510442611,0.047346143879862274,-0.00822953656493608,0.00822953656493608,0.022548985841969526,0.0639675261210713,-0.04141854027910177,0.10169217899507248,0.14048431161807257,0.07024215580903592,1.2919617210451009,3.6650692726302356,-2.3731075515851345,5.826532665906574,False,projected_knee_branch_opposes_flexion;theta_shank_projection_closure_mismatch,True,False,False,q_knee_out_of_range,False,q_hip - q_knee,0.723522510442611,0.047346143879862274,-0.00822953656493608,False,0.03145002318603656,0.07024215580903669,1.8019535941484777,4.024579071758141,0.0,0.0,0.3752294852302266,0.011804868347914641,0.723522510442611,0.047346143879862274,0.014416236877293067,False,q_knee_out_of_range,projected_knee_branch_opposes_flexion;theta_shank_projection_closure_mismatch;q_knee_out_of_range,provided_rehabilitation_reference,software_only,savitzky_golay_offline_by_frame,True
5552,1.0,True,-0.008570601227852661,-0.01048366243086576,0.24013966149930335,0.24013966149930335,0.0,0.0,0.02271850218717755,0.02271850218717755,0.36302169560078457,-0.009271699642691417,0.3011810424127289,0.3011810424127289,0.3753966950857009,0.01026130479905248,-0.005201088471608284,0.005201088471608284,0.7125372047424636,-0.01048224314594041,0.32288947519493794,0.32288947519493794,0.7236444861791979,0.05029898638957655,-0.005045681406540185,0.005045681406540185,0.029908993434564064,0.0789707529599231,-0.049061759525359044,0.11446637827627061,0.1742772393170644,0.08713861965853177,1.7136590932850093,4.524690849573847,-2.811031756288838,6.5584403713782775,False,projected_knee_branch_opposes_flexion;theta_shank_projection_closure_mismatch,True,False,False,q_knee_out_of_range,False,q_hip - q_knee,0.7236444861791979,0.05029898638957655,-0.005045681406540185,False,0.027327758617738823,0.08713861965853263,1.565765232348699,4.992675139029626,0.0,0.0,0.3753966950857009,0.01026130479905248,0.7236444861791979,0.05029898638957655,0.013767601628153358,False,q_knee_out_of_range,projected_knee_branch_opposes_flexion;theta_shank_projection_closure_mismatch;q_knee_out_of_range,provided_rehabilitation_reference,software_only,savitzky_golay_offline_by_frame,True
5553,1.0,True,-0.009262509737434258,-0.012109137750847243,0.24013966149930335,0.24013966149930335,0.0,0.0,0.026416703452454903,0.026416703452454903,0.36232951354729565,-0.010895855676460616,0.3011909512298946,0.3011909512298946,0.37519233581080735,0.008622563756753271,-0.004681261803990689,0.004681261803990689,0.7121401245019041,-0.01211232217741626,0.32290831922916263,0.32290831922916263,0.721231375843679,0.06265111971578297,-0.0068230167177304926,0.0068230167177304926,0.03698160597612049,0.0886437294965061,-0.051662123520385614,0.15488377664308992,0.26381221046188436,0.1319061052309419,2.1188899420474874,5.078911580449126,-2.9600216384016385,8.87418671669597,False,projected_knee_branch_opposes_flexion;theta_shank_projection_closure_mismatch,True,True,True,,False,q_hip - q_knee,0.721231375843679,0.06265111971578297,-0.0068230167177304926,False,0.02297767141214802,0.13190610523094246,1.3165235949544878,7.557663121741514,0.0,0.0,0.37519233581080735,0.008622563756753271,0.721231375843679,0.06265111971578297,0.015982386039041802,True,,projected_knee_branch_opposes_flexion;theta_shank_projection_closure_mismatch,provided_rehabilitation_reference,software_only,savitzky_golay_offline_by_frame,True
5554,1.0,True,-0.010828302537671737,-0.012844713918246813,0.24013966149930335,0.24013966149930335,0.0,0.0,0.031418095319593366,0.031418095319593366,0.3607639942909655,-0.01163275113007244,0.3011810424127289,0.3011810424127289,0.374797864612703,0.008156328331596381,-0.0042407379465840426,0.0042407379465840426,0.7103689108420728,-0.012842402922458534,0.3228918246610631,0.3228918246610631,0.7208797190190963,0.06323423994714421,-0.006026515844839258,0.006026515844839258,0.04369537324479222,0.0937728660663871,-0.050077492821594884,0.15782350747930005,0.27213000537082416,0.13606500268541274,2.5035604711754513,5.372789458449515,-2.869228987274063,9.042620886515275,False,projected_knee_branch_opposes_flexion;theta_shank_projection_closure_mismatch,True,True,True,,False,q_hip - q_knee,0.7208797190190963,0.06323423994714421,-0.006026515844839258,False,0.021758504793887284,0.1360650026854114,1.2466704932049106,7.795950393310286,0.0,0.0,0.374797864612703,0.008156328331596381,0.7208797190190963,0.06323423994714421,0.018631509735487987,True,,projected_knee_branch_opposes_flexion;theta_shank_projection_closure_mismatch,provided_rehabilitation_reference,software_only,savitzky_golay_offline_by_frame,True
5555,1.0,True,-0.012538347730481599,-0.011308621877912647,0.24013966149930335,0.24013966149930335,0.0,0.0,0.031962491023259244,0.031962491023259244,0.3590539490981557,-0.01009665908973829,0.3011810424127289,0.3011810424127289,0.37415331158026693,0.01780398988581748,-0.006835399095474719,0.006835399095474719,0.7088061430118203,-0.011307953094765488,0.3229062010867582,0.3229062010867582,0.7208432109318881,0.06792409590227133,-0.0055323026055141685,0.0055323026055141685,0.04997884501873265,0.09514457300513288,-0.04516572798640023,0.14357284130999187,0.19204792639555918,0.09602396319777946,2.8635768845118186,5.451382476768457,-2.587805592256639,8.226117859764052,False,projected_knee_branch_opposes_flexion;theta_shank_projection_closure_mismatch,True,True,True,,False,q_hip - q_knee,0.7208432109318881,0.06792409590227133,-0.0055323026055141685,False,0.04754887811221243,0.09602396319777974,2.7243500364117494,5.50176782335232,0.0,0.0,0.37415331158026693,0.01780398988581748,0.7208432109318881,0.06792409590227133,0.01913922573604031,True,,projected_knee_branch_opposes_flexion;theta_shank_projection_closure_mismatch,provided_rehabilitation_reference,software_only,savitzky_golay_offline_by_frame,True
5556,1.0,True,-0.01257877396712697,-0.00941276343115231,0.24013966149930335,0.24013966149930335,0.0,0.0,0.0308031435907619,0.0308031435907619,0.3590135228615103,-0.008200800642977953,0.3011810424127289,0.3011810424127289,0.3738985633529647,0.022883255058862313,-0.007719303897683404,0.007719303897683404,0.708654231057297,-0.009414528572795981,0.3228933554369362,0.3228933554369362,0.7209396959930453,0.07128159338648699,-0.0051680683117956705,0.0051680683117956705,0.05576057107609518,0.09354526064831023,-0.03778468957221505,0.13856623183718467,0.15488140204417822,0.07744070102208829,3.194845385899505,5.359748628599399,-2.164903242699894,7.9392602673019805,False,projected_knee_branch_opposes_flexion;theta_shank_projection_closure_mismatch,True,False,False,q_knee_out_of_range,False,q_hip - q_knee,0.7209396959930453,0.07128159338648699,-0.0051680683117956705,False,0.06112553081509639,0.07744070102208994,3.502234936201882,4.437025331100195,0.0,0.0,0.3738985633529647,0.022883255058862313,0.7209396959930453,0.07128159338648699,0.018575344212273002,False,q_knee_out_of_range,projected_knee_branch_opposes_flexion;theta_shank_projection_closure_mismatch;q_knee_out_of_range,provided_rehabilitation_reference,software_only,savitzky_golay_offline_by_frame,True
5557,1.0,True,-0.014081207330243352,-0.010708939316244653,0.24013966149930335,0.24013966149930335,0.0,0.0,0.03459784016154325,0.03459784016154325,0.3575110894983939,-0.00949697652807029,0.3011810424127289,0.3011810424127289,0.3733771655521252,0.02388932658944654,-0.008129944936253708,0.008129944936253708,0.7072274917673791,-0.010704194395665478,0.3229046703108851,0.3229046703108851,0.719522294409104,0.07777008229314515,-0.004718664621767096,0.004718664621767096,0.06096910119503322,0.08976133933148597,-0.02879223813645275,0.15442020099107343,0.1810510762039393,0.09052553810196903,3.4932721791814276,5.142945907135784,-1.649673727954357,8.847625788350399,False,projected_knee_branch_opposes_flexion;theta_shank_projection_closure_mismatch,True,True,True,,False,q_hip - q_knee,0.719522294409104,0.07777008229314515,-0.004718664621767096,False,0.06389466288910439,0.09052553810197027,3.6608945169568488,5.186731271393621,0.0,0.0,0.3733771655521252,0.02388932658944654,0.719522294409104,0.07777008229314515,0.020699213707473116,True,,projected_knee_branch_opposes_flexion;theta_shank_projection_closure_mismatch,provided_rehabilitation_reference,software_only,savitzky_golay_offline_by_frame,True
5558,1.0,True,-0.014603381225158026,-0.011139029013193448,0.24013966149930335,0.24013966149930335,0.0,0.0,0.03431278354252158,0.03431278354252158,0.35698891560347923,-0.0099270662250191,0.3011810424127289,0.3011810424127289,0.3732526907069458,0.02576624247726409,-0.00847658696731296,0.00847658696731296,0.7066517021077158,-0.011139251940909117,0.322903851620633,0.322903851620633,0.7197538975787628,0.0775966905993044,-0.004217340103991211,0.004217340103991211,0.06553298515370021,0.08457921939022693,-0.019046234236526724,0.14848141586314206,0.15911824966629767,0.07955912483314766,3.754763468200504,4.846032305571059,-1.091268837370555,8.507358465084872,False,projected_knee_branch_opposes_flexion;theta_shank_projection_closure_mismatch,True,False,False,q_knee_out_of_range,False,q_hip - q_knee,0.7197538975787628,0.0775966905993044,-0.004217340103991211,False,0.06892229102999443,0.07955912483315006,3.9489563903910527,4.558402074693958,0.0,0.0,0.3732526907069458,0.02576624247726409,0.7197538975787628,0.0775966905993044,0.020550795593707902,False,q_knee_out_of_range,projected_knee_branch_opposes_flexion;theta_shank_projection_closure_mismatch;q_knee_out_of_range,provided_rehabilitation_reference,software_only,savitzky_golay_offline_by_frame,True
5559,1.0,True,-0.014750651472945023,-0.010538102278345708,0.24013966149930335,0.24013966149930335,0.0,0.0,0.03149035576958178,0.03149035576958178,0.3568416453556922,-0.009326139490171354,0.3011810424127289,0.3011810424127289,0.3734246824761172,0.030035646573129408,-0.0066955912861758,0.0066955912861758,0.7065402235046081,-0.01054240134349328,0.3229053823965062,0.3229053823965062,0.7207497082349744,0.07589174537015872,-0.0037677619321642574,0.0037677619321642574,0.06938077273024951,0.07878531116009982,-0.009404538429850312,0.13126728192613793,0.10201424053574912,0.05100712026787585,3.9752254567996506,4.514065817098663,-0.5388403602990129,7.521061242521615,False,projected_knee_branch_opposes_flexion;theta_shank_projection_closure_mismatch,True,False,False,q_knee_out_of_range,False,q_hip - q_knee,0.7207497082349744,0.07589174537015872,-0.0037677619321642574,False,0.0802601616582621,0.05100712026787329,4.598568526056129,2.9224927164653405,0.0,0.0,0.3734246824761172,0.030035646573129408,0.7207497082349744,0.07589174537015872,0.018714250177728306,False,q_knee_out_of_range,projected_knee_branch_opposes_flexion;theta_shank_projection_closure_mismatch;q_knee_out_of_range,provided_rehabilitation_reference,software_only,savitzky_golay_offline_by_frame,True
