cycle_index,start_frame,peak_flexion_frame,end_frame,duration_frames,duration_intervals,q_hip_min_rad,q_hip_max_rad,q_hip_range_rad,q_knee_min_rad,q_knee_max_rad,q_knee_range_rad,q_hip_range_deg,q_knee_range_deg,cycle_complete,cycle_continuous,cycle_smooth,cycle_quality_score,knee_monotonic_fraction,smoothing_residual_fraction,segment_index,cycle_invalid_reason,start_position,peak_flexion_position,end_position,selected
0,5550,5686,5731,182,181,0.014973033420183472,2.050076419288387,2.0351033858682035,0.022776129044997834,2.565345460287952,2.5425693312429543,116.60283488303189,145.67849179962147,True,True,True,0.9729506704085406,0.9705882352941176,0.009574406825371742,0,,0,136,181,False
1,5731,5800,5836,106,105,0.2649233660630944,1.9778871742849577,1.7129638082218634,0.004275984056508053,2.472155242473037,2.467879258416529,98.14559666976972,141.39906585514257,True,True,True,0.9704807402578987,1.0,0.01686814842405782,0,,181,250,286,False
2,5836,5896,5937,102,101,0.2649233660630944,1.9548809563433316,1.6899575902802373,0.004275984056508053,2.1788995658133468,2.1746235817568387,96.82743747915639,124.59675326428918,True,True,True,0.9751702575691025,1.0,0.01418842424622708,0,,286,346,387,False
3,5937,5997,6040,104,103,0.23594935668035208,2.0413475934184766,1.8053982367381245,0.28017844768539385,2.4966646692902152,2.2164862216048213,103.44169930545519,126.99530584685476,True,True,True,0.9830272777915802,1.0,0.009698698404811305,0,,387,447,490,True
4,6040,6099,6099,60,59,0.23594935668035208,1.9799511585198641,1.744001801839512,0.3722133813300841,2.3742396851370837,2.002026303807,99.92394270861497,114.70765768231703,False,True,True,0.48719717207383123,1.0,0.014631803344192793,0,incomplete_end_of_recording,490,549,549,False
