trajectory_id,profile,sample_count,in_domain_sample_count,out_of_domain_sample_count,in_domain_percent,minimum_required_percent,coverage_gate_passed,missing_state_variable_groups,q_hip_rad,q_knee_rad,dq_hip_rad_s,dq_knee_rad_s,ddq_hip_rad_s2,ddq_knee_rad_s2,flexion_in_domain_sample_count,flexion_sample_count,flexion_in_domain_percent,extension_in_domain_sample_count,extension_sample_count,extension_in_domain_percent,domain_model,domain_fitted_from_new_reference,domain_threshold_changed,domain_training_sample_count
reference_measured_asymmetric_closed_slow,slow,401,401,0,100.0,90.0,True,,0,0,0,0,0,0,201,201,100.0,200,200,100.0,frozen_existing_Stage5C_axis_aligned_6d_train_domain,False,False,1604
reference_measured_asymmetric_closed_nominal,nominal,401,266,135,66.33416458852868,90.0,False,dq;ddq,0,0,38,73,12,64,148,201,73.6318407960199,118,200,59.0,frozen_existing_Stage5C_axis_aligned_6d_train_domain,False,False,1604
