cycle_candidate_id,legacy_cycle_index,legacy_peak_frame,legacy_peak_offset_frames,start_frame,peak_frame,end_frame,bracket_start_frame,bracket_end_frame,q_hip_start,q_hip_end,q_knee_start,q_knee_end,q_hip_start_deg,q_hip_peak_deg,q_hip_end_deg,q_knee_start_deg,q_knee_peak_deg,q_knee_end_deg,delta_q_hip_deg,delta_q_knee_deg,pull_start_x,pull_start_z,pull_end_x,pull_end_z,delta_x_pull_m,delta_z_pull_m,pull_closure_error_m,pull_closure_error_mm,closure_q_hip_component,closure_q_knee_component,closure_x_pull_component,closure_z_pull_component,closure_score,hip_flexion_excursion_deg,knee_flexion_excursion_deg,hip_extension_excursion_deg,knee_extension_excursion_deg,major_peak_count,cycle_complete,projection_valid,projection_invalid_frame_count,rom_valid,rom_violation_count,dq_hip_start_rad_s,dq_hip_end_rad_s,dq_knee_start_rad_s,dq_knee_end_rad_s,delta_dq_hip,delta_dq_knee,delta_dq_hip_rad_s,delta_dq_knee_rad_s,derivative_valid,derivative_invalid_reason,direction_slope_hip_start_deg_per_sample,direction_slope_hip_end_deg_per_sample,direction_slope_knee_start_deg_per_sample,direction_slope_knee_end_deg_per_sample,phase_start,phase_peak,phase_end,low_flexion_phase_cutoff,boundary_pair_available,boundary_invalid_reason,eligible,selected
0,0.0,5686.0,0.0,5593,5686,5729,5550,5731,0.3032029342137556,0.2971546008054965,0.1205259922159302,0.1158373225608011,17.372248466430946,117.46072650451673,17.025704489049723,6.905630675599413,146.9834678675452,6.636989692829457,-0.34654397738122356,-0.2686409827699565,0.6958499995788335,0.1799017839125478,0.6966749695654524,0.1770739182291641,0.0008249699866188509,-0.0028278656833836957,0.0029457426571377625,2.945742657137762,-0.34654397738122356,-0.2686409827699565,0.16499399732377018,-0.5655731366767391,0.7344090808030956,100.08847803808578,140.07783719194578,100.43502201546701,140.34647817471574,1,True,False,3,False,6,,,,,,,,,False,source_fps_not_provided,0.9418877264027905,-1.127570622438265,0.9945250022320046,-0.49897623617269177,-0.6464204893851044,0.650512008425749,-0.6522788806004572,-0.39826255622308043,True,,False,False
1,1.0,5800.0,-2.0,5737,5798,5830,5731,5836,0.4072572727623281,0.4136451480033093,0.2304407287172745,0.2542349688765256,23.33412290528958,112.56996171776771,23.700121196653914,13.203281183418978,140.15843099243634,14.566590721264756,0.3659982913643347,1.3633095378457778,0.6809710641757603,0.219127810774167,0.6807742563595673,0.2164396471892902,-0.0001968078161929121,-0.0026881635848767793,0.0026953583760925375,2.6953583760925377,0.3659982913643347,1.3633095378457778,-0.03936156323858242,-0.5376327169753559,1.511014863026095,89.23583881247814,126.95514980901736,88.8698405211138,125.59184027117158,1,True,False,1,True,0,,,,,,,,,False,source_fps_not_provided,2.6495234595710855,-2.269366781700186,2.524180214615918,-4.0597813576984745,-0.5771593948858119,0.5909772977194041,-0.5699973695561054,-0.4101694983643494,True,,False,False
2,2.0,5896.0,-1.0,5844,5895,5934,5836,5937,0.5101064238654115,0.5022097587884319,0.3222393045605607,0.3184645694711701,29.226945189999533,112.00642824897103,28.77449960886025,18.46295214455087,124.39551070097481,18.24667575514885,-0.45244558113928335,-0.21627638940201876,0.6612523149714812,0.2611026432178745,0.6630887106770373,0.25698661419567287,0.0018363957055561597,-0.0041160290222016505,0.004507110393477331,4.507110393477331,-0.45244558113928335,-0.21627638940201876,0.36727914111123194,-0.8232058044403301,1.0315252030197288,82.7794830589715,105.93255855642394,83.23192864011078,106.14883494582597,1,True,True,0,True,0,,,,,,,,,False,source_fps_not_provided,3.129442406525338,-0.9814221265667407,4.399890420397651,-1.7037718003912865,-0.5140922887836454,0.4991739445934195,-0.5136625075438287,-0.3257802760631052,True,,True,True
3,3.0,5997.0,-2.0,5945,5995,6029,5937,6040,0.7111796912222996,0.5587945914174698,0.6785412350615468,0.9639456743236612,40.74759478245485,116.30126870352004,32.016571702958274,38.87754899462095,142.61872249578016,55.23001881863795,-8.731023079496573,16.352469824017,0.6180290259375332,0.28393553754352563,0.6318286696776887,0.10442181498374421,0.01379964374015552,-0.17951372255978143,0.18004334687687126,180.04334687687128,-8.731023079496573,16.352469824017,2.759928748031104,-35.902744511956286,40.500102512772784,75.55367392106518,103.74117350115921,84.28469700056176,87.38870367714222,1,True,True,0,True,0,,,,,,,,,False,source_fps_not_provided,2.557469155945299,-2.641974684112054,4.256399278238174,-4.1705832039205175,-0.3480748377144248,0.6266822904604143,-0.309127421687976,-0.3002786068897062,True,,True,False
