reference_version,active_reference,repeatable_loop,global_phase,segment_phase,cycle_phase,source_frame,q_hip_measured_interpolated_rad,q_knee_measured_interpolated_rad,q_hip_reference_rad,q_knee_reference_rad,q_hip_rad,q_knee_rad,dq_hip_dglobal_phase_rad,dq_knee_dglobal_phase_rad,d2q_hip_dglobal_phase2_rad,d2q_knee_dglobal_phase2_rad,theta_shank_rad,x_knee_m,z_knee_m,x_pull_m,z_pull_m,extension_source_is_measured,measured_extension_is_reversed_flexion,reference_provenance,spline_family,spline_degree,continuity_order,model_angle_definition,L1_m,L2_m,L2_definition,approved_hip_min_deg,approved_hip_max_deg,approved_knee_min_deg,approved_knee_max_deg,joint_limit_valid,trajectory_sample_valid,formal_execution_allowed,invalid_reason
reference_measured_asymmetric_closed,False,True,0.0,0.0,flexion,5844.0,0.5101064238654115,0.3222393045605607,0.5061580913269217,0.3203519370158654,0.5061580913269217,0.3203519370158654,3.501304818256466,2.6116123182394353,4354.410797847049,5882.021391705503,0.1858061543110563,0.3673377096772649,0.2036246720047976,0.6621740022645605,0.2590463335946366,True,False,periodic_cubic_fit_of_measured_flexion_and_measured_extension,periodic_cubic_B_spline,3,2,theta_shank = q_hip - q_knee,0.42,0.3,knee_to_strap_equivalent_pull_point,0.0,120.0,5.0,145.0,True,True,True,
reference_measured_asymmetric_closed,False,True,0.0025,0.004411764705882353,flexion,5844.225,0.523094958216474,0.33847981904714486,0.5225910436762612,0.3379879285176523,0.5225910436762612,0.3379879285176523,7.2739196853854935,8.587438426033483,-1336.3189041438206,-1101.3605054702762,0.1846031151586089,0.36394210856874526,0.2096333504252976,0.6588448622100146,0.264700272391182,True,False,periodic_cubic_fit_of_measured_flexion_and_measured_extension,periodic_cubic_B_spline,3,2,theta_shank = q_hip - q_knee,0.42,0.3,knee_to_strap_equivalent_pull_point,0.0,120.0,5.0,145.0,True,True,True,
reference_measured_asymmetric_closed,False,True,0.005,0.008823529411764706,flexion,5844.45,0.5361852760070906,0.35517211828820056,0.5364921132323605,0.3554750626141879,0.5364921132323605,0.3554750626141879,4.676859280376614,6.19658155870415,44.385478420641,97.85218838841486,0.18101705061817258,0.36099291116449367,0.2146721176328775,0.6560912417168625,0.26868114748164346,True,False,periodic_cubic_fit_of_measured_flexion_and_measured_extension,periodic_cubic_B_spline,3,2,theta_shank = q_hip - q_knee,0.42,0.3,knee_to_strap_equivalent_pull_point,0.0,120.0,5.0,145.0,True,True,True,
reference_measured_asymmetric_closed,False,True,0.0075,0.013235294117647059,flexion,5844.675,0.5493762290151263,0.3722997672637356,0.5492736521830731,0.3722023297679872,0.5492736521830731,0.3722023297679872,5.4457981325709275,7.082523354470491,74.1217409863159,122.61897453845107,0.17707132241508594,0.3582196589436644,0.21926850194746336,0.6535287967391727,0.27211273658543983,True,False,periodic_cubic_fit_of_measured_flexion_and_measured_extension,periodic_cubic_B_spline,3,2,theta_shank = q_hip - q_knee,0.42,0.3,knee_to_strap_equivalent_pull_point,0.0,120.0,5.0,145.0,True,True,True,
reference_measured_asymmetric_closed,False,True,0.01,0.01764705882352941,flexion,5844.9,0.5626666690184458,0.3898463309537578,0.5627258418679342,0.3899036666882036,0.5627258418679342,0.3899036666882036,5.3025211820245,7.067280863178618,-15.772899544294122,37.98341566755858,0.17282217517973059,0.3552376949465934,0.22406735614326106,0.6507687090634493,0.27565630549351156,True,False,periodic_cubic_fit_of_measured_flexion_and_measured_extension,periodic_cubic_B_spline,3,2,theta_shank = q_hip - q_knee,0.42,0.3,knee_to_strap_equivalent_pull_point,0.0,120.0,5.0,145.0,True,True,True,
reference_measured_asymmetric_closed,False,True,0.0125,0.022058823529411766,flexion,5845.125,0.5760663713741097,0.4078240339270803,0.5760712393164765,0.407834328640971,0.5760712393164765,0.407834328640971,5.392439148718992,7.298205487416313,34.84264102477024,94.1273653759483,0.1682369106755055,0.35221588240169965,0.2287880507893541,0.6479803379552196,0.2790213747001802,True,False,periodic_cubic_fit_of_measured_flexion_and_measured_extension,periodic_cubic_B_spline,3,2,theta_shank = q_hip - q_knee,0.42,0.3,knee_to_strap_equivalent_pull_point,0.0,120.0,5.0,145.0,True,True,True,
reference_measured_asymmetric_closed,False,True,0.015,0.026470588235294117,flexion,5845.35,0.5896071529345319,0.42632767579705044,0.5896191338036629,0.426336899853859,0.5896191338036629,0.426336899853859,5.4355068241939035,7.493673401664659,11.248568275874861,70.63159597568009,0.16328223394980396,0.3490840575322344,0.23353869224784066,0.6450937716212861,0.28230598830696113,True,False,periodic_cubic_fit_of_measured_flexion_and_measured_extension,periodic_cubic_B_spline,3,2,theta_shank = q_hip - q_knee,0.42,0.3,knee_to_strap_equivalent_pull_point,0.0,120.0,5.0,145.0,True,True,True,
reference_measured_asymmetric_closed,False,True,0.0175,0.030882352941176475,flexion,5845.575,0.603247125073788,0.44529327309405925,0.6032451403012932,0.44528639224423155,0.6032451403012932,0.44528639224423155,5.4646704946972156,7.66233480725201,8.571303183169267,60.89009754353029,0.15795874805706162,0.345869549888188,0.2382734866915373,0.6421346803895827,0.28546429563768266,True,False,periodic_cubic_fit_of_measured_flexion_and_measured_extension,periodic_cubic_B_spline,3,2,theta_shank = q_hip - q_knee,0.42,0.3,knee_to_strap_equivalent_pull_point,0.0,120.0,5.0,145.0,True,True,True,
reference_measured_asymmetric_closed,False,True,0.02,0.03529411764705882,flexion,5845.8,0.6169357831733284,0.46463625712786827,0.6169200246528856,0.46461202814143104,0.6169200246528856,0.46461202814143104,5.470577593791199,7.791295188906984,-1.0682589945811047,47.00986310441174,0.1523079965114546,0.3425789503415834,0.24298078685949404,0.6391060129531103,0.2884967306482331,True,False,periodic_cubic_fit_of_measured_flexion_and_measured_extension,periodic_cubic_B_spline,3,2,theta_shank = q_hip - q_knee,0.42,0.3,knee_to_strap_equivalent_pull_point,0.0,120.0,5.0,145.0,True,True,True,
reference_measured_asymmetric_closed,False,True,0.0225,0.039705882352941174,flexion,5846.025,0.6306234417987024,0.4842735792775639,0.6305961121579273,0.48424489933909143,0.6305961121579273,0.48424489933909143,5.471524910134039,7.918153655950645,2.112441115463602,54.91557378896146,0.1463512128188359,0.3392239907337955,0.2476430578688565,0.6360169195139711,0.29139185700763953,True,False,periodic_cubic_fit_of_measured_flexion_and_measured_extension,periodic_cubic_B_spline,3,2,theta_shank = q_hip - q_knee,0.42,0.3,knee_to_strap_equivalent_pull_point,0.0,120.0,5.0,145.0,True,True,True,
