source_frame,Frame,frame_step,frame_contiguous_from_previous,LHip_x_local_m,LHip_z_local_m,LHip_out_of_plane_m,LHip_planarity_error_m,RHip_x_local_m,RHip_z_local_m,RHip_out_of_plane_m,RHip_planarity_error_m,LKnee_x_local_m,LKnee_z_local_m,LKnee_out_of_plane_m,LKnee_planarity_error_m,RKnee_x_local_m,RKnee_z_local_m,RKnee_out_of_plane_m,RKnee_planarity_error_m,LAnkle_x_local_m,LAnkle_z_local_m,LAnkle_out_of_plane_m,LAnkle_planarity_error_m,RAnkle_x_local_m,RAnkle_z_local_m,RAnkle_out_of_plane_m,RAnkle_planarity_error_m,q_hip_rad,q_knee_rad,theta_shank_rad,theta_shank_projected_rad,theta_shank_closure_error_rad,projected_signed_knee_rotation_rad,q_hip_deg,q_knee_deg,theta_shank_deg,theta_shank_projected_deg,angle_valid,angle_invalid_reason,q_hip_within_configured_range,q_knee_within_configured_range,joint_range_valid,joint_range_reason,joint_angles_clipped,theta_shank_definition,observed_ankle_x_local_m,observed_ankle_z_local_m,observed_ankle_out_of_plane_m,observed_ankle_is_pull_point,q_hip_raw_rad,q_knee_raw_rad,q_hip_raw_deg,q_knee_raw_deg,x_hip_projected_m,z_hip_projected_m,x_knee_observed_m,z_knee_observed_m,x_ankle_observed_m,z_ankle_observed_m,planarity_error_m,joint_limit_valid,joint_limit_reason,invalid_reason,source_trajectory_type,simulation_status,angle_filter_method,angle_filter_uses_future_samples,global_phase,segment_phase,cycle_phase,q_hip_measured_rad,q_knee_measured_rad,theta_shank_reference_rad,x_pull_m,z_pull_m,reference_version,active_reference,repeatable_loop,extension_source_is_measured,measured_extension_is_reversed_flexion,source_values_modified,reference_provenance,model_angle_definition,projection_valid,rom_valid,trajectory_sample_valid
5844,5844,1.0,True,-0.0061505555749166,0.0047010585907588,0.2401396614993033,0.2401396614993033,0.0,0.0,0.0063362243683533,0.0063362243683533,0.3654414677098132,0.0059143406651455,0.3011909512298946,0.3011909512298946,0.3251440981340718,0.1853151492970794,-0.0355196830950171,0.0355196830950171,0.715126879610314,0.0047010585907588,0.3229044389871643,0.3229044389871643,0.6683575589618819,0.2528994082576797,-0.0553080217656524,0.0553080217656524,0.5101064238654115,0.3222393045605607,0.1878671193048507,0.19442852828115,-1.3877787807814454e-16,-0.3236005673178495,29.226945189999533,18.462952144550872,10.76399304544866,11.13993408744986,True,,True,True,True,,False,q_hip - q_knee,0.6683575589618819,0.2528994082576797,-0.0553080217656524,False,0.5180290955989996,0.3236005673178494,29.680880842801724,18.540946755351857,0.0,0.0,0.3251440981340718,0.1853151492970794,0.6683575589618819,0.2528994082576797,0.0381259880660879,True,,,provided_rehabilitation_reference,software_only,savitzky_golay_offline_by_frame,True,0.0,0.0,flexion,0.5101064238654115,0.3222393045605607,0.18786711930485078,0.6612523149714812,0.2611026432178745,reference_measured_raw,False,False,True,False,False,direct_Stage5A_measured_flexion_and_measured_extension,theta_shank = q_hip - q_knee,True,True,True
5845,5845,1.0,True,-0.0060667408014174,0.0120914101968247,0.2401396614993033,0.2401396614993033,0.0,0.0,0.0067123602779154,0.0067123602779154,0.3655252824833124,0.0133046922712114,0.3011909512298946,0.3011909512298946,0.3102491806609872,0.2099673214902267,-0.0316817500178828,0.0316817500178828,0.7152106943838131,0.0120914101968248,0.3229044389871643,0.3229044389871643,0.6561004062894248,0.2614227734110422,-0.0537912479527558,0.0537912479527558,0.5686051650270667,0.3977749716509851,0.1708301933760816,0.1476957505113701,2.7755575615628914e-17,-0.4472688544038775,32.578676165390604,22.79082707153741,9.78784909385319,8.462343156318678,True,,True,True,True,,False,q_hip - q_knee,0.6561004062894248,0.2614227734110422,-0.0537912479527558,False,0.5949646049152477,0.4472688544038776,34.08896082131217,25.626617664993493,0.0,0.0,0.3102491806609872,0.2099673214902267,0.6561004062894248,0.2614227734110422,0.0362504594040361,True,,,provided_rehabilitation_reference,software_only,savitzky_golay_offline_by_frame,True,0.011111111111111112,0.0196078431372549,flexion,0.5686051650270667,0.3977749716509851,0.17083019337608163,0.6495473904713291,0.2771521837083144,reference_measured_raw,False,False,True,False,False,direct_Stage5A_measured_flexion_and_measured_extension,theta_shank = q_hip - q_knee,True,True,True
5846,5846,1.0,True,-0.0083888444408596,0.0165452935486304,0.2401396614993033,0.2401396614993033,0.0,0.0,0.0068648652817592,0.0068648652817592,0.3632031788438702,0.0177585756230171,0.3011909512298946,0.3011909512298946,0.2978183148541084,0.227692980028651,-0.0288029463013963,0.0288029463013963,0.712888590744371,0.0165452935486304,0.3229044389871643,0.3229044389871643,0.6449968375954005,0.2677691850405317,-0.0535186526238905,0.0535186526238905,0.6291035228180437,0.4820784727502495,0.1470250500677942,0.1149253392542244,-1.3877787807814454e-16,-0.5378144189619705,36.04497673428599,27.62106188270176,8.423914851584225,6.584736898376226,True,,True,True,True,,False,q_hip - q_knee,0.6449968375954005,0.2677691850405317,-0.0535186526238905,False,0.6527397582161949,0.5378144189619704,37.39923326617777,30.814496367801535,0.0,0.0,0.2978183148541084,0.227692980028651,0.6449968375954005,0.2677691850405317,0.0353128034837908,True,,,provided_rehabilitation_reference,software_only,savitzky_golay_offline_by_frame,True,0.022222222222222223,0.0392156862745098,flexion,0.6291035228180437,0.4820784727502495,0.1470250500677942,0.6363566239509508,0.2910852394141348,reference_measured_raw,False,False,True,False,False,direct_Stage5A_measured_flexion_and_measured_extension,theta_shank = q_hip - q_knee,True,True,True
5847,5847,1.0,True,-0.0070907993437225,0.012991115395794,0.2401396614993033,0.2401396614993033,0.0,0.0,0.0043475062323389,0.0043475062323389,0.3645012239410073,0.0142043974701807,0.3011909512298946,0.3011909512298946,0.2858529458005446,0.2431061510079805,-0.0272136030516512,0.0272136030516512,0.7141866358415081,0.012991115395794,0.3229044389871643,0.3229044389871643,0.6344993020362831,0.2664697561210307,-0.0527517870055656,0.0527517870055656,0.6901596998160627,0.5734394998858758,0.1167201999301869,0.0669122909608269,-1.3877787807814457e-17,-0.6378480654480632,39.54323798947621,32.85566314955334,6.687574839922875,3.833791869606752,True,,True,True,True,,False,q_hip - q_knee,0.6344993020362831,0.2664697561210307,-0.0527517870055656,False,0.7047603564088901,0.6378480654480632,40.37979399036508,36.54600212075833,0.0,0.0,0.2858529458005446,0.2431061510079805,0.6344993020362831,0.2664697561210307,0.0343619558706701,True,,,provided_rehabilitation_reference,software_only,savitzky_golay_offline_by_frame,True,0.03333333333333333,0.058823529411764705,flexion,0.6901596998160627,0.5734394998858758,0.1167201999301869,0.621839405341116,0.30233395024447995,reference_measured_raw,False,False,True,False,False,direct_Stage5A_measured_flexion_and_measured_extension,theta_shank = q_hip - q_knee,True,True,True
5848,5848,1.0,True,-0.0059534320449482,0.0112639521014749,0.2401396614993033,0.2401396614993033,0.0,0.0,0.0020273763690693,0.0020273763690693,0.3656385912397816,0.0124772341758615,0.3011909512298946,0.3011909512298946,0.2697427873536648,0.2608971865753128,-0.0293196108507897,0.0293196108507897,0.7153240031402824,0.0112639521014749,0.3229044389871643,0.3229044389871643,0.6184836649992739,0.283296789259428,-0.0543433387617969,0.0543433387617969,0.7506492951575845,0.6705089313083934,0.0801403638491911,0.064141822976016,0.0,-0.7045882000328924,43.009036506999614,38.41733188979817,4.591704617201446,3.675055746800971,True,,True,True,True,,False,q_hip - q_knee,0.6184836649992739,0.283296789259428,-0.0543433387617969,False,0.7687300230089084,0.7045882000328924,44.04498590340511,40.36993015660414,0.0,0.0,0.2697427873536648,0.2608971865753128,0.6184836649992739,0.283296789259428,0.0356695402417012,True,,,provided_rehabilitation_reference,software_only,savitzky_golay_offline_by_frame,True,0.044444444444444446,0.0784313725490196,flexion,0.7506492951575845,0.6705089313083934,0.0801403638491911,0.6061605183730573,0.3105041357367852,reference_measured_raw,False,False,True,False,False,direct_Stage5A_measured_flexion_and_measured_extension,theta_shank = q_hip - q_knee,True,True,True
5849,5849,1.0,True,-0.0054703121344691,0.0094937303093837,0.2401396614993033,0.2401396614993033,0.0,0.0,0.0011829179870848,0.0011829179870848,0.3661217111502608,0.0107070123837703,0.3011909512298946,0.3011909512298946,0.2626183294404113,0.2679068960001233,-0.0315564316934873,0.0315564316934873,0.7158071230507616,0.0094937303093837,0.3229044389871643,0.3229044389871643,0.6123415276279756,0.2784665266006709,-0.049799429008667,0.049799429008667,0.8107299474207816,0.7723971661252051,0.0383327812955764,0.0301850816954398,-2.012279232133096e-16,-0.7651813002487323,46.451404312073926,44.255097726839374,2.1963065852345567,1.7294777854063017,True,,True,True,True,,False,q_hip - q_knee,0.6123415276279756,0.2784665266006709,-0.049799429008667,False,0.7953663819441723,0.7651813002487322,45.57113685199132,43.841659066585,0.0,0.0,0.2626183294404113,0.2679068960001233,0.6123415276279756,0.2784665266006709,0.0340450231594339,True,,,provided_rehabilitation_reference,software_only,savitzky_golay_offline_by_frame,True,0.05555555555555555,0.09803921568627451,flexion,0.8107299474207816,0.7723971661252051,0.03833278129557649,0.5891468309261417,0.3159089354493476,reference_measured_raw,False,False,True,False,False,direct_Stage5A_measured_flexion_and_measured_extension,theta_shank = q_hip - q_knee,True,True,True
5850,5850,1.0,True,-0.0048672604846545,0.0081498079404797,0.2401396614993033,0.2401396614993033,0.0,0.0,-0.0002136139223305,0.0002136139223305,0.3667247628000754,0.0093630900148664,0.3011909512298946,0.3011909512298946,0.2441951887589115,0.2843661388421113,-0.0364906199596078,0.0364906199596078,0.7164101747005761,0.0081498079404797,0.3229044389871643,0.3229044389871643,0.5939801991186551,0.2943335843056581,-0.0539668082901728,0.0539668082901728,0.8684748179382691,0.8722801256774257,-0.0038053077391566,0.0284882100975761,4.8572257327350605e-17,-0.832764676964969,49.75994168125538,49.977969754457526,-0.2180280732021458,1.6322542044730868,True,,True,True,True,,False,q_hip - q_knee,0.5939801991186551,0.2943335843056581,-0.0539668082901728,False,0.8612528870625451,0.832764676964969,49.346155522141174,47.71390131766809,0.0,0.0,0.2441951887589115,0.2843661388421113,0.5939801991186551,0.2943335843056581,0.0376121761001789,True,,,provided_rehabilitation_reference,software_only,savitzky_golay_offline_by_frame,True,0.06666666666666667,0.11764705882352941,flexion,0.8684748179382691,0.8722801256774257,-0.0038053077391566603,0.5713142737315058,0.3194631300604677,reference_measured_raw,False,False,True,False,False,direct_Stage5A_measured_flexion_and_measured_extension,theta_shank = q_hip - q_knee,True,True,True
5851,5851,1.0,True,-0.0039888806153693,0.00741655271641,0.2401396614993033,0.2401396614993033,0.0,0.0,-0.0041805504710554,0.0041805504710554,0.3676031426693605,0.0086298347907966,0.3011909512298946,0.3011909512298946,0.2250002289552127,0.2999419622401382,-0.0391455566577752,0.0391455566577752,0.7172885545698613,0.00741655271641,0.3229044389871643,0.3229044389871643,0.5750391234239076,0.3000166808958326,-0.054015905552684,0.054015905552684,0.9243848496766464,0.9627463906137268,-0.0383615409370804,0.000213458149195,-7.35089072945172e-17,-0.9269883994740116,52.96335053230688,55.16130492361992,-2.197954391313042,0.012230251051552,True,,True,True,True,,False,q_hip - q_knee,0.5750391234239076,0.3000166808958326,-0.054015905552684,False,0.9272018576232066,0.9269883994740116,53.1247531984996,53.112522947448035,0.0,0.0,0.2250002289552127,0.2999419622401382,0.5750391234239076,0.3000166808958326,0.038590023153507,True,,,provided_rehabilitation_reference,software_only,savitzky_golay_offline_by_frame,True,0.07777777777777778,0.13725490196078433,flexion,0.9243848496766464,0.9627463906137268,-0.03836154093708044,0.5527561010223214,0.3237595253858989,reference_measured_raw,False,False,True,False,False,direct_Stage5A_measured_flexion_and_measured_extension,theta_shank = q_hip - q_knee,True,True,True
5852,5852,1.0,True,-0.0052073486313606,0.0112019188979717,0.2401396614993033,0.2401396614993033,0.0,0.0,-0.0051869989622835,0.0051869989622835,0.3663846746533692,0.0124152009723583,0.3011909512298946,0.3011909512298946,0.2015372670732611,0.3157966432464517,-0.0435464579641305,0.0435464579641305,0.71607008655387,0.0112019188979717,0.3229044389871643,0.3229044389871643,0.551426536077894,0.2978084763519676,-0.046378115990774,0.046378115990774,0.9759512535537934,1.0436135283275707,-0.0676622747737772,-0.0513658046554551,-8.326672684688674e-17,-1.0541362816240127,55.91788783913445,59.794650615926386,-3.876762776791935,-2.9430438180510143,True,,True,True,True,,False,q_hip - q_knee,0.551426536077894,0.2978084763519676,-0.046378115990774,False,1.0027704769685577,1.0541362816240127,57.45451615061888,60.39755996866989,0.0,0.0,0.2015372670732611,0.3157966432464517,0.551426536077894,0.2978084763519676,0.0368516331719061,True,,,provided_rehabilitation_reference,software_only,savitzky_golay_offline_by_frame,True,0.08888888888888889,0.1568627450980392,flexion,0.9759512535537934,1.0436135283275707,-0.06766227477377729,0.5346733215150031,0.32757563975421594,reference_measured_raw,False,False,True,False,False,direct_Stage5A_measured_flexion_and_measured_extension,theta_shank = q_hip - q_knee,True,True,True
5853,5853,1.0,True,-0.0045178008853001,0.0096465130593307,0.2401396614993033,0.2401396614993033,0.0,0.0,-0.0083095358448558,0.0083095358448558,0.3670742223994298,0.0108597951337173,0.3011909512298946,0.3011909512298946,0.191772396715623,0.3217724440043597,-0.0469571132256829,0.0469571132256829,0.7167596342999305,0.0096465130593307,0.3229044389871643,0.3229044389871643,0.5406124542277739,0.2893469443363596,-0.0493285782158657,0.0493285782158657,1.024754767907093,1.1178046941608102,-0.0930499262537172,-0.0926860124112864,0.0,-1.1260183331634048,58.71412323698465,64.0454912953262,-5.331368058341552,-5.310517331063882,True,,True,True,True,,False,q_hip - q_knee,0.5406124542277739,0.2893469443363596,-0.0493285782158657,False,1.0333323207521183,1.1260183331634048,59.20558081355503,64.51609814461892,0.0,0.0,0.191772396715623,0.3217724440043597,0.5406124542277739,0.2893469443363596,0.0396119826031018,True,,,provided_rehabilitation_reference,software_only,savitzky_golay_offline_by_frame,True,0.1,0.17647058823529413,flexion,1.024754767907093,1.1178046941608102,-0.09304992625371722,0.5168117528079341,0.33105177025377985,reference_measured_raw,False,False,True,False,False,direct_Stage5A_measured_flexion_and_measured_extension,theta_shank = q_hip - q_knee,True,True,True
