bundle_length,pair_count,stratum_count,pairs_per_stratum_min,pairs_per_stratum_max,all_residuals_finite,direct_endpoint_residual_only,calibration_status,research_uncertainty_candidate_may_be_designed_later,formal_threshold_ready,policy_enabled,statistical_power_claimed,data_role
2,216,18,12,12,True,True,BUNDLE_SCALE_CALIBRATED_FOR_RESEARCH,True,False,False,False,INDEPENDENT_CALIBRATION_DECISION_ERROR_ONLY
3,216,18,12,12,True,True,BUNDLE_SCALE_CALIBRATED_FOR_RESEARCH,True,False,False,False,INDEPENDENT_CALIBRATION_DECISION_ERROR_ONLY
5,216,18,12,12,True,True,BUNDLE_SCALE_CALIBRATED_FOR_RESEARCH,True,False,False,False,INDEPENDENT_CALIBRATION_DECISION_ERROR_ONLY
