bundle_pair_id,case_id,subject_id,scenario_name,calibration_category,coordinate,direction,bundle_length,location_class,start_trajectory_id,endpoint_trajectory_id,intermediate_trajectory_ids,deltaJ_pred,deltaJ_truth,e_deltaJ_bundle,residual_column,residual_computation,n_times_one_step_uncertainty_used,sqrt_n_times_one_step_uncertainty_used,analytic_scaling_formula_used,truth_read_after_manifest_freeze,truth_used_for_selection_or_assignment,used_to_select_threshold,used_by_policy,heldout_final_test_used,data_role
dbv_bundle_0016c60067a806ccde5c36be,calibration_subject_002__hip_knee_coupling_strong,calibration_subject_002,hip_knee_coupling_strong,MISMATCH,phase,NEGATIVE,5,INTERIOR,asym_h-3.250_k+0.500_p+0.02000,asym_h-3.250_k+0.500_p+0.00750,asym_h-3.250_k+0.500_p+0.01750;asym_h-3.250_k+0.500_p+0.01500;asym_h-3.250_k+0.500_p+0.01250;asym_h-3.250_k+0.500_p+0.01000,0.000116652631028,8.50282960414e-05,3.16243349867e-05,e_deltaJ_5,DIRECT_START_TO_ENDPOINT_DIFFERENCE,False,False,False,True,False,False,False,False,INDEPENDENT_CALIBRATION_DECISION_ERROR_ONLY
dbv_bundle_001730c022142ecf6baff28f,calibration_subject_006__combined_strong,calibration_subject_006,combined_strong,MISMATCH,phase,POSITIVE,5,INTERIOR,asym_h-3.250_k-4.250_p+0.00000,asym_h-3.250_k-4.250_p+0.01250,asym_h-3.250_k-4.250_p+0.00250;asym_h-3.250_k-4.250_p+0.00500;asym_h-3.250_k-4.250_p+0.00750;asym_h-3.250_k-4.250_p+0.01000,-0.000118490948567,6.16019273458e-05,0.000180092875913,e_deltaJ_5,DIRECT_START_TO_ENDPOINT_DIFFERENCE,False,False,False,True,False,False,False,False,INDEPENDENT_CALIBRATION_DECISION_ERROR_ONLY
dbv_bundle_00177eb20a1017951c98d036,calibration_subject_002__hip_knee_coupling_strong,calibration_subject_002,hip_knee_coupling_strong,MISMATCH,phase,POSITIVE,5,INTERIOR,asym_h+0.000_k+1.500_p-0.00750,asym_h+0.000_k+1.500_p+0.00500,asym_h+0.000_k+1.500_p-0.00500;asym_h+0.000_k+1.500_p-0.00250;asym_h+0.000_k+1.500_p+0.00000;asym_h+0.000_k+1.500_p+0.00250,-0.000122367588425,-0.000106826594596,1.55409938285e-05,e_deltaJ_5,DIRECT_START_TO_ENDPOINT_DIFFERENCE,False,False,False,True,False,False,False,False,INDEPENDENT_CALIBRATION_DECISION_ERROR_ONLY
dbv_bundle_0017e52951f3ca22e3bc255f,calibration_subject_003__matched_linear,calibration_subject_003,matched_linear,MATCHED,knee,NEGATIVE,5,INTERIOR,asym_h+0.750_k+0.000_p+0.03000,asym_h+0.750_k-1.250_p+0.03000,asym_h+0.750_k-0.250_p+0.03000;asym_h+0.750_k-0.500_p+0.03000;asym_h+0.750_k-0.750_p+0.03000;asym_h+0.750_k-1.000_p+0.03000,-0.00579392608865,-0.00579392608865,1.11022302463e-16,e_deltaJ_5,DIRECT_START_TO_ENDPOINT_DIFFERENCE,False,False,False,True,False,False,False,False,INDEPENDENT_CALIBRATION_DECISION_ERROR_ONLY
dbv_bundle_0018478cca98a439c9195b34,calibration_subject_003__matched_linear,calibration_subject_003,matched_linear,MATCHED,hip,NEGATIVE,5,INTERIOR,asym_h-1.250_k+1.750_p+0.02000,asym_h-2.500_k+1.750_p+0.02000,asym_h-1.500_k+1.750_p+0.02000;asym_h-1.750_k+1.750_p+0.02000;asym_h-2.000_k+1.750_p+0.02000;asym_h-2.250_k+1.750_p+0.02000,0.000771790100069,0.000771790100069,2.22044604925e-16,e_deltaJ_5,DIRECT_START_TO_ENDPOINT_DIFFERENCE,False,False,False,True,False,False,False,False,INDEPENDENT_CALIBRATION_DECISION_ERROR_ONLY
dbv_bundle_0018e8959fada06f52d9355c,calibration_subject_002__hip_knee_coupling_strong,calibration_subject_002,hip_knee_coupling_strong,MISMATCH,knee,NEGATIVE,5,INTERIOR,asym_h-1.000_k+0.750_p-0.02750,asym_h-1.000_k-0.500_p-0.02750,asym_h-1.000_k+0.500_p-0.02750;asym_h-1.000_k+0.250_p-0.02750;asym_h-1.000_k+0.000_p-0.02750;asym_h-1.000_k-0.250_p-0.02750,-0.00617087728,-0.00660244250837,0.00043156522837,e_deltaJ_5,DIRECT_START_TO_ENDPOINT_DIFFERENCE,False,False,False,True,False,False,False,False,INDEPENDENT_CALIBRATION_DECISION_ERROR_ONLY
dbv_bundle_0019ad567f65e6cac54ba7f0,calibration_subject_006__matched_linear,calibration_subject_006,matched_linear,MATCHED,phase,NEGATIVE,5,INTERIOR,asym_h+1.000_k-2.750_p+0.02500,asym_h+1.000_k-2.750_p+0.01250,asym_h+1.000_k-2.750_p+0.02250;asym_h+1.000_k-2.750_p+0.02000;asym_h+1.000_k-2.750_p+0.01750;asym_h+1.000_k-2.750_p+0.01500,-5.78981974919e-07,-5.78982041755e-07,6.68354260824e-14,e_deltaJ_5,DIRECT_START_TO_ENDPOINT_DIFFERENCE,False,False,False,True,False,False,False,False,INDEPENDENT_CALIBRATION_DECISION_ERROR_ONLY
dbv_bundle_0019ce5f8b6e8421cdc1be01,calibration_subject_002__matched_linear,calibration_subject_002,matched_linear,MATCHED,knee,POSITIVE,5,INTERIOR,asym_h-5.000_k-3.000_p+0.02500,asym_h-5.000_k-1.750_p+0.02500,asym_h-5.000_k-2.750_p+0.02500;asym_h-5.000_k-2.500_p+0.02500;asym_h-5.000_k-2.250_p+0.02500;asym_h-5.000_k-2.000_p+0.02500,0.0059007770545,0.0059007770545,5.55111512313e-16,e_deltaJ_5,DIRECT_START_TO_ENDPOINT_DIFFERENCE,False,False,False,True,False,False,False,False,INDEPENDENT_CALIBRATION_DECISION_ERROR_ONLY
dbv_bundle_001a089355408e86b3824197,calibration_subject_001__matched_linear,calibration_subject_001,matched_linear,MATCHED,knee,POSITIVE,5,INTERIOR,asym_h-1.500_k-1.250_p+0.00250,asym_h-1.500_k+0.000_p+0.00250,asym_h-1.500_k-1.000_p+0.00250;asym_h-1.500_k-0.750_p+0.00250;asym_h-1.500_k-0.500_p+0.00250;asym_h-1.500_k-0.250_p+0.00250,0.00565539091973,0.00565539091974,9.65894031424e-15,e_deltaJ_5,DIRECT_START_TO_ENDPOINT_DIFFERENCE,False,False,False,True,False,False,False,False,INDEPENDENT_CALIBRATION_DECISION_ERROR_ONLY
dbv_bundle_001a08c76c75f8da242f54ec,calibration_subject_001__matched_linear,calibration_subject_001,matched_linear,MATCHED,hip,NEGATIVE,5,INTERIOR,asym_h+1.000_k+2.000_p+0.02250,asym_h-0.250_k+2.000_p+0.02250,asym_h+0.750_k+2.000_p+0.02250;asym_h+0.500_k+2.000_p+0.02250;asym_h+0.250_k+2.000_p+0.02250;asym_h+0.000_k+2.000_p+0.02250,-0.000292816714861,-0.000292816714851,1.04360964315e-14,e_deltaJ_5,DIRECT_START_TO_ENDPOINT_DIFFERENCE,False,False,False,True,False,False,False,False,INDEPENDENT_CALIBRATION_DECISION_ERROR_ONLY
