summary_scope,n,mean,median,P90,P95,P99,max,decision_scale,percentile_method,threshold_selected,data_role
OVERALL,216,0.000313354386508,1.68797149258e-06,0.00127764040456,0.00164217053717,0.00338315735589,0.00378029590608,2-step,NUMPY_LINEAR,False,INDEPENDENT_CALIBRATION_DECISION_ERROR_ONLY
OVERALL,216,0.000468746926579,8.80347055587e-07,0.0018866659079,0.00244544326845,0.00519358473251,0.00556871183843,3-step,NUMPY_LINEAR,False,INDEPENDENT_CALIBRATION_DECISION_ERROR_ONLY
OVERALL,216,0.000767586450732,3.40748054162e-06,0.00319594940929,0.00400496043747,0.00792314538021,0.00893051968704,5-step,NUMPY_LINEAR,False,INDEPENDENT_CALIBRATION_DECISION_ERROR_ONLY
