bundle_pair_id,case_id,subject_id,scenario_name,calibration_category,coordinate,direction,bundle_length,location_class,start_trajectory_id,endpoint_trajectory_id,intermediate_trajectory_ids,deltaJ_pred,deltaJ_truth,e_deltaJ_bundle,residual_column,residual_computation,n_times_one_step_uncertainty_used,sqrt_n_times_one_step_uncertainty_used,analytic_scaling_formula_used,truth_read_after_manifest_freeze,truth_used_for_selection_or_assignment,used_to_select_threshold,used_by_policy,heldout_final_test_used,data_role
dbv_bundle_0048929c3c6c3500b35fac31,calibration_subject_002__hip_knee_coupling_strong,calibration_subject_002,hip_knee_coupling_strong,MISMATCH,phase,NEGATIVE,3,UPPER_BOUNDARY,asym_h+0.750_k-2.500_p+0.03000,asym_h+0.750_k-2.500_p+0.02250,asym_h+0.750_k-2.500_p+0.02750;asym_h+0.750_k-2.500_p+0.02500,5.86103126704e-05,2.06452296834e-05,3.7965082987e-05,e_deltaJ_3,DIRECT_START_TO_ENDPOINT_DIFFERENCE,False,False,False,True,False,False,False,False,INDEPENDENT_CALIBRATION_DECISION_ERROR_ONLY
dbv_bundle_004b4f911659c994246e462e,calibration_subject_005__hip_knee_coupling_strong,calibration_subject_005,hip_knee_coupling_strong,MISMATCH,knee,POSITIVE,3,UPPER_BOUNDARY,asym_h-4.500_k+1.250_p-0.02750,asym_h-4.500_k+2.000_p-0.02750,asym_h-4.500_k+1.500_p-0.02750;asym_h-4.500_k+1.750_p-0.02750,0.00388476605941,0.00423688027097,0.000352114211558,e_deltaJ_3,DIRECT_START_TO_ENDPOINT_DIFFERENCE,False,False,False,True,False,False,False,False,INDEPENDENT_CALIBRATION_DECISION_ERROR_ONLY
dbv_bundle_004fb16b14a708d87e79dbd9,calibration_subject_006__combined_strong,calibration_subject_006,combined_strong,MISMATCH,knee,NEGATIVE,3,UPPER_BOUNDARY,asym_h+0.750_k+2.000_p-0.00500,asym_h+0.750_k+1.250_p-0.00500,asym_h+0.750_k+1.750_p-0.00500;asym_h+0.750_k+1.500_p-0.00500,-0.0036777989133,-0.00908263446789,0.00540483555459,e_deltaJ_3,DIRECT_START_TO_ENDPOINT_DIFFERENCE,False,False,False,True,False,False,False,False,INDEPENDENT_CALIBRATION_DECISION_ERROR_ONLY
dbv_bundle_005b7365bb0fe0915a3751f5,calibration_subject_005__matched_linear,calibration_subject_005,matched_linear,MATCHED,phase,POSITIVE,3,LOWER_BOUNDARY,asym_h-5.000_k+1.000_p-0.03000,asym_h-5.000_k+1.000_p-0.02250,asym_h-5.000_k+1.000_p-0.02750;asym_h-5.000_k+1.000_p-0.02500,-7.46255491799e-05,-7.46255491804e-05,4.4408920985e-16,e_deltaJ_3,DIRECT_START_TO_ENDPOINT_DIFFERENCE,False,False,False,True,False,False,False,False,INDEPENDENT_CALIBRATION_DECISION_ERROR_ONLY
dbv_bundle_005ce575557fea7196f2421d,calibration_subject_005__matched_linear,calibration_subject_005,matched_linear,MATCHED,hip,POSITIVE,3,UPPER_BOUNDARY,asym_h+1.250_k+1.250_p-0.00750,asym_h+2.000_k+1.250_p-0.00750,asym_h+1.500_k+1.250_p-0.00750;asym_h+1.750_k+1.250_p-0.00750,-0.00097948873507,-0.00097948873507,2.22044604925e-16,e_deltaJ_3,DIRECT_START_TO_ENDPOINT_DIFFERENCE,False,False,False,True,False,False,False,False,INDEPENDENT_CALIBRATION_DECISION_ERROR_ONLY
dbv_bundle_0066b0aaf27cd74054ea0ad7,calibration_subject_003__matched_linear,calibration_subject_003,matched_linear,MATCHED,hip,POSITIVE,3,LOWER_BOUNDARY,asym_h-5.000_k-0.250_p+0.00750,asym_h-4.250_k-0.250_p+0.00750,asym_h-4.750_k-0.250_p+0.00750;asym_h-4.500_k-0.250_p+0.00750,-0.000486117734038,-0.000486117734038,0,e_deltaJ_3,DIRECT_START_TO_ENDPOINT_DIFFERENCE,False,False,False,True,False,False,False,False,INDEPENDENT_CALIBRATION_DECISION_ERROR_ONLY
dbv_bundle_0066b67615ceb77e57976cb9,calibration_subject_003__matched_linear,calibration_subject_003,matched_linear,MATCHED,knee,NEGATIVE,3,UPPER_BOUNDARY,asym_h-1.000_k+2.000_p-0.02250,asym_h-1.000_k+1.250_p-0.02250,asym_h-1.000_k+1.750_p-0.02250;asym_h-1.000_k+1.500_p-0.02250,-0.00356260072348,-0.00356260072348,0,e_deltaJ_3,DIRECT_START_TO_ENDPOINT_DIFFERENCE,False,False,False,True,False,False,False,False,INDEPENDENT_CALIBRATION_DECISION_ERROR_ONLY
dbv_bundle_006c87c0889c0a956a517d75,calibration_subject_002__hip_knee_coupling_strong,calibration_subject_002,hip_knee_coupling_strong,MISMATCH,knee,POSITIVE,3,UPPER_BOUNDARY,asym_h-2.250_k+1.250_p+0.03000,asym_h-2.250_k+2.000_p+0.03000,asym_h-2.250_k+1.500_p+0.03000;asym_h-2.250_k+1.750_p+0.03000,0.00373568713818,0.00401369841533,0.00027801127715,e_deltaJ_3,DIRECT_START_TO_ENDPOINT_DIFFERENCE,False,False,False,True,False,False,False,False,INDEPENDENT_CALIBRATION_DECISION_ERROR_ONLY
dbv_bundle_006ca20dbe695203eb500398,calibration_subject_004__nonlinear_stiffness_strong,calibration_subject_004,nonlinear_stiffness_strong,MISMATCH,hip,POSITIVE,3,UPPER_BOUNDARY,asym_h+1.250_k+0.250_p+0.00750,asym_h+2.000_k+0.250_p+0.00750,asym_h+1.500_k+0.250_p+0.00750;asym_h+1.750_k+0.250_p+0.00750,-0.000128943793975,0.00144120363584,0.00157014742982,e_deltaJ_3,DIRECT_START_TO_ENDPOINT_DIFFERENCE,False,False,False,True,False,False,False,False,INDEPENDENT_CALIBRATION_DECISION_ERROR_ONLY
dbv_bundle_007a2def126d56cf5ce9736e,calibration_subject_002__matched_linear,calibration_subject_002,matched_linear,MATCHED,hip,POSITIVE,3,LOWER_BOUNDARY,asym_h-5.000_k-2.500_p+0.01000,asym_h-4.250_k-2.500_p+0.01000,asym_h-4.750_k-2.500_p+0.01000;asym_h-4.500_k-2.500_p+0.01000,-0.00158816822927,-0.00158816822927,0,e_deltaJ_3,DIRECT_START_TO_ENDPOINT_DIFFERENCE,False,False,False,True,False,False,False,False,INDEPENDENT_CALIBRATION_DECISION_ERROR_ONLY
dbv_bundle_00905ee91c8b793625dbfada,calibration_subject_005__hip_knee_coupling_strong,calibration_subject_005,hip_knee_coupling_strong,MISMATCH,hip,POSITIVE,3,LOWER_BOUNDARY,asym_h-5.000_k-3.750_p+0.01250,asym_h-4.250_k-3.750_p+0.01250,asym_h-4.750_k-3.750_p+0.01250;asym_h-4.500_k-3.750_p+0.01250,-0.000921854978407,-0.00121176296156,0.000289907983153,e_deltaJ_3,DIRECT_START_TO_ENDPOINT_DIFFERENCE,False,False,False,True,False,False,False,False,INDEPENDENT_CALIBRATION_DECISION_ERROR_ONLY
dbv_bundle_0095daffe5f58944a1fd4b01,calibration_subject_003__combined_strong,calibration_subject_003,combined_strong,MISMATCH,knee,NEGATIVE,3,UPPER_BOUNDARY,asym_h-4.750_k+2.000_p+0.01500,asym_h-4.750_k+1.250_p+0.01500,asym_h-4.750_k+1.750_p+0.01500;asym_h-4.750_k+1.500_p+0.01500,-0.00330443831041,-0.00581561562477,0.00251117731436,e_deltaJ_3,DIRECT_START_TO_ENDPOINT_DIFFERENCE,False,False,False,True,False,False,False,False,INDEPENDENT_CALIBRATION_DECISION_ERROR_ONLY
dbv_bundle_009899e2546f7846a7441d84,calibration_subject_002__hip_knee_coupling_strong,calibration_subject_002,hip_knee_coupling_strong,MISMATCH,hip,NEGATIVE,3,UPPER_BOUNDARY,asym_h+2.000_k-0.500_p-0.01000,asym_h+1.250_k-0.500_p-0.01000,asym_h+1.750_k-0.500_p-0.01000;asym_h+1.500_k-0.500_p-0.01000,0.00130051117908,0.00157090556093,0.000270394381859,e_deltaJ_3,DIRECT_START_TO_ENDPOINT_DIFFERENCE,False,False,False,True,False,False,False,False,INDEPENDENT_CALIBRATION_DECISION_ERROR_ONLY
dbv_bundle_0098acc84bbf94d11714f14d,calibration_subject_001__matched_linear,calibration_subject_001,matched_linear,MATCHED,phase,POSITIVE,3,LOWER_BOUNDARY,asym_h-5.000_k-1.500_p-0.03000,asym_h-5.000_k-1.500_p-0.02250,asym_h-5.000_k-1.500_p-0.02750;asym_h-5.000_k-1.500_p-0.02500,-6.71817856694e-05,-6.71817856734e-05,3.99680288865e-15,e_deltaJ_3,DIRECT_START_TO_ENDPOINT_DIFFERENCE,False,False,False,True,False,False,False,False,INDEPENDENT_CALIBRATION_DECISION_ERROR_ONLY
