summary_scope,coordinate,direction,n,mean,median,P90,P95,P99,max,decision_scale,percentile_method,threshold_selected,data_role,location_class,direction_evidence_status,heteroscedasticity_threshold_defined,axis_specific_threshold_created
AXIS_DIRECTION_LOCATION,phase,NEGATIVE,36,1.35230102033e-05,2.48469363417e-08,4.46630462791e-05,5.21148830444e-05,6.40277032798e-05,6.60929468778e-05,1-step,NUMPY_LINEAR,False,INDEPENDENT_CALIBRATION_DECISION_ERROR_ONLY,INTERIOR,SYMMETRIC_REVERSE_VIEW_NOT_AN_INDEPENDENT_PAIR,False,False
AXIS_DIRECTION_LOCATION,phase,NEGATIVE,36,7.52490966375e-06,1.7632510661e-06,2.57727371037e-05,3.23580704734e-05,3.73775167085e-05,3.81078713616e-05,1-step,NUMPY_LINEAR,False,INDEPENDENT_CALIBRATION_DECISION_ERROR_ONLY,LOWER_EDGE,SYMMETRIC_REVERSE_VIEW_NOT_AN_INDEPENDENT_PAIR,False,False
AXIS_DIRECTION_LOCATION,phase,NEGATIVE,36,2.8509958342e-05,2.44137538974e-06,9.93949962078e-05,0.000103402413932,0.000156584860749,0.00018280106643,1-step,NUMPY_LINEAR,False,INDEPENDENT_CALIBRATION_DECISION_ERROR_ONLY,UPPER_EDGE,SYMMETRIC_REVERSE_VIEW_NOT_AN_INDEPENDENT_PAIR,False,False
AXIS_DIRECTION_LOCATION,phase,POSITIVE,36,1.35230102033e-05,2.48469363417e-08,4.46630462791e-05,5.21148830444e-05,6.40277032798e-05,6.60929468778e-05,1-step,NUMPY_LINEAR,False,INDEPENDENT_CALIBRATION_DECISION_ERROR_ONLY,INTERIOR,CANONICAL_FROZEN_PAIR,False,False
AXIS_DIRECTION_LOCATION,phase,POSITIVE,36,7.52490966375e-06,1.7632510661e-06,2.57727371037e-05,3.23580704734e-05,3.73775167085e-05,3.81078713616e-05,1-step,NUMPY_LINEAR,False,INDEPENDENT_CALIBRATION_DECISION_ERROR_ONLY,LOWER_EDGE,CANONICAL_FROZEN_PAIR,False,False
AXIS_DIRECTION_LOCATION,phase,POSITIVE,36,2.8509958342e-05,2.44137538974e-06,9.93949962078e-05,0.000103402413932,0.000156584860749,0.00018280106643,1-step,NUMPY_LINEAR,False,INDEPENDENT_CALIBRATION_DECISION_ERROR_ONLY,UPPER_EDGE,CANONICAL_FROZEN_PAIR,False,False
AXIS_DIRECTION,hip,NEGATIVE,36,0.000255139824783,7.05003625797e-05,0.000806788528806,0.000845569520323,0.000990700290614,0.00104204914248,2-step,NUMPY_LINEAR,False,INDEPENDENT_CALIBRATION_DECISION_ERROR_ONLY,,,False,False
AXIS_DIRECTION,hip,POSITIVE,36,0.000261344967314,7.56401544595e-05,0.000764743163471,0.0008401001868,0.00100437135105,0.00106548506258,2-step,NUMPY_LINEAR,False,INDEPENDENT_CALIBRATION_DECISION_ERROR_ONLY,,,False,False
AXIS_DIRECTION,knee,NEGATIVE,36,0.000647481749587,5.78772640489e-05,0.00167022868414,0.00270811337336,0.00347182418705,0.00378029590608,2-step,NUMPY_LINEAR,False,INDEPENDENT_CALIBRATION_DECISION_ERROR_ONLY,,,False,False
AXIS_DIRECTION,knee,POSITIVE,36,0.000683423923726,6.64021155611e-05,0.00167765978534,0.00290197801541,0.0036178369272,0.0036981920195,2-step,NUMPY_LINEAR,False,INDEPENDENT_CALIBRATION_DECISION_ERROR_ONLY,,,False,False
