summary_scope,n,mean,median,P90,P95,P99,max,decision_scale,percentile_method,threshold_selected,data_role,coordinate,location_class,calibration_category,direction,direction_evidence_status
FULL_STRATIFICATION,18,0.000478066691846,0.00032023124564,0.00111938425879,0.00127289073446,0.00146884051986,0.00151782796622,1-step,NUMPY_LINEAR,False,INDEPENDENT_CALIBRATION_DECISION_ERROR_ONLY,hip,LOWER_EDGE,MISMATCH,POSITIVE,CANONICAL_FROZEN_PAIR
FULL_STRATIFICATION,18,4.14483262527e-15,2.77555756156e-16,1.00697228334e-14,1.84463555541e-14,3.21109805412e-14,3.5527136788e-14,1-step,NUMPY_LINEAR,False,INDEPENDENT_CALIBRATION_DECISION_ERROR_ONLY,hip,UPPER_EDGE,MATCHED,POSITIVE,CANONICAL_FROZEN_PAIR
FULL_STRATIFICATION,18,0.000681891267679,0.00043749824869,0.00159213913646,0.00180354063934,0.00203925943643,0.00209818913571,1-step,NUMPY_LINEAR,False,INDEPENDENT_CALIBRATION_DECISION_ERROR_ONLY,hip,UPPER_EDGE,MISMATCH,POSITIVE,CANONICAL_FROZEN_PAIR
FULL_STRATIFICATION,18,6.35911076883e-15,6.10622663544e-16,1.67310609811e-14,3.02480263059e-14,5.31230615053e-14,5.88418203051e-14,1-step,NUMPY_LINEAR,False,INDEPENDENT_CALIBRATION_DECISION_ERROR_ONLY,knee,INTERIOR,MATCHED,NEGATIVE,SYMMETRIC_REVERSE_VIEW_NOT_AN_INDEPENDENT_PAIR
FULL_STRATIFICATION,18,0.001554794901,0.00109447877165,0.00311070526528,0.00388006732535,0.00596784893382,0.00648979433594,1-step,NUMPY_LINEAR,False,INDEPENDENT_CALIBRATION_DECISION_ERROR_ONLY,knee,INTERIOR,MISMATCH,NEGATIVE,SYMMETRIC_REVERSE_VIEW_NOT_AN_INDEPENDENT_PAIR
FULL_STRATIFICATION,18,5.79783135082e-15,2.77555756156e-16,1.5509815654e-14,2.8987923173e-14,4.81636952543e-14,5.29576382746e-14,1-step,NUMPY_LINEAR,False,INDEPENDENT_CALIBRATION_DECISION_ERROR_ONLY,knee,LOWER_EDGE,MATCHED,NEGATIVE,SYMMETRIC_REVERSE_VIEW_NOT_AN_INDEPENDENT_PAIR
FULL_STRATIFICATION,18,0.00133302498572,0.000925952929342,0.00265511576781,0.003090617041,0.00503518127636,0.0055213223352,1-step,NUMPY_LINEAR,False,INDEPENDENT_CALIBRATION_DECISION_ERROR_ONLY,knee,LOWER_EDGE,MISMATCH,NEGATIVE,SYMMETRIC_REVERSE_VIEW_NOT_AN_INDEPENDENT_PAIR
FULL_STRATIFICATION,18,6.95739762098e-15,5.55111512313e-16,1.9340085089e-14,3.44502204541e-14,5.57398571743e-14,6.10622663544e-14,1-step,NUMPY_LINEAR,False,INDEPENDENT_CALIBRATION_DECISION_ERROR_ONLY,knee,UPPER_EDGE,MATCHED,NEGATIVE,SYMMETRIC_REVERSE_VIEW_NOT_AN_INDEPENDENT_PAIR
FULL_STRATIFICATION,18,0.00176045711929,0.00125425638796,0.00344075920349,0.00425660095437,0.00664391607371,0.00724074485354,1-step,NUMPY_LINEAR,False,INDEPENDENT_CALIBRATION_DECISION_ERROR_ONLY,knee,UPPER_EDGE,MISMATCH,NEGATIVE,SYMMETRIC_REVERSE_VIEW_NOT_AN_INDEPENDENT_PAIR
FULL_STRATIFICATION,18,6.35911076883e-15,6.10622663544e-16,1.67310609811e-14,3.02480263059e-14,5.31230615053e-14,5.88418203051e-14,1-step,NUMPY_LINEAR,False,INDEPENDENT_CALIBRATION_DECISION_ERROR_ONLY,knee,INTERIOR,MATCHED,POSITIVE,CANONICAL_FROZEN_PAIR
FULL_STRATIFICATION,18,0.001554794901,0.00109447877165,0.00311070526528,0.00388006732535,0.00596784893382,0.00648979433594,1-step,NUMPY_LINEAR,False,INDEPENDENT_CALIBRATION_DECISION_ERROR_ONLY,knee,INTERIOR,MISMATCH,POSITIVE,CANONICAL_FROZEN_PAIR
FULL_STRATIFICATION,18,5.79783135082e-15,2.77555756156e-16,1.5509815654e-14,2.8987923173e-14,4.81636952543e-14,5.29576382746e-14,1-step,NUMPY_LINEAR,False,INDEPENDENT_CALIBRATION_DECISION_ERROR_ONLY,knee,LOWER_EDGE,MATCHED,POSITIVE,CANONICAL_FROZEN_PAIR
FULL_STRATIFICATION,18,0.00133302498572,0.000925952929342,0.00265511576781,0.003090617041,0.00503518127636,0.0055213223352,1-step,NUMPY_LINEAR,False,INDEPENDENT_CALIBRATION_DECISION_ERROR_ONLY,knee,LOWER_EDGE,MISMATCH,POSITIVE,CANONICAL_FROZEN_PAIR
FULL_STRATIFICATION,18,6.95739762098e-15,5.55111512313e-16,1.9340085089e-14,3.44502204541e-14,5.57398571743e-14,6.10622663544e-14,1-step,NUMPY_LINEAR,False,INDEPENDENT_CALIBRATION_DECISION_ERROR_ONLY,knee,UPPER_EDGE,MATCHED,POSITIVE,CANONICAL_FROZEN_PAIR
FULL_STRATIFICATION,18,0.00176045711929,0.00125425638796,0.00344075920349,0.00425660095437,0.00664391607371,0.00724074485354,1-step,NUMPY_LINEAR,False,INDEPENDENT_CALIBRATION_DECISION_ERROR_ONLY,knee,UPPER_EDGE,MISMATCH,POSITIVE,CANONICAL_FROZEN_PAIR
FULL_STRATIFICATION,18,5.85334250205e-15,3.33066907388e-16,1.77968750847e-14,3.11473069559e-14,4.90396612207e-14,5.35127497869e-14,1-step,NUMPY_LINEAR,False,INDEPENDENT_CALIBRATION_DECISION_ERROR_ONLY,phase,INTERIOR,MATCHED,NEGATIVE,SYMMETRIC_REVERSE_VIEW_NOT_AN_INDEPENDENT_PAIR
FULL_STRATIFICATION,18,2.70460204007e-05,2.40023633379e-05,5.26533742337e-05,6.10773552827e-05,6.50898285588e-05,6.60929468778e-05,1-step,NUMPY_LINEAR,False,INDEPENDENT_CALIBRATION_DECISION_ERROR_ONLY,phase,INTERIOR,MISMATCH,NEGATIVE,SYMMETRIC_REVERSE_VIEW_NOT_AN_INDEPENDENT_PAIR
