case_id,subject_id,scenario_name,framework_id,horizon_steps,number_of_executed_trials,number_of_explore_trials,number_of_exploit_trials,first_exploit_iteration,decision_latency_trials,latent_intermediate_nodes_skipped,intermediate_trajectory_executions,endpoint_executions,accepted_meaningful_improvements,wrong_direction_executions,accepted_improvements_per_trial,intermediate_execution_policy,evidence_level
baseline__structured_residual,baseline,structured_residual,BUNDLE_5,5,4,0,4,1,0,16,0,4,4,0,1,ZERO_INTERMEDIATE_EXECUTIONS,OFFLINE_ONLY
baseline__combined_mild,baseline,combined_mild,SINGLE_STEP,1,0,0,0,,0,0,0,0,0,0,0,ZERO_INTERMEDIATE_EXECUTIONS,OFFLINE_ONLY
baseline__combined_mild,baseline,combined_mild,BUNDLE_2,2,0,0,0,,0,0,0,0,0,0,0,ZERO_INTERMEDIATE_EXECUTIONS,OFFLINE_ONLY
baseline__combined_mild,baseline,combined_mild,BUNDLE_3,3,0,0,0,,0,0,0,0,0,0,0,ZERO_INTERMEDIATE_EXECUTIONS,OFFLINE_ONLY
baseline__combined_mild,baseline,combined_mild,BUNDLE_5,5,4,0,4,1,0,16,0,4,4,0,1,ZERO_INTERMEDIATE_EXECUTIONS,OFFLINE_ONLY
prospective_subject_001__matched_linear,prospective_subject_001,matched_linear,SINGLE_STEP,1,8,8,0,,8,0,0,0,0,0,0,ZERO_INTERMEDIATE_EXECUTIONS,OFFLINE_ONLY
prospective_subject_001__matched_linear,prospective_subject_001,matched_linear,BUNDLE_2,2,8,8,0,,8,0,0,0,0,0,0,ZERO_INTERMEDIATE_EXECUTIONS,OFFLINE_ONLY
prospective_subject_001__matched_linear,prospective_subject_001,matched_linear,BUNDLE_3,3,8,8,0,,8,0,0,0,0,0,0,ZERO_INTERMEDIATE_EXECUTIONS,OFFLINE_ONLY
prospective_subject_001__matched_linear,prospective_subject_001,matched_linear,BUNDLE_5,5,12,8,4,2,1,16,0,4,4,7,0.333333333333,ZERO_INTERMEDIATE_EXECUTIONS,OFFLINE_ONLY
prospective_subject_001__nonlinear_stiffness_strong,prospective_subject_001,nonlinear_stiffness_strong,SINGLE_STEP,1,0,0,0,,0,0,0,0,0,0,0,ZERO_INTERMEDIATE_EXECUTIONS,OFFLINE_ONLY
prospective_subject_001__nonlinear_stiffness_strong,prospective_subject_001,nonlinear_stiffness_strong,BUNDLE_2,2,0,0,0,,0,0,0,0,0,0,0,ZERO_INTERMEDIATE_EXECUTIONS,OFFLINE_ONLY
prospective_subject_001__nonlinear_stiffness_strong,prospective_subject_001,nonlinear_stiffness_strong,BUNDLE_3,3,0,0,0,,0,0,0,0,0,0,0,ZERO_INTERMEDIATE_EXECUTIONS,OFFLINE_ONLY
prospective_subject_001__nonlinear_stiffness_strong,prospective_subject_001,nonlinear_stiffness_strong,BUNDLE_5,5,4,0,4,1,0,16,0,4,4,0,1,ZERO_INTERMEDIATE_EXECUTIONS,OFFLINE_ONLY
prospective_subject_002__matched_linear,prospective_subject_002,matched_linear,SINGLE_STEP,1,8,8,0,,8,0,0,0,0,0,0,ZERO_INTERMEDIATE_EXECUTIONS,OFFLINE_ONLY
prospective_subject_002__matched_linear,prospective_subject_002,matched_linear,BUNDLE_2,2,8,8,0,,8,0,0,0,0,0,0,ZERO_INTERMEDIATE_EXECUTIONS,OFFLINE_ONLY
prospective_subject_002__matched_linear,prospective_subject_002,matched_linear,BUNDLE_3,3,8,8,0,,8,0,0,0,0,0,0,ZERO_INTERMEDIATE_EXECUTIONS,OFFLINE_ONLY
prospective_subject_002__matched_linear,prospective_subject_002,matched_linear,BUNDLE_5,5,12,8,4,2,1,16,0,4,4,7,0.333333333333,ZERO_INTERMEDIATE_EXECUTIONS,OFFLINE_ONLY
prospective_subject_002__hip_knee_coupling_strong,prospective_subject_002,hip_knee_coupling_strong,SINGLE_STEP,1,0,0,0,,0,0,0,0,0,0,0,ZERO_INTERMEDIATE_EXECUTIONS,OFFLINE_ONLY
prospective_subject_002__hip_knee_coupling_strong,prospective_subject_002,hip_knee_coupling_strong,BUNDLE_2,2,0,0,0,,0,0,0,0,0,0,0,ZERO_INTERMEDIATE_EXECUTIONS,OFFLINE_ONLY
prospective_subject_002__hip_knee_coupling_strong,prospective_subject_002,hip_knee_coupling_strong,BUNDLE_3,3,0,0,0,,0,0,0,0,0,0,0,ZERO_INTERMEDIATE_EXECUTIONS,OFFLINE_ONLY
prospective_subject_002__hip_knee_coupling_strong,prospective_subject_002,hip_knee_coupling_strong,BUNDLE_5,5,4,0,4,1,0,16,0,4,4,0,1,ZERO_INTERMEDIATE_EXECUTIONS,OFFLINE_ONLY
prospective_subject_003__matched_linear,prospective_subject_003,matched_linear,SINGLE_STEP,1,8,8,0,,8,0,0,0,0,0,0,ZERO_INTERMEDIATE_EXECUTIONS,OFFLINE_ONLY
prospective_subject_003__matched_linear,prospective_subject_003,matched_linear,BUNDLE_2,2,8,8,0,,8,0,0,0,0,0,0,ZERO_INTERMEDIATE_EXECUTIONS,OFFLINE_ONLY
prospective_subject_003__matched_linear,prospective_subject_003,matched_linear,BUNDLE_3,3,8,8,0,,8,0,0,0,0,0,0,ZERO_INTERMEDIATE_EXECUTIONS,OFFLINE_ONLY
prospective_subject_003__matched_linear,prospective_subject_003,matched_linear,BUNDLE_5,5,12,8,4,2,1,16,0,4,4,7,0.333333333333,ZERO_INTERMEDIATE_EXECUTIONS,OFFLINE_ONLY
prospective_subject_003__combined_strong,prospective_subject_003,combined_strong,SINGLE_STEP,1,0,0,0,,0,0,0,0,0,0,0,ZERO_INTERMEDIATE_EXECUTIONS,OFFLINE_ONLY
prospective_subject_003__combined_strong,prospective_subject_003,combined_strong,BUNDLE_2,2,0,0,0,,0,0,0,0,0,0,0,ZERO_INTERMEDIATE_EXECUTIONS,OFFLINE_ONLY
prospective_subject_003__combined_strong,prospective_subject_003,combined_strong,BUNDLE_3,3,0,0,0,,0,0,0,0,0,0,0,ZERO_INTERMEDIATE_EXECUTIONS,OFFLINE_ONLY
prospective_subject_003__combined_strong,prospective_subject_003,combined_strong,BUNDLE_5,5,4,0,4,1,0,16,0,4,4,0,1,ZERO_INTERMEDIATE_EXECUTIONS,OFFLINE_ONLY
