case_id,subject_id,scenario_name,policy_id,framework_id,horizon_steps,iteration,trial_purpose,selection_mode,trajectory_id,alpha_hip,alpha_knee,alpha_phase,operating_alpha_hip_before,operating_alpha_knee_before,operating_alpha_phase_before,operating_alpha_hip_after,operating_alpha_knee_after,operating_alpha_phase_after,J_pred,actual_J,operating_actual_J_before,best_actual_J_before,best_actual_J_after,delta_J_pred_endpoint,delta_J_actual_vs_operating,accepted_meaningful_improvement,executed_false_improvement,latent_intermediate_count,intermediate_execution_count,endpoint_execution_count,model_refit_after_execution,full_map_recomputed_after_execution,authorization_invalidated_after_execution,truth_accessed_before_selection,manifest_sha_verified_before_truth,execution_status,cumulative_regret_vs_best_before,stop_reason_after_iteration
hip_stiff__matched_linear,hip_stiff,matched_linear,BUNDLE_3,BUNDLE_3,3,1,EXPLORE,EXPLORE,asym_h+0.250_k+0.000_p+0.00000,0.25,0,0,0,0,0,0,0,0,0.999931323653,0.999930463492,1,1,1,-6.86763465457e-05,-6.95365076068e-05,False,False,0,0,0,True,True,False,False,True,EXECUTED,0,
hip_stiff__matched_linear,hip_stiff,matched_linear,BUNDLE_3,BUNDLE_3,3,2,EXPLORE,EXPLORE,asym_h+0.500_k+0.000_p+0.00000,0.5,0,0,0,0,0,0,0,0,0.999868293195,0.999867433694,1,1,1,-0.000131706804789,-0.000132566305625,False,False,0,0,0,True,True,False,False,True,EXECUTED,0,
hip_stiff__matched_linear,hip_stiff,matched_linear,BUNDLE_3,BUNDLE_3,3,3,EXPLORE,EXPLORE,asym_h+0.750_k+0.000_p+0.00000,0.75,0,0,0,0,0,0,0,0,0.999808223371,0.999807364527,1,1,1,-0.000191776629045,-0.000192635472839,False,False,0,0,0,True,True,False,False,True,EXECUTED,0,
hip_stiff__matched_linear,hip_stiff,matched_linear,BUNDLE_3,BUNDLE_3,3,4,EXPLORE,EXPLORE,asym_h+1.000_k+0.000_p+0.00000,1,0,0,0,0,0,0,0,0,0.99975112453,0.99975026634,1,1,1,-0.000248875469631,-0.000249733659568,False,False,0,0,0,True,True,False,False,True,EXECUTED,0,
hip_stiff__matched_linear,hip_stiff,matched_linear,BUNDLE_3,BUNDLE_3,3,5,EXPLORE,EXPLORE,asym_h+1.250_k+0.000_p+0.00000,1.25,0,0,0,0,0,0,0,0,0.999697007011,0.999696149472,1,1,1,-0.000302992988734,-0.000303850527997,False,False,0,0,0,True,True,False,False,True,EXECUTED,0,
hip_stiff__matched_linear,hip_stiff,matched_linear,BUNDLE_3,BUNDLE_3,3,6,EXPLORE,EXPLORE,asym_h+1.500_k+0.000_p+0.00000,1.5,0,0,0,0,0,0,0,0,0.999645881139,0.999645024248,1,1,1,-0.000354118860605,-0.000354975752378,False,False,0,0,0,True,True,False,False,True,EXECUTED,0,
hip_stiff__matched_linear,hip_stiff,matched_linear,BUNDLE_3,BUNDLE_3,3,7,EXPLORE,EXPLORE,asym_h+1.750_k+0.000_p+0.00000,1.75,0,0,0,0,0,0,0,0,0.999597757228,0.999596900981,1,1,1,-0.000402242771761,-0.000403099019225,False,False,0,0,0,True,True,False,False,True,EXECUTED,0,
hip_stiff__matched_linear,hip_stiff,matched_linear,BUNDLE_3,BUNDLE_3,3,8,EXPLORE,EXPLORE,asym_h+2.000_k+0.000_p+0.00000,2,0,0,0,0,0,0,0,0,0.999552645579,0.999551789972,1,1,1,-0.000447354421179,-0.000448210027516,False,False,0,0,0,True,True,False,False,True,EXECUTED,0,
hip_stiff__matched_linear,hip_stiff,matched_linear,BUNDLE_5,BUNDLE_5,5,1,EXPLORE,EXPLORE,asym_h+0.250_k+0.000_p+0.00000,0.25,0,0,0,0,0,0,0,0,0.999931323653,0.999930463492,1,1,1,-6.86763465457e-05,-6.95365076068e-05,False,False,0,0,0,True,True,False,False,True,EXECUTED,0,
hip_stiff__matched_linear,hip_stiff,matched_linear,BUNDLE_5,BUNDLE_5,5,2,EXPLOIT,DIRECT_ENDPOINT,asym_h+0.000_k-1.250_p+0.00000,0,-1.25,0,0,0,0,0,-1.25,0,0.992585589095,0.992582871522,1,1,0.992582871522,-0.0074144109054,-0.00741712847757,True,False,4,0,1,True,True,True,False,True,EXECUTED,0,
hip_stiff__matched_linear,hip_stiff,matched_linear,BUNDLE_5,BUNDLE_5,5,3,EXPLOIT,DIRECT_ENDPOINT,asym_h+0.000_k-2.500_p+0.00000,0,-2.5,0,0,-1.25,0,0,-2.5,0,0.98529465763,0.985291920941,0.992582871522,0.992582871522,0.985291920941,-0.00729093146412,-0.00729095058154,True,False,4,0,1,True,True,True,False,True,EXECUTED,0,
