case_id,subject_id,scenario_name,policy_id,framework_id,horizon_steps,calibrated_uncertainty,research_status,number_of_executed_trials,number_of_exploit_trials,number_of_explore_trials,number_of_executed_false_improvements,first_exploit_iteration,decision_latency_trials,latent_intermediate_nodes_skipped,intermediate_trajectory_executions,endpoint_executions,reference_actual_J,final_best_actual_J,actual_J_reduction_from_reference,cumulative_regret_vs_best_before,model_update_count,final_best_alpha_hip,final_best_alpha_knee,final_best_alpha_phase,final_operating_alpha_hip,final_operating_alpha_knee,final_operating_alpha_phase,stop_reason,trial_budget,heldout_final_test_used,calibration_cases_used_for_policy_outcomes,prospective_cohort_run,new_policy_default_enabled,human_ready,robot_motion_approved,model_reliability_status,evaluated_decision_rounds,missed_improvement_rounds,premature_conservative_stops,correct_local_stops,final_selected_J_truth,truth_optimum_trajectory_id,truth_optimum_J,truth_optimum_alpha_hip,truth_optimum_alpha_knee,truth_optimum_alpha_phase,global_truth_regret,final_local_regret,post_policy_truth_fed_back
heavy_leg__matched_linear,heavy_leg,matched_linear,BUNDLE_2,BUNDLE_2,2,0.00164217053717,RESEARCH_ONLY,8,0,8,0,,8,0,0,0,1,0.994959045386,0.00504095461406,0,8,2,0,0,2,0,0,STOP_NO_RELIABLE_IMPROVEMENT_NO_USEFUL_FRONTIER,20,False,False,False,False,False,False,RESEARCH_DIAGNOSTIC_NOT_FORMALLY_RELIABLE,9,0,0,1,0.994959636738,asym_h+2.000_k-5.000_p+0.00250,0.963203117167,2,-5,0.0025,0.0317565195707,0.00165338635217,False
heavy_leg__matched_linear,heavy_leg,matched_linear,BUNDLE_3,BUNDLE_3,3,0.00244544326845,RESEARCH_ONLY,9,1,8,0,2,1,2,0,1,1,0.994985123766,0.00501487623437,0.0128719707389,9,0,-0.75,0,0,-0.75,0,STOP_NO_RELIABLE_IMPROVEMENT_NO_USEFUL_FRONTIER,20,False,False,False,False,False,False,RESEARCH_DIAGNOSTIC_NOT_FORMALLY_RELIABLE,10,1,0,1,0.994990395147,asym_h+2.000_k-5.000_p+0.00250,0.963203117167,2,-5,0.0025,0.0317872779792,0.0016556848876,False
heavy_leg__matched_linear,heavy_leg,matched_linear,BUNDLE_5,BUNDLE_5,5,0.00400496043747,RESEARCH_ONLY,12,4,8,0,2,1,16,0,4,1,0.967782002335,0.0322179976651,0.203267742374,12,0,-5,0,0,-5,0,STOP_NO_RELIABLE_IMPROVEMENT_NO_USEFUL_FRONTIER,20,False,False,False,False,False,False,RESEARCH_DIAGNOSTIC_NOT_FORMALLY_RELIABLE,13,1,0,1,0.967787438536,asym_h+2.000_k-5.000_p+0.00250,0.963203117167,2,-5,0.0025,0.00458432136862,0.000594766582304,False
baseline__nonlinear_stiffness_mild,baseline,nonlinear_stiffness_mild,SINGLE_STEP,SINGLE_STEP,1,0.00196762280892,RESEARCH_ONLY,0,0,0,0,,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,STOP_NO_RELIABLE_IMPROVEMENT_NO_USEFUL_FRONTIER,20,False,False,False,False,False,False,RESEARCH_DIAGNOSTIC_NOT_FORMALLY_RELIABLE,1,0,0,1,1,asym_h+2.000_k-5.000_p+0.00750,0.963677775631,2,-5,0.0075,0.0363222243693,0.0017960097604,False
baseline__nonlinear_stiffness_mild,baseline,nonlinear_stiffness_mild,BUNDLE_2,BUNDLE_2,2,0.00164217053717,RESEARCH_ONLY,0,0,0,0,,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,STOP_NO_RELIABLE_IMPROVEMENT_NO_USEFUL_FRONTIER,20,False,False,False,False,False,False,RESEARCH_DIAGNOSTIC_NOT_FORMALLY_RELIABLE,1,0,0,1,1,asym_h+2.000_k-5.000_p+0.00750,0.963677775631,2,-5,0.0075,0.0363222243693,0.0017960097604,False
baseline__nonlinear_stiffness_mild,baseline,nonlinear_stiffness_mild,BUNDLE_3,BUNDLE_3,3,0.00244544326845,RESEARCH_ONLY,0,0,0,0,,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,STOP_NO_RELIABLE_IMPROVEMENT_NO_USEFUL_FRONTIER,20,False,False,False,False,False,False,RESEARCH_DIAGNOSTIC_NOT_FORMALLY_RELIABLE,1,1,1,0,1,asym_h+2.000_k-5.000_p+0.00750,0.963677775631,2,-5,0.0075,0.0363222243693,0.0017960097604,False
baseline__nonlinear_stiffness_mild,baseline,nonlinear_stiffness_mild,BUNDLE_5,BUNDLE_5,5,0.00400496043747,RESEARCH_ONLY,4,4,0,0,1,0,16,0,4,1,0.965580186606,0.0344198133936,0,4,0,-5,0,0,-5,0,STOP_NO_RELIABLE_IMPROVEMENT_NO_USEFUL_FRONTIER,20,False,False,False,False,False,False,RESEARCH_DIAGNOSTIC_NOT_FORMALLY_RELIABLE,5,0,0,1,0.965584790819,asym_h+2.000_k-5.000_p+0.00750,0.963677775631,2,-5,0.0075,0.00190701518787,0.000253472103988,False
baseline__hip_knee_coupling_mild,baseline,hip_knee_coupling_mild,SINGLE_STEP,SINGLE_STEP,1,0.00196762280892,RESEARCH_ONLY,0,0,0,0,,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,STOP_NO_RELIABLE_IMPROVEMENT_NO_USEFUL_FRONTIER,20,False,False,False,False,False,False,RESEARCH_DIAGNOSTIC_NOT_FORMALLY_RELIABLE,1,0,0,1,1,asym_h+2.000_k-5.000_p+0.02750,0.966417558296,2,-5,0.0275,0.0335824417044,0.0015409564399,False
baseline__hip_knee_coupling_mild,baseline,hip_knee_coupling_mild,BUNDLE_2,BUNDLE_2,2,0.00164217053717,RESEARCH_ONLY,0,0,0,0,,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,STOP_NO_RELIABLE_IMPROVEMENT_NO_USEFUL_FRONTIER,20,False,False,False,False,False,False,RESEARCH_DIAGNOSTIC_NOT_FORMALLY_RELIABLE,1,0,0,1,1,asym_h+2.000_k-5.000_p+0.02750,0.966417558296,2,-5,0.0275,0.0335824417044,0.0015409564399,False
baseline__hip_knee_coupling_mild,baseline,hip_knee_coupling_mild,BUNDLE_3,BUNDLE_3,3,0.00244544326845,RESEARCH_ONLY,0,0,0,0,,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,STOP_NO_RELIABLE_IMPROVEMENT_NO_USEFUL_FRONTIER,20,False,False,False,False,False,False,RESEARCH_DIAGNOSTIC_NOT_FORMALLY_RELIABLE,1,0,0,1,1,asym_h+2.000_k-5.000_p+0.02750,0.966417558296,2,-5,0.0275,0.0335824417044,0.0015409564399,False
