absolute_range,coefficient_of_variation,component,leg_id,maximum,minimum,oracle_beta,reference,relative_range_by_reference,relative_range_by_reference_defined
0.0035432731336708934,0.010112709679357616,inertia,LEG_0_NOMINAL,0.08952602298814324,0.08598274985447235,"[0.03,0.0025]",0.08618087924116882,0.041114376702463054,True
0.03157748703346641,0.00038205158323113836,gravity,LEG_0_NOMINAL,20.029827935762277,19.99825044872881,"[0.03,-0.03]",20.015771047713077,0.0015776303075306375,True
0.0002646553937944787,0.004244962560207401,coriolis,LEG_0_NOMINAL,0.014965490610706986,0.014700835216912508,"[0.03,-0.03]",0.014874039251637678,0.017793108470205182,True
0.18477823691018713,0.0015740480741581965,passive_stiffness,LEG_0_NOMINAL,25.10296554734771,24.918187310437524,"[-0.03,0.03]",25.011428201128066,0.007387752327628106,True
0.005071293708905189,0.002917362358410966,damping,LEG_0_NOMINAL,0.44637455364314965,0.44130325993424446,"[-0.03,0.0075]",0.4434437962909637,0.01143615888038646,True
0.0,0.0,coupling,LEG_0_NOMINAL,0.0,0.0,"[-0.03,-0.03]",0.0,0.0,True
0.0007323796882967562,1.0409292542036024,joint_limit_constraint,LEG_0_NOMINAL,0.0007323796882967562,0.0,"[-0.03,-0.03]",0.0,,False
0.0031660363266589886,0.008968405434988324,inertia,LEG_1_HEAVY_HIP_STIFF,0.09024949754895482,0.08708346122229584,"[0.03,0.03]",0.08747480271434019,0.036193694966058655,True
0.010896055694228579,0.00013696139287134722,gravity,LEG_1_HEAVY_HIP_STIFF,20.64274783154561,20.63185177585138,"[0.03,-0.03]",20.638438687300592,0.0005279496118537894,True
0.00010330650785960599,0.0025550462726131374,coriolis,LEG_1_HEAVY_HIP_STIFF,0.008477510773304636,0.00837420426544503,"[0.03,0.03]",0.008443748409950814,0.012234673849100125,True
0.10238089651741689,0.00023245279136263535,passive_stiffness,LEG_1_HEAVY_HIP_STIFF,93.63643871111861,93.5340578146012,"[-0.03,0.03]",93.58453873253767,0.00109399370776426,True
