factor_id,factor_name,sign,sign_label,model_id,z,level_role,response_id,response_role,units,candidate_count,nominal_gradient_beta_flex,nominal_gradient_beta_extend,perturbed_gradient_beta_flex,perturbed_gradient_beta_extend,nominal_gradient_norm,perturbed_gradient_norm,nominal_gradient_resolved,perturbed_gradient_resolved,both_gradients_resolved,cosine_similarity,angle_difference_deg,nominal_sign_pattern,perturbed_sign_pattern,resolved_component_sign_change,unit_direction_component_change_max,gradient_norm_ratio,gradient_change_type,gradient_rotation_gate_pass
S1F2_RECTUS_HAMSTRING_FPMAX_BALANCE,F2 fpmax balance,-1,NEGATIVE,STRUCTURAL_DIAGNOSTIC_S1F2_RECTUS_HAMSTRING_FPMAX_BALANCE_NEGATIVE_PRIMARY,-0.025,PRIMARY,S1F2_RECTUS_HIP_CONTRIBUTION_RMS,PRIMARY_MECHANISTIC_COMPONENT,N*m,13,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,,,"0,0","0,0",False,0.0,,DIRECTION_RETAINED_OR_UNRESOLVED,False
S1F2_RECTUS_HAMSTRING_FPMAX_BALANCE,F2 fpmax balance,-1,NEGATIVE,STRUCTURAL_DIAGNOSTIC_S1F2_RECTUS_HAMSTRING_FPMAX_BALANCE_NEGATIVE_PRIMARY,-0.025,PRIMARY,S1F2_RECTUS_KNEE_CONTRIBUTION_RMS,PRIMARY_MECHANISTIC_COMPONENT,N*m,13,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,,,"0,0","0,0",False,0.0,,DIRECTION_RETAINED_OR_UNRESOLVED,False
S1F2_RECTUS_HAMSTRING_FPMAX_BALANCE,F2 fpmax balance,-1,NEGATIVE,STRUCTURAL_DIAGNOSTIC_S1F2_RECTUS_HAMSTRING_FPMAX_BALANCE_NEGATIVE_PRIMARY,-0.025,PRIMARY,S1F2_HAMSTRING_HIP_CONTRIBUTION_RMS,PRIMARY_MECHANISTIC_COMPONENT,N*m,13,-0.25408437205027834,0.13336715198217036,-0.2605165485521107,0.13674335750860264,0.2869593444166257,0.2942237548061505,True,True,True,1.0,0.0,"-1,1","-1,1",False,2.220446049250313e-15,1.0253151205244526,MAGNITUDE_CHANGE_WITHOUT_DIRECTION_GATE,False
S1F2_RECTUS_HAMSTRING_FPMAX_BALANCE,F2 fpmax balance,-1,NEGATIVE,STRUCTURAL_DIAGNOSTIC_S1F2_RECTUS_HAMSTRING_FPMAX_BALANCE_NEGATIVE_PRIMARY,-0.025,PRIMARY,S1F2_HAMSTRING_KNEE_CONTRIBUTION_RMS,PRIMARY_MECHANISTIC_COMPONENT,N*m,13,-0.21979573827280258,0.11550799703613872,-0.2253598938779337,0.11843209590263934,0.24829873930849297,0.2545844518201485,True,True,True,1.0,0.0,"-1,1","-1,1",False,1.3100631690576847e-14,1.025315120524418,MAGNITUDE_CHANGE_WITHOUT_DIRECTION_GATE,False
S1F2_RECTUS_HAMSTRING_FPMAX_BALANCE,F2 fpmax balance,-1,NEGATIVE,STRUCTURAL_DIAGNOSTIC_S1F2_RECTUS_HAMSTRING_FPMAX_BALANCE_NEGATIVE_PRIMARY,-0.025,PRIMARY,S1F2_NET_DECLARED_BIARTICULAR_HIP_CONTRIBUTION_RMS,PRIMARY_MECHANISTIC_COMPONENT,N*m,13,-0.25408437205027834,0.13336715198217036,-0.2605165485521107,0.13674335750860264,0.2869593444166257,0.2942237548061505,True,True,True,1.0,0.0,"-1,1","-1,1",False,2.220446049250313e-15,1.0253151205244526,MAGNITUDE_CHANGE_WITHOUT_DIRECTION_GATE,False
S1F2_RECTUS_HAMSTRING_FPMAX_BALANCE,F2 fpmax balance,-1,NEGATIVE,STRUCTURAL_DIAGNOSTIC_S1F2_RECTUS_HAMSTRING_FPMAX_BALANCE_NEGATIVE_PRIMARY,-0.025,PRIMARY,S1F2_NET_DECLARED_BIARTICULAR_KNEE_CONTRIBUTION_RMS,PRIMARY_MECHANISTIC_COMPONENT,N*m,13,-0.21979573827280258,0.11550799703613872,-0.2253598938779337,0.11843209590263934,0.24829873930849297,0.2545844518201485,True,True,True,1.0,0.0,"-1,1","-1,1",False,1.3100631690576847e-14,1.025315120524418,MAGNITUDE_CHANGE_WITHOUT_DIRECTION_GATE,False
S1F2_RECTUS_HAMSTRING_FPMAX_BALANCE,F2 fpmax balance,1,POSITIVE,STRUCTURAL_DIAGNOSTIC_S1F2_RECTUS_HAMSTRING_FPMAX_BALANCE_POSITIVE_PRIMARY,0.025,PRIMARY,HIP_REQUIRED_TORQUE_RMS,PRIMARY_REQUIRED_TORQUE,N*m,13,-0.7067490138605119,1.0893982800332935,-0.6949735402616379,1.0808463698192365,1.2985695134001507,1.2849969248271438,True,True,True,0.9999917353379179,0.23294343749448232,"-1,1","-1,1",False,0.003415234282680979,0.9895480461900967,MAGNITUDE_CHANGE_WITHOUT_DIRECTION_GATE,False
S1F2_RECTUS_HAMSTRING_FPMAX_BALANCE,F2 fpmax balance,1,POSITIVE,STRUCTURAL_DIAGNOSTIC_S1F2_RECTUS_HAMSTRING_FPMAX_BALANCE_POSITIVE_PRIMARY,0.025,PRIMARY,KNEE_REQUIRED_TORQUE_RMS,PRIMARY_REQUIRED_TORQUE,N*m,13,-1.5661172124862808,1.9532102474741464,-1.556956175737767,1.9484932248098257,2.5035481609275694,2.4941408100381515,True,True,True,0.9999985845551288,0.09640158201443143,"-1,1","-1,1",False,0.0013135518401768964,0.996242392682419,MAGNITUDE_CHANGE_WITHOUT_DIRECTION_GATE,False
S1F2_RECTUS_HAMSTRING_FPMAX_BALANCE,F2 fpmax balance,1,POSITIVE,STRUCTURAL_DIAGNOSTIC_S1F2_RECTUS_HAMSTRING_FPMAX_BALANCE_POSITIVE_PRIMARY,0.025,PRIMARY,S1F2_RECTUS_HIP_CONTRIBUTION_RMS,PRIMARY_MECHANISTIC_COMPONENT,N*m,13,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,,,"0,0","0,0",False,0.0,,DIRECTION_RETAINED_OR_UNRESOLVED,False
S1F2_RECTUS_HAMSTRING_FPMAX_BALANCE,F2 fpmax balance,1,POSITIVE,STRUCTURAL_DIAGNOSTIC_S1F2_RECTUS_HAMSTRING_FPMAX_BALANCE_POSITIVE_PRIMARY,0.025,PRIMARY,S1F2_RECTUS_KNEE_CONTRIBUTION_RMS,PRIMARY_MECHANISTIC_COMPONENT,N*m,13,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,,,"0,0","0,0",False,0.0,,DIRECTION_RETAINED_OR_UNRESOLVED,False
