model_id,model_label,factor_id,sign,sign_label,z,level_role,fallback,candidate_id,candidate_index,selection_order,selection_role,beta_flex,beta_extend,HIP_REQUIRED_TORQUE_RMS,KNEE_REQUIRED_TORQUE_RMS,S1F1_AFFECTED_BIARTICULAR_HIP_CONTRIBUTION_RMS,S1F1_AFFECTED_BIARTICULAR_KNEE_CONTRIBUTION_RMS,S1F2_RECTUS_HIP_CONTRIBUTION_RMS,S1F2_RECTUS_KNEE_CONTRIBUTION_RMS,S1F2_HAMSTRING_HIP_CONTRIBUTION_RMS,S1F2_HAMSTRING_KNEE_CONTRIBUTION_RMS,S1F2_NET_DECLARED_BIARTICULAR_HIP_CONTRIBUTION_RMS,S1F2_NET_DECLARED_BIARTICULAR_KNEE_CONTRIBUTION_RMS,S1F3_DECLARED_HIP_ANTAGONIST_HIP_CONTRIBUTION_RMS,S1F4_DECLARED_KNEE_ANTAGONIST_KNEE_CONTRIBUTION_RMS,FROZEN_COMBINED_J,sample_count,duration_s,finite_q_dq_ddq_and_truth,solver_warning_count,source_equality_residual_max,joint_limit_active_count_max,tendon_limit_active_count_max,contact_active_count_max,joint_limit_contribution_max_abs_Nm,joint_limit_contribution_max_relative,truth_decomposition_residual_max_abs_Nm,V3_extrema_ROM_error_max_deg,q_closure_error_rad,dq_closure_error_rad_s,ddq_closure_error_rad_s2,branch_anchor_C2_preserved,frozen_V3_kinematic_gate_pass,replay_wall_time_s,integrity_pass
STRUCTURAL_DIAGNOSTIC_NOMINAL,STRUCTURAL_DIAGNOSTIC_MODEL,NOMINAL,0,NOMINAL,0.0,NOMINAL,False,MYOLEG_V3_K0168,168,10,INTERIOR_NEG_POS,-0.015,0.015,36.00282144829243,11.1288916101371,0.6463610306653502,0.5780103887394833,0.0,0.0,0.6664210754918233,0.5565718228979085,0.6664210754918233,0.5565718228979085,6.902608996256123,5.096896865960983,1.0027770714951392,401,24.0,True,0,2.4424906541753444e-15,1,0,0,0.0025506543898847944,0.00019356186446351008,7.105427357601002e-15,1.1651178454030742e-05,0.0,0.0,0.0,True,True,0.1626799589721486,True
STRUCTURAL_DIAGNOSTIC_NOMINAL,STRUCTURAL_DIAGNOSTIC_MODEL,NOMINAL,0,NOMINAL,0.0,NOMINAL,False,MYOLEG_V3_K0456,456,11,INTERIOR_POS_NEG,0.015,-0.015,35.948937029475616,11.023311786338287,0.6342962700516315,0.5680212615764024,0.0,0.0,0.6547975297708498,0.5465127108386403,0.6547975297708498,0.5465127108386403,6.902608996256124,5.139185193580121,0.9972619123225626,401,24.0,True,0,2.6645352591003757e-15,1,0,0,0.002620779103685974,0.00020007410077640202,8.881784197001252e-15,1.1869718633761295e-05,0.0,0.0,0.0,True,True,0.1629371250164695,True
STRUCTURAL_DIAGNOSTIC_NOMINAL,STRUCTURAL_DIAGNOSTIC_MODEL,NOMINAL,0,NOMINAL,0.0,NOMINAL,False,MYOLEG_V3_K0468,468,12,INTERIOR_POS_POS,0.015,0.015,35.98162860846753,11.082032372376014,0.6384659812104335,0.5715738544705218,0.0,0.0,0.6588216270550233,0.5499986644114447,0.6588216270550233,0.5499986644114447,6.902608996256124,5.116206447610704,1.000365131287764,401,24.0,True,0,2.6645352591003757e-15,1,0,0,0.002620779103685974,0.00020007410077640202,8.881784197001252e-15,1.1651178454030742e-05,0.0,0.0,0.0,True,True,0.16396058298414573,True
STRUCTURAL_DIAGNOSTIC_S1F1_BIARTICULAR_LMAX_NEGATIVE_PRIMARY,STRUCTURAL_DIAGNOSTIC_MODEL,S1F1_BIARTICULAR_LMAX,-1,NEGATIVE,-0.01,PRIMARY,False,MYOLEG_V3_K0312,312,0,REFERENCE,0.0,0.0,35.99138197856217,11.090415976123595,0.6579873965616768,0.58886318100176,0.0,0.0,0.678882452568535,0.5667730409391164,0.678882452568535,0.5667730409391164,6.902608996256123,5.117611007316951,1.0,401,24.0,True,0,2.6645352591003757e-15,1,0,0,0.002605930679340417,0.00019802729790595544,1.0658141036401503e-14,0.0,0.0,0.0,0.0,True,True,0.16710695903748274,True
STRUCTURAL_DIAGNOSTIC_S1F1_BIARTICULAR_LMAX_NEGATIVE_PRIMARY,STRUCTURAL_DIAGNOSTIC_MODEL,S1F1_BIARTICULAR_LMAX,-1,NEGATIVE,-0.01,PRIMARY,False,MYOLEG_V3_K0000,0,1,CORNER_NEG_NEG,-0.03,-0.03,35.98059155747592,11.080138686124757,0.6642719017208777,0.5938991072570763,0.0,0.0,0.6849167390400853,0.572061661477322,0.6849167390400853,0.572061661477322,6.902608996256124,5.1233362227303925,0.9993868052557475,401,24.0,True,0,2.220446049250313e-15,1,0,0,0.0024516919819504938,0.00018610833882773213,8.881784197001252e-15,2.3958558230674498e-05,0.0,0.0,0.0,True,True,0.16304750001290813,True
STRUCTURAL_DIAGNOSTIC_S1F1_BIARTICULAR_LMAX_NEGATIVE_PRIMARY,STRUCTURAL_DIAGNOSTIC_MODEL,S1F1_BIARTICULAR_LMAX,-1,NEGATIVE,-0.01,PRIMARY,False,MYOLEG_V3_K0024,24,2,CORNER_NEG_POS,-0.03,0.03,36.04747660785648,11.19773478738272,0.6729443554618082,0.6012871054682001,0.0,0.0,0.6932953297355285,0.5793086492325673,0.6932953297355285,0.5793086492325673,6.902608996256124,5.076972569901297,1.005625828884646,401,24.0,True,0,2.6645352591003757e-15,1,0,0,0.0024516919819504938,0.00018518860163577966,7.105427357601002e-15,2.308457314370571e-05,0.0,0.0,0.0,True,True,0.16221962496638298,True
STRUCTURAL_DIAGNOSTIC_S1F1_BIARTICULAR_LMAX_NEGATIVE_PRIMARY,STRUCTURAL_DIAGNOSTIC_MODEL,S1F1_BIARTICULAR_LMAX,-1,NEGATIVE,-0.01,PRIMARY,False,MYOLEG_V3_K0600,600,3,CORNER_POS_NEG,0.03,-0.03,35.93718675428684,10.984820629867041,0.6474922582547176,0.5801801656674316,0.0,0.0,0.6687717509851807,0.5580462228960166,0.6687717509851807,0.5580462228960166,6.902608996256124,5.161695891232679,0.9944945263015503,401,24.0,True,0,2.4424906541753444e-15,1,0,0,0.002597408265375811,0.0001985816989588352,8.881784197001252e-15,2.3958558230674498e-05,0.0,0.0,0.0,True,True,0.16210212500300258,True
STRUCTURAL_DIAGNOSTIC_S1F1_BIARTICULAR_LMAX_NEGATIVE_PRIMARY,STRUCTURAL_DIAGNOSTIC_MODEL,S1F1_BIARTICULAR_LMAX,-1,NEGATIVE,-0.01,PRIMARY,False,MYOLEG_V3_K0624,624,4,CORNER_POS_POS,0.03,0.03,36.00415243802502,11.103426288094825,0.656386449153112,0.5877406385774787,0.0,0.0,0.6773500791552145,0.5654728582628685,0.6773500791552145,0.5654728582628685,6.902608996256124,5.115679905736595,1.0007640501358883,401,24.0,True,0,2.6645352591003757e-15,1,0,0,0.002597408265375811,0.0001985816989588352,7.105427357601002e-15,2.308457314370571e-05,0.0,0.0,0.0,True,True,0.16225124994525686,True
STRUCTURAL_DIAGNOSTIC_S1F1_BIARTICULAR_LMAX_NEGATIVE_PRIMARY,STRUCTURAL_DIAGNOSTIC_MODEL,S1F1_BIARTICULAR_LMAX,-1,NEGATIVE,-0.01,PRIMARY,False,MYOLEG_V3_K0012,12,5,FLEX_NEG_AXIS,-0.03,0.0,36.01432726807605,11.139556325130654,0.6678211732007184,0.5969455341243862,0.0,0.0,0.6883550970392432,0.5750398170655827,0.6883550970392432,0.5750398170655827,6.902608996256124,5.09863297076272,1.0025359971399794,401,24.0,True,0,2.6645352591003757e-15,1,0,0,0.0024516919819504938,0.00018518860163577966,1.0658141036401503e-14,0.0,0.0,0.0,0.0,True,True,0.16240933298831806,True
STRUCTURAL_DIAGNOSTIC_S1F1_BIARTICULAR_LMAX_NEGATIVE_PRIMARY,STRUCTURAL_DIAGNOSTIC_MODEL,S1F1_BIARTICULAR_LMAX,-1,NEGATIVE,-0.01,PRIMARY,False,MYOLEG_V3_K0612,612,6,FLEX_POS_AXIS,0.03,0.0,35.97096317251831,11.044751064978895,0.6511330005913587,0.5832982476779652,0.0,0.0,0.6722926856052996,0.5610987734500364,0.6722926856052996,0.5610987734500364,6.902608996256123,5.137177103524432,0.9976591611797629,401,24.0,True,0,2.6645352591003757e-15,1,0,0,0.002597408265375811,0.0001985816989588352,1.0658141036401503e-14,0.0,0.0,0.0,0.0,True,True,0.16227408405393362,True
