factor_id,factor_name,sign,sign_label,model_id,z,level_role,response_id,response_role,units,candidate_count,nominal_response_RMS_across_candidates,delta_response_RMS,delta_response_RMS_over_nominal_RMS,absolute_effect_gate_pass,relative_effect_gate_pass,effect_resolution_gate_pass,proportional_a,proportional_R2,proportional_NRMSE,proportional_residual_RMS,proportional_residual_range,affine_a,affine_b,affine_R2,affine_NRMSE,affine_residual_RMS,affine_residual_range,nonproportionality_gate_pass
S1F2_RECTUS_HAMSTRING_FPMAX_BALANCE,F2 fpmax balance,-1,NEGATIVE,STRUCTURAL_DIAGNOSTIC_S1F2_RECTUS_HAMSTRING_FPMAX_BALANCE_NEGATIVE_PRIMARY,-0.025,PRIMARY,S1F2_RECTUS_HIP_CONTRIBUTION_RMS,PRIMARY_MECHANISTIC_COMPONENT,N*m,13,1e-12,0.0,0.0,False,False,False,0.0,,0.0,0.0,0.0,-0.0,0.0,,0.0,0.0,0.0,False
S1F2_RECTUS_HAMSTRING_FPMAX_BALANCE,F2 fpmax balance,-1,NEGATIVE,STRUCTURAL_DIAGNOSTIC_S1F2_RECTUS_HAMSTRING_FPMAX_BALANCE_NEGATIVE_PRIMARY,-0.025,PRIMARY,S1F2_RECTUS_KNEE_CONTRIBUTION_RMS,PRIMARY_MECHANISTIC_COMPONENT,N*m,13,1e-12,0.0,0.0,False,False,False,0.0,,0.0,0.0,0.0,-0.0,0.0,,0.0,0.0,0.0,False
S1F2_RECTUS_HAMSTRING_FPMAX_BALANCE,F2 fpmax balance,-1,NEGATIVE,STRUCTURAL_DIAGNOSTIC_S1F2_RECTUS_HAMSTRING_FPMAX_BALANCE_NEGATIVE_PRIMARY,-0.025,PRIMARY,S1F2_HAMSTRING_HIP_CONTRIBUTION_RMS,PRIMARY_MECHANISTIC_COMPONENT,N*m,13,0.6612802971732065,0.01674039042336976,0.025315120524428716,True,True,True,1.0253151205244286,1.0,1.0412091421963288e-16,6.885310909710477e-17,1.1102230246251565e-16,1.025315120524433,-3.510462764863319e-15,1.0,9.997776715477016e-16,6.611332757482005e-16,2.220446049250313e-16,False
S1F2_RECTUS_HAMSTRING_FPMAX_BALANCE,F2 fpmax balance,-1,NEGATIVE,STRUCTURAL_DIAGNOSTIC_S1F2_RECTUS_HAMSTRING_FPMAX_BALANCE_NEGATIVE_PRIMARY,-0.025,PRIMARY,S1F2_HAMSTRING_KNEE_CONTRIBUTION_RMS,PRIMARY_MECHANISTIC_COMPONENT,N*m,13,0.5521378068304881,0.013977435126007525,0.025315120524428678,True,True,True,1.0253151205244286,1.0,1.1153754044638555e-16,6.158409296133417e-17,1.1102230246251565e-16,1.0253151205244293,-4.926984118633151e-16,1.0,2.366068536195241e-16,1.3063958923854638e-16,2.220446049250313e-16,False
S1F2_RECTUS_HAMSTRING_FPMAX_BALANCE,F2 fpmax balance,-1,NEGATIVE,STRUCTURAL_DIAGNOSTIC_S1F2_RECTUS_HAMSTRING_FPMAX_BALANCE_NEGATIVE_PRIMARY,-0.025,PRIMARY,S1F2_NET_DECLARED_BIARTICULAR_HIP_CONTRIBUTION_RMS,PRIMARY_MECHANISTIC_COMPONENT,N*m,13,0.6612802971732065,0.01674039042336976,0.025315120524428716,True,True,True,1.0253151205244286,1.0,1.0412091421963288e-16,6.885310909710477e-17,1.1102230246251565e-16,1.025315120524433,-3.510462764863319e-15,1.0,9.997776715477016e-16,6.611332757482005e-16,2.220446049250313e-16,False
S1F2_RECTUS_HAMSTRING_FPMAX_BALANCE,F2 fpmax balance,-1,NEGATIVE,STRUCTURAL_DIAGNOSTIC_S1F2_RECTUS_HAMSTRING_FPMAX_BALANCE_NEGATIVE_PRIMARY,-0.025,PRIMARY,S1F2_NET_DECLARED_BIARTICULAR_KNEE_CONTRIBUTION_RMS,PRIMARY_MECHANISTIC_COMPONENT,N*m,13,0.5521378068304881,0.013977435126007525,0.025315120524428678,True,True,True,1.0253151205244286,1.0,1.1153754044638555e-16,6.158409296133417e-17,1.1102230246251565e-16,1.0253151205244293,-4.926984118633151e-16,1.0,2.366068536195241e-16,1.3063958923854638e-16,2.220446049250313e-16,False
S1F2_RECTUS_HAMSTRING_FPMAX_BALANCE,F2 fpmax balance,1,POSITIVE,STRUCTURAL_DIAGNOSTIC_S1F2_RECTUS_HAMSTRING_FPMAX_BALANCE_POSITIVE_PRIMARY,0.025,PRIMARY,HIP_REQUIRED_TORQUE_RMS,PRIMARY_REQUIRED_TORQUE,N*m,13,35.97609221873671,0.014189189882938182,0.00039440609048551164,True,True,True,0.9996056926528539,0.9998763848111609,8.824975847667052e-06,0.00031748814492379404,0.0012059950662361985,0.9894009490934329,0.3671269135002367,0.999982762938142,3.2954082698998498e-06,0.0001185559118163046,0.00042804710129473733,False
S1F2_RECTUS_HAMSTRING_FPMAX_BALANCE,F2 fpmax balance,1,POSITIVE,STRUCTURAL_DIAGNOSTIC_S1F2_RECTUS_HAMSTRING_FPMAX_BALANCE_POSITIVE_PRIMARY,0.025,PRIMARY,KNEE_REQUIRED_TORQUE_RMS,PRIMARY_REQUIRED_TORQUE,N*m,13,11.07655373439743,0.012275191502640592,0.0011082139623013682,True,True,True,0.9988919035895726,0.9999894652312064,1.614098627066851e-05,0.00017878650175323093,0.0006207713706238849,0.9961562970643651,0.030301470258097537,0.9999970068020712,8.603700458447008e-06,9.52993504426481e-05,0.0003484952039407574,False
S1F2_RECTUS_HAMSTRING_FPMAX_BALANCE,F2 fpmax balance,1,POSITIVE,STRUCTURAL_DIAGNOSTIC_S1F2_RECTUS_HAMSTRING_FPMAX_BALANCE_POSITIVE_PRIMARY,0.025,PRIMARY,S1F2_RECTUS_HIP_CONTRIBUTION_RMS,PRIMARY_MECHANISTIC_COMPONENT,N*m,13,1e-12,0.0,0.0,False,False,False,0.0,,0.0,0.0,0.0,-0.0,0.0,,0.0,0.0,0.0,False
S1F2_RECTUS_HAMSTRING_FPMAX_BALANCE,F2 fpmax balance,1,POSITIVE,STRUCTURAL_DIAGNOSTIC_S1F2_RECTUS_HAMSTRING_FPMAX_BALANCE_POSITIVE_PRIMARY,0.025,PRIMARY,S1F2_RECTUS_KNEE_CONTRIBUTION_RMS,PRIMARY_MECHANISTIC_COMPONENT,N*m,13,1e-12,0.0,0.0,False,False,False,0.0,,0.0,0.0,0.0,-0.0,0.0,,0.0,0.0,0.0,False
