t,trajectory_type,trajectory_variant,x,y,z,rx,ry,rz,vx,vy,vz,ax,ay,az,j1,j2,j3,j4,j5,j6,dj1,dj2,dj3,dj4,dj5,dj6,fx,fy,fz,tx,ty,tz,Mx,My,Mz,Bx,By,Bz,Kx,Ky,Kz,mode,comfort
0.0006,excitation,multi_sine,41.42503092267761,-666.6341480225068,296.0049500187091,-177.38821176275587,0.13134849045690844,-149.96177431740387,-0.021,-0.0197,0.1266,-1.2693,0.2358,2.4994,81.02750797082882,27.800719761612392,83.5995868645092,-23.37927924262153,-88.98999532063802,-39.058922661675346,-0.05441495687654703,-0.0,-0.018981329285272276,0.002865261501736111,0.06785074869791667,-0.0,0.7405,0.4498,7.8781,0.16153,-0.04211,-0.01137,0.001,0.001,0.001,0.0005,0.0005,0.0005,0.01,0.01,0.01,passive,-1
0.0213,excitation,multi_sine,41.42519583261534,-666.6342039910647,296.0043382198252,-177.38826967544767,0.13140562872197842,-149.96174315500102,0.0154,-0.0165,0.065,-0.7507,0.1924,0.0813,81.02752156776957,27.800767350905012,83.5995868645092,-23.37924533420139,-88.98998684353299,-39.058939615885414,-0.0,-0.0,-0.016697043239480198,3.390842013888889e-05,-0.0,-0.0,0.7163,0.3244,7.6188,0.17652,-0.03936,-0.01004,0.001,0.001,0.001,0.0005,0.0005,0.0005,0.01,0.01,0.01,passive,-1
0.0411,excitation,multi_sine,41.42558353016304,-666.6343377732654,296.003226333009,-177.38835803834468,0.1314881356802137,-149.96170867104382,0.043,-0.0116,-0.0234,-0.6682,0.096,-3.2464,81.02755556012144,27.80085573101988,83.59959366297957,-23.379219902886284,-88.98997836642795,-39.058939615885414,-0.0,-0.0,0.01836946695157797,0.02288818359375,-0.0,-0.0,0.7428,0.2345,7.6197,0.16964,-0.04927,-0.01413,0.001,0.001,0.001,0.0005,0.0005,0.0005,0.01,0.01,0.01,passive,-1
0.0606,excitation,multi_sine,41.42600576285684,-666.6345314601216,296.0035056718173,-177.38830929603802,0.13143779223844593,-149.9616686758888,-0.0135,-0.0095,-0.0463,-2.3365,-0.0179,-3.7119,81.02759635094368,27.800862529490253,83.59955967062771,-23.379262288411457,-88.98998684353299,-39.058939615885414,-0.0,-0.0,-0.016778624883972772,-0.00912136501736111,-0.0,-0.0,0.6974,0.1597,7.7152,0.15122,-0.04167,-0.01538,0.001,0.001,0.001,0.0005,0.0005,0.0005,0.01,0.01,0.01,passive,-1
0.0809,excitation,multi_sine,41.42551626778015,-666.634747749901,296.00441170828515,-177.38821669299344,0.13137312694978626,-149.961692398069,-0.1622,-0.0108,-0.0002,-6.0311,-0.1515,-1.2458,81.02755556012144,27.800828537138383,83.59949848439433,-23.37927924262153,-88.98997836642795,-39.05895657009548,-0.05441495687654703,-0.05441495687654703,-0.0271394937345297,0.02312554253472222,-0.0,-0.0,0.6442,0.0383,6.8481,0.13522,-0.05431,-0.01521,0.001,0.001,0.001,0.0005,0.0005,0.0005,0.01,0.01,0.01,passive,-1
0.1006,excitation,multi_sine,41.42056122893942,-666.6354052034549,296.00666472726544,-177.38815061292902,0.13131531083858214,-149.9619843371501,-0.3073,-0.0155,0.0106,-11.569,-0.3114,4.2856,81.02713405495822,27.800753753964262,83.59926053793123,-23.37905036078559,-88.98997836642795,-39.059083726671005,-0.05441495687654703,-0.0,-0.008892399249690593,0.033543904622395836,-0.0,-0.0,0.7366,0.1754,7.2277,0.14207,-0.04628,-0.01887,0.001,0.001,0.001,0.0005,0.0005,0.0005,0.01,0.01,0.01,passive,-1
0.1208,excitation,multi_sine,41.40918299755816,-666.6367136141824,296.01159108416766,-177.38805356292303,0.13123868451767984,-149.96267871843727,-0.6084,-0.0291,0.139,-19.1637,-0.579,13.1561,81.02616187369469,27.80057699373453,83.5987370557124,-23.378465440538193,-88.98996988932292,-39.05935499403212,-0.05441495687654703,-0.0,-0.03859491631536201,0.0600433349609375,-0.06785074869791667,-0.0,0.6221,0.2072,7.724,0.1619,-0.04579,-0.01378,0.001,0.001,0.001,0.0005,0.0005,0.0005,0.01,0.01,0.01,passive,-1
0.141,excitation,multi_sine,41.389614607074755,-666.6362398150856,296.01865928328976,-177.38886631917813,0.13187542686950743,-149.96319577921093,-1.0242,-0.0417,0.3889,-28.3511,-0.8179,24.7031,81.02444865916034,27.80014189163057,83.59783285915262,-23.376057942708332,-88.98995293511284,-39.06052483452691,-0.05441495687654703,-0.0,-0.054673298750773515,0.16615973578559026,0.06785074869791667,-0.06785074869791667,0.7914,0.111,7.9891,0.16178,-0.0448,-0.01782,0.001,0.001,0.001,0.0005,0.0005,0.0005,0.01,0.01,0.01,passive,-1
0.1609,excitation,multi_sine,41.36980731178552,-666.6359737650309,296.02433794457363,-177.39031459814495,0.13300282464416502,-149.9630959188485,-1.5696,-0.0452,0.8589,-39.2053,-0.8589,38.8207,81.02271504921488,27.79989714669709,83.59656834366298,-23.37265862358941,-88.98993598090277,-39.06232198079427,-0.10882991375309406,-0.05441495687654703,-0.09120827854269802,0.2677578396267361,-0.0,-0.20355224609375,0.7102,0.2428,7.6804,0.16922,-0.04185,-0.01356,0.001,0.001,0.001,0.0005,0.0005,0.0005,0.01,0.01,0.01,passive,-1
0.1809,excitation,multi_sine,41.324745712506356,-666.6377034647206,296.0472875124416,-177.3929978907981,0.13502243608061684,-149.9609652758839,-2.6021,-0.0598,1.9103,-52.024,-0.6805,54.7685,81.01879913027923,27.79906093484104,83.59268641707921,-23.36440192328559,-88.98987664116753,-39.06828138563368,-0.2176666259765625,-0.05441495687654703,-0.19871249057278775,0.427458021375868,-0.0,-0.2714114718967014,0.7513,0.1593,7.5826,0.16061,-0.03617,-0.01216,0.001,0.001,0.001,0.0005,0.0005,0.0005,0.01,0.01,0.01,passive,-1
0.201,excitation,multi_sine,41.27924509544665,-666.6401885441094,296.0827662728175,-177.39443000188058,0.1360744952504003,-149.959644954184,-3.7732,-0.094,3.1808,-67.1313,-0.2238,71.2579,81.0148560174621,27.797517682066058,83.58835579145072,-23.35659450954861,-88.98980882432726,-39.0734608968099,-0.2720815828531095,-0.16324487062964108,-0.31250528769918007,0.5756208631727431,-0.0,-0.339262220594618,0.7893,0.2438,7.9377,0.18657,-0.05153,-0.00962,0.001,0.001,0.001,0.0005,0.0005,0.0005,0.01,0.01,0.01,passive,-1
0.2206,excitation,multi_sine,41.17547907900576,-666.6422326711178,296.17122805250636,-177.39623063302352,0.13732130338842322,-149.9579619670974,-5.2287,-0.1056,4.7705,-80.7061,0.3236,83.0691,81.00582085033454,27.7929423115041,83.57955177231591,-23.340708414713543,-88.98966471354167,-39.08400641547309,-0.544163165706219,-0.2176666259765625,-0.44105756400835394,0.7965511745876735,-0.0,-0.5428229437934028,0.7906,0.176,7.5973,0.17632,-0.05078,-0.01487,0.001,0.001,0.001,0.0005,0.0005,0.0005,0.01,0.01,0.01,passive,-1
0.2407,excitation,multi_sine,41.082462803456366,-666.6422838137431,296.2582582839487,-177.39703053772536,0.13782284775772533,-149.95707644333385,-6.8627,-0.083,6.5153,-90.7771,0.8429,87.6814,80.99769667823716,27.788115397538288,83.57186270232248,-23.326983981662327,-88.98952060275607,-39.092864990234375,-0.544163165706219,-0.3809114966062036,-0.5467329875077351,0.9760453965928819,0.06785074869791667,-0.6106736924913194,0.7054,0.0834,7.4154,0.17249,-0.06059,-0.01203,0.001,0.001,0.001,0.0005,0.0005,0.0005,0.01,0.01,0.01,passive,-1
0.261,excitation,multi_sine,40.898785582895975,-666.644621866115,296.43845777756496,-177.3969961646914,0.13756530613802292,-149.95615485787286,-8.8895,-0.0546,8.4572,-97.341,1.5079,86.3588,80.98168628050549,27.778230421613937,83.55655254703937,-23.301467895507812,-88.98921542697482,-39.10951402452257,-0.8162515470297029,-0.489748208829672,-0.7371241503422803,1.1900414360894096,-0.0,-0.7463751898871528,0.6868,0.0661,7.5287,0.16732,-0.04796,-0.01131,0.001,0.001,0.001,0.0005,0.0005,0.0005,0.01,0.01,0.01,passive,-1
0.2809,excitation,multi_sine,40.68975151269742,-666.648164612997,296.63601945774775,-177.39583321841602,0.1364747817786903,-149.95699674703343,-11.0058,-0.0076,10.2627,-100.895,2.1425,81.0694,80.9634799768429,27.767305279722308,83.54041977684096,-23.275477091471355,-88.98883395724826,-39.1265869140625,-0.979496417659344,-0.5985781225827661,-0.8601356732963336,1.3672892252604167,-0.0,-0.9499359130859375,0.6788,0.2495,7.6497,0.17471,-0.04259,-0.00978,0.001,0.001,0.001,0.0005,0.0005,0.0005,0.01,0.01,0.01,passive,-1
0.3008,excitation,multi_sine,40.494761059283846,-666.6480469836122,296.81956748326644,-177.39470071992747,0.13540817329494603,-149.95744081299486,-13.2393,0.0409,11.8842,-108.0231,2.2768,76.7594,80.94644980855507,27.756720061349398,83.52614978752514,-23.251673380533855,-88.98846944173177,-39.14290534125434,-1.0883331298828125,-0.6529998779296875,-0.9416085422629177,1.5648396809895833,-0.0,-1.0177951388888888,0.8604,0.2806,7.8824,0.1708,-0.0519,-0.01448,0.001,0.001,0.001,0.0005,0.0005,0.0005,0.01,0.01,0.01,passive,-1
