subject_id,truth_scenario,iteration,alpha_hip,alpha_knee,alpha_phase,time_scale,parent_reference_id,parent_reference_sha256,trajectory_id,trajectory_feasible,invalid_reason,domain_coverage,trajectory_sha256,reference_deviation,combined_peak_ratio,combined_torque_rate_ratio,mechanical_cost_j_rms,hip_rms_ratio,knee_rms_ratio,hip_peak_ratio,knee_peak_ratio,hip_torque_rate_ratio,knee_torque_rate_ratio,reference_deviation_definition,hip_rms_torque_nm,knee_rms_torque_nm,hip_peak_abs_torque_nm,knee_peak_abs_torque_nm,hip_rms_torque_rate_nm_s,knee_rms_torque_rate_nm_s,reference_hip_rms_torque_nm,reference_knee_rms_torque_nm,reference_hip_peak_abs_torque_nm,reference_knee_peak_abs_torque_nm,reference_hip_rms_torque_rate_nm_s,reference_knee_rms_torque_rate_nm_s,deterministic_rank,mechanically_equivalent_to_minimum,proposed_for_execution
hip_stiff,matched_linear,1,0,1,0,1,reference_measured_asymmetric_closed_slow,f63bdea2e0d346d73151eedaac73e887f1028c99a6eb15cfc3bc44cfd088a881,asym_h+0.000_k+1.000_p+0.00000,False,domain_coverage_insufficient,81.2967581047,7b4b75794b39570c6114a71d7d5564b4c586973c370612e91c76d6dedcfb7164,,,,,,,,,,,,,,,,,,,,,,,,,,False
hip_stiff,matched_linear,1,0,-1,0,1,reference_measured_asymmetric_closed_slow,f63bdea2e0d346d73151eedaac73e887f1028c99a6eb15cfc3bc44cfd088a881,asym_h+0.000_k-1.000_p+0.00000,True,,99.7506234414,4d82cda4d656a8fee879c11b30bbb4e0b3122b513dd4fdf33ddd68ba10c64f65,0.467274409324,0.993744380615,1.00456362386,0.994055761441,1.00028166405,0.987790618637,1.00044066521,0.987002666363,1.0186517378,0.99027510614,root_mean_square_of_hip_and_knee_rms_angle_deviation_deg,46.3701929284,12.2081796236,48.7741796494,17.7028414298,0.966364794456,2.60861706373,46.3571357897,12.3590762994,48.7526960326,17.9359611003,0.948670442113,2.63423471675,1,True,True
hip_stiff,matched_linear,1,0,0,0.01,1,reference_measured_asymmetric_closed_slow,f63bdea2e0d346d73151eedaac73e887f1028c99a6eb15cfc3bc44cfd088a881,asym_h+0.000_k+0.000_p+0.01000,True,,99.5012468828,b95f62c0235fed33f3d5e62264fd19f5463e3d706f212810a5914f84ca3f737c,0.351342066625,1.00002642852,1.01946019247,0.999892301276,1.00003887824,0.999745702828,1.00001333908,1.00003951778,1.03585471629,1.00279767391,root_mean_square_of_hip_and_knee_rms_angle_deviation_deg,46.3589380733,12.3559334213,48.7533463486,17.9366698897,0.982684751667,2.6416044465,46.3571357897,12.3590762994,48.7526960326,17.9359611003,0.948670442113,2.63423471675,2,False,False
hip_stiff,matched_linear,1,0,0,-0.01,1,reference_measured_asymmetric_closed_slow,f63bdea2e0d346d73151eedaac73e887f1028c99a6eb15cfc3bc44cfd088a881,asym_h+0.000_k+0.000_p-0.01000,True,,99.7506234414,328fdf1633e441e03afc11e246c786f9359c1b8df11ac69c35c6e22d0a463813,0.354238952104,1.00002748556,1.01734623052,1.00011589749,0.999943620798,1.00028814451,1.00001472697,1.00004024399,1.03582978191,0.998520589876,root_mean_square_of_hip_and_knee_rms_angle_deviation_deg,46.3545222113,12.3626374993,48.7534140118,17.9366829149,0.982661097162,2.63033760324,46.3571357897,12.3590762994,48.7526960326,17.9359611003,0.948670442113,2.63423471675,4,False,False
knee_stiff,matched_linear,1,0,0,0,1,reference_measured_asymmetric_closed_slow,f63bdea2e0d346d73151eedaac73e887f1028c99a6eb15cfc3bc44cfd088a881,asym_h+0.000_k+0.000_p+0.00000,True,,99.7506234414,35e053273c6f22ce3c6016889e9867ebf5a0d1f8c496c1aed8b10e88a81559d8,0,1,1,1,1,1,1,1,1,1,root_mean_square_of_hip_and_knee_rms_angle_deviation_deg,30.0318613626,37.9385181736,36.7217569687,53.99168542,1.91187424397,6.50898332811,30.0318613626,37.9385181736,36.7217569687,53.99168542,1.91187424397,6.50898332811,1,True,False
knee_stiff,matched_linear,1,1,0,0,1,reference_measured_asymmetric_closed_slow,f63bdea2e0d346d73151eedaac73e887f1028c99a6eb15cfc3bc44cfd088a881,asym_h+1.000_k+0.000_p+0.00000,False,domain_coverage_insufficient,81.7955112219,cb9899a7f1438e33da040300144c74a17ef135c12f8ba2e709e8fd84196a7f82,,,,,,,,,,,,,,,,,,,,,,,,,,False
knee_stiff,matched_linear,1,-1,0,0,1,reference_measured_asymmetric_closed_slow,f63bdea2e0d346d73151eedaac73e887f1028c99a6eb15cfc3bc44cfd088a881,asym_h-1.000_k+0.000_p+0.00000,True,,99.7506234414,7aeaadd85997c9fd9cb282f5595360e5346d2922a64e587007b79390007adcd6,0.467274409324,1.00025366006,0.996536383595,1.00149440722,1.00252842698,1.00045931876,0.999996444319,1.00051080968,0.992443438571,1.00061258682,root_mean_square_of_hip_and_knee_rms_angle_deviation_deg,30.1077947312,37.9559440466,36.7216263979,54.0192648957,1.8974270488,6.51297064549,30.0318613626,37.9385181736,36.7217569687,53.99168542,1.91187424397,6.50898332811,5,False,False
knee_stiff,matched_linear,1,0,1,0,1,reference_measured_asymmetric_closed_slow,f63bdea2e0d346d73151eedaac73e887f1028c99a6eb15cfc3bc44cfd088a881,asym_h+0.000_k+1.000_p+0.00000,False,domain_coverage_insufficient,81.2967581047,7b4b75794b39570c6114a71d7d5564b4c586973c370612e91c76d6dedcfb7164,,,,,,,,,,,,,,,,,,,,,,,,,,False
knee_stiff,matched_linear,1,0,-1,0,1,reference_measured_asymmetric_closed_slow,f63bdea2e0d346d73151eedaac73e887f1028c99a6eb15cfc3bc44cfd088a881,asym_h+0.000_k-1.000_p+0.00000,True,,99.7506234414,4d82cda4d656a8fee879c11b30bbb4e0b3122b513dd4fdf33ddd68ba10c64f65,0.467274409324,0.994947285039,0.996954346569,0.995527814153,1.00034444918,0.990687761361,1.00000058368,0.989868189531,1.00283518123,0.991038615585,root_mean_square_of_hip_and_knee_rms_angle_deviation_deg,30.0422058125,37.5852256387,36.7217784026,53.4446518964,1.91729475393,6.45065382636,30.0318613626,37.9385181736,36.7217569687,53.99168542,1.91187424397,6.50898332811,4,True,False
knee_stiff,matched_linear,1,0,0,0.01,1,reference_measured_asymmetric_closed_slow,f63bdea2e0d346d73151eedaac73e887f1028c99a6eb15cfc3bc44cfd088a881,asym_h+0.000_k+0.000_p+0.01000,True,,99.5012468828,b95f62c0235fed33f3d5e62264fd19f5463e3d706f212810a5914f84ca3f737c,0.351342066625,1.00000210411,1.00696701238,0.999908844323,1.00007019885,0.999747463756,0.999991496497,1.00001271162,1.01093440764,1.00298392385,root_mean_square_of_hip_and_knee_rms_angle_deviation_deg,30.0339695646,37.9289373227,36.7214447052,53.9923717417,1.93277945632,6.52840563871,30.0318613626,37.9385181736,36.7217569687,53.99168542,1.91187424397,6.50898332811,2,True,False
