case_id,subject_id,scenario_name,scope,point_count,e_J_abs_mean,e_J_abs_median,e_J_abs_p90,e_J_abs_p95,e_J_abs_p99,e_J_abs_max,e_J_relative_mean_percent,e_J_relative_median_percent,e_J_relative_p90_percent,e_J_relative_p95_percent,e_J_relative_p99_percent,e_J_relative_max_percent,decision_sign_agreement_rate,false_improvement_count,false_improvement_rate,spearman_rank_correlation,predicted_best_regret,local_decision_regret,diagnostic_local_utility_label,formal_reliability_status,evidence_role,diagnostic_model_trial_id,validation_combined_rmse_nm,validation_combined_nrmse_percent,validation_e_J,validation_relative_e_J_percent,existing_model_adequacy_trend_diagnosis,precise_dynamics_status,validation_split_only,heldout_final_test_read
heavy_leg__matched_linear,heavy_leg,matched_linear,SUPPORTED,7650,8.43914625908e-17,1.11022302463e-16,2.22044604925e-16,2.22044604925e-16,3.33066907388e-16,4.4408920985e-16,8.54545385964e-15,1.11610989057e-14,2.24230621077e-14,2.26297225458e-14,3.35455377195e-14,4.52896523678e-14,1,0,0,1,0,,NO_SUPPORTED_LOCAL_CANDIDATE_REQUIRES_REVIEW,NOT_FROZEN_REQUIRES_REVIEW,MATCHED_POSITIVE_CONTROL,2,2.06579115885e-12,3.92278565166e-12,6.88338275268e-15,6.88338275268e-13,NO_STRUCTURE_LIMITATION_DIAGNOSIS_FROM_TREND_ONLY,NO_PRECISE_DYNAMICS_LIMITATION_DIAGNOSED_FROM_EXISTING_TREND,True,False
heavy_leg__matched_linear,heavy_leg,matched_linear,UNSUPPORTED,13375,7.90395786204e-17,0,2.22044604925e-16,2.22044604925e-16,2.22044604925e-16,4.4408920985e-16,7.91789367698e-15,0,2.20477699771e-14,2.21782104038e-14,2.2926185749e-14,4.58960048454e-14,1,0,0,1,,,NO_SUPPORTED_LOCAL_CANDIDATE_REQUIRES_REVIEW,NOT_FROZEN_REQUIRES_REVIEW,MATCHED_POSITIVE_CONTROL,2,2.06579115885e-12,3.92278565166e-12,6.88338275268e-15,6.88338275268e-13,NO_STRUCTURE_LIMITATION_DIAGNOSIS_FROM_TREND_ONLY,NO_PRECISE_DYNAMICS_LIMITATION_DIAGNOSED_FROM_EXISTING_TREND,True,False
baseline__nonlinear_stiffness_mild,baseline,nonlinear_stiffness_mild,OVERALL,21025,0.00362352038631,0.00318243881856,0.00722745760574,0.00788414566691,0.00873243015715,0.00931155427826,0.368617171118,0.319414280348,0.743730902265,0.81152093233,0.899190500544,0.958617774037,0.92066587396,0,0,0.995006772624,4.15988250106e-05,0,POTENTIALLY_USEFUL_FOR_LOCAL_DECISION,NOT_FROZEN_REQUIRES_REVIEW,MILD_MODEL_MISMATCH,5,0.950840677399,2.30945089431,0.0596885503359,5.96885503359,MODEL_STRUCTURE_LIMITATION,MODEL_INADEQUATE_FOR_PRECISE_DYNAMICS,True,False
baseline__nonlinear_stiffness_mild,baseline,nonlinear_stiffness_mild,SUPPORTED,13750,0.00437393236537,0.00442931869709,0.00766122636738,0.00818193246596,0.00885758645452,0.00931155427826,0.446362931231,0.449409896178,0.788453990619,0.842395753205,0.912443205793,0.958617774037,0.907636363636,0,0,0.993748320606,3.98551768647e-05,0,POTENTIALLY_USEFUL_FOR_LOCAL_DECISION,NOT_FROZEN_REQUIRES_REVIEW,MILD_MODEL_MISMATCH,5,0.950840677399,2.30945089431,0.0596885503359,5.96885503359,MODEL_STRUCTURE_LIMITATION,MODEL_INADEQUATE_FOR_PRECISE_DYNAMICS,True,False
baseline__nonlinear_stiffness_mild,baseline,nonlinear_stiffness_mild,UNSUPPORTED,7275,0.00220521595855,0.00190676674316,0.00456093435536,0.00586417742416,0.00686684017708,0.00721976841471,0.22167501283,0.189291254348,0.467821810371,0.605338028631,0.711599920134,0.748569440042,0.94529209622,0,0,0.986757023434,,0,POTENTIALLY_USEFUL_FOR_LOCAL_DECISION,NOT_FROZEN_REQUIRES_REVIEW,MILD_MODEL_MISMATCH,5,0.950840677399,2.30945089431,0.0596885503359,5.96885503359,MODEL_STRUCTURE_LIMITATION,MODEL_INADEQUATE_FOR_PRECISE_DYNAMICS,True,False
baseline__hip_knee_coupling_mild,baseline,hip_knee_coupling_mild,OVERALL,21025,0.000411820953132,0.000361147661149,0.000840296663851,0.000956427831362,0.00113739261355,0.00130008601661,0.0413633901522,0.0364451375718,0.0842792449316,0.095737545699,0.111906876897,0.126929962873,0.986349583829,79,0.00375743162901,0.999809286884,1.00311262075e-06,0,POTENTIALLY_USEFUL_FOR_LOCAL_DECISION,NOT_FROZEN_REQUIRES_REVIEW,MILD_MODEL_MISMATCH,5,0.35933175578,0.865096239788,0.0200614250824,2.00614250824,MODEL_STRUCTURE_LIMITATION,MODEL_INADEQUATE_FOR_PRECISE_DYNAMICS,True,False
baseline__hip_knee_coupling_mild,baseline,hip_knee_coupling_mild,SUPPORTED,13750,0.000333230921693,0.000294179414731,0.000673324411283,0.000762208385726,0.000884713533411,0.00099350021582,0.0336539931764,0.0297170193836,0.0680061246762,0.0771742172357,0.0891156081124,0.0980817180775,0.9832,79,0.00574545454545,0.999763451281,5.93615965938e-07,0,POTENTIALLY_USEFUL_FOR_LOCAL_DECISION,NOT_FROZEN_REQUIRES_REVIEW,MILD_MODEL_MISMATCH,5,0.35933175578,0.865096239788,0.0200614250824,2.00614250824,MODEL_STRUCTURE_LIMITATION,MODEL_INADEQUATE_FOR_PRECISE_DYNAMICS,True,False
baseline__hip_knee_coupling_mild,baseline,hip_knee_coupling_mild,UNSUPPORTED,7275,0.000560358813241,0.000561134860399,0.00100617156247,0.00108717218904,0.00122289939779,0.00130008601661,0.0559344153642,0.0559835050851,0.100517810563,0.107737880428,0.119540949783,0.126929962873,0.992302405498,0,0,0.999799523966,,0,POTENTIALLY_USEFUL_FOR_LOCAL_DECISION,NOT_FROZEN_REQUIRES_REVIEW,MILD_MODEL_MISMATCH,5,0.35933175578,0.865096239788,0.0200614250824,2.00614250824,MODEL_STRUCTURE_LIMITATION,MODEL_INADEQUATE_FOR_PRECISE_DYNAMICS,True,False
baseline__nonlinear_damping_mild,baseline,nonlinear_damping_mild,OVERALL,21025,2.05817879539e-06,1.81214514694e-06,4.14383784288e-06,4.59282501826e-06,5.19074872629e-06,5.69743903189e-06,0.000208333676497,0.000181634659084,0.000422836952634,0.000468755726126,0.000529554952032,0.000580853440517,0.999952437574,0,0,0.999999989318,0,0,POTENTIALLY_USEFUL_FOR_LOCAL_DECISION,NOT_FROZEN_REQUIRES_REVIEW,MILD_MODEL_MISMATCH,5,0.0116192768581,0.0282541769469,0.000103606405983,0.0103606405983,MODEL_STRUCTURE_LIMITATION,MODEL_INADEQUATE_FOR_PRECISE_DYNAMICS,True,False
baseline__nonlinear_damping_mild,baseline,nonlinear_damping_mild,SUPPORTED,13750,2.45984744968e-06,2.44607590555e-06,4.43630332783e-06,4.79869953601e-06,5.29106418008e-06,5.69743903189e-06,0.000249604151729,0.00024721459209,0.000452920377489,0.000489521885113,0.000540217191617,0.000580853440517,1,0,0,0.999999983784,0,0,POTENTIALLY_USEFUL_FOR_LOCAL_DECISION,NOT_FROZEN_REQUIRES_REVIEW,MILD_MODEL_MISMATCH,5,0.0116192768581,0.0282541769469,0.000103606405983,0.0103606405983,MODEL_STRUCTURE_LIMITATION,MODEL_INADEQUATE_FOR_PRECISE_DYNAMICS,True,False
baseline__nonlinear_damping_mild,baseline,nonlinear_damping_mild,UNSUPPORTED,7275,1.29901123571e-06,1.12720930745e-06,2.65842375358e-06,3.20071430238e-06,3.82354501383e-06,4.14043015551e-06,0.000130331060078,0.000112166813614,0.000268876820234,0.000327182905411,0.000394344041733,0.000427281947565,0.999862542955,0,0,0.999999978028,,0,POTENTIALLY_USEFUL_FOR_LOCAL_DECISION,NOT_FROZEN_REQUIRES_REVIEW,MILD_MODEL_MISMATCH,5,0.0116192768581,0.0282541769469,0.000103606405983,0.0103606405983,MODEL_STRUCTURE_LIMITATION,MODEL_INADEQUATE_FOR_PRECISE_DYNAMICS,True,False
baseline__structured_residual,baseline,structured_residual,OVERALL,21025,0.000133941795857,0.00011658816204,0.000271526845589,0.000304811992999,0.000353316239325,0.000410660930162,0.0135530936271,0.0117059678953,0.0276478740963,0.0310488136469,0.0360367679777,0.0418422646058,0.995434007134,53,0.00252080856124,0.999979610507,0,0,POTENTIALLY_USEFUL_FOR_LOCAL_DECISION,NOT_FROZEN_REQUIRES_REVIEW,MILD_MODEL_MISMATCH,5,0.205249936275,0.511738805447,0.00563697981918,0.563697981918,MODEL_STRUCTURE_LIMITATION,MODEL_INADEQUATE_FOR_PRECISE_DYNAMICS,True,False
baseline__structured_residual,baseline,structured_residual,SUPPORTED,13750,0.000169065492819,0.000167175693979,0.000293016538346,0.000320715660497,0.000362097473042,0.000410660930162,0.0171320379994,0.0168707552924,0.0298551347777,0.0326858380088,0.0369486682194,0.0418422646058,0.994181818182,53,0.00385454545455,0.999972841461,0,0,POTENTIALLY_USEFUL_FOR_LOCAL_DECISION,NOT_FROZEN_REQUIRES_REVIEW,MILD_MODEL_MISMATCH,5,0.205249936275,0.511738805447,0.00563697981918,0.563697981918,MODEL_STRUCTURE_LIMITATION,MODEL_INADEQUATE_FOR_PRECISE_DYNAMICS,True,False
baseline__structured_residual,baseline,structured_residual,UNSUPPORTED,7275,6.75568015978e-05,5.53825702363e-05,0.000141118959624,0.000187750061741,0.000237699917572,0.00027440304778,0.00678876577569,0.00549083682721,0.0142785002207,0.0193079831871,0.0245172543236,0.0283023807479,0.997800687285,0,0,0.999978077744,,0,POTENTIALLY_USEFUL_FOR_LOCAL_DECISION,NOT_FROZEN_REQUIRES_REVIEW,MILD_MODEL_MISMATCH,5,0.205249936275,0.511738805447,0.00563697981918,0.563697981918,MODEL_STRUCTURE_LIMITATION,MODEL_INADEQUATE_FOR_PRECISE_DYNAMICS,True,False
baseline__combined_mild,baseline,combined_mild,OVERALL,21025,0.00249723674487,0.0022219461587,0.00500269313906,0.00537313388464,0.00570425579196,0.00586766171191,0.253596046674,0.221838774836,0.513871247911,0.553894401011,0.587415450423,0.601911472108,0.950487514863,0,0,0.998665571334,2.77699584688e-05,0,POTENTIALLY_USEFUL_FOR_LOCAL_DECISION,NOT_FROZEN_REQUIRES_REVIEW,MILD_MODEL_MISMATCH,5,0.787184605238,1.88910668285,0.0568610330847,5.68610330847,MODEL_STRUCTURE_LIMITATION,MODEL_INADEQUATE_FOR_PRECISE_DYNAMICS,True,False
baseline__combined_mild,baseline,combined_mild,SUPPORTED,13750,0.00282170525,0.00284908501819,0.0052168323997,0.00549528461124,0.00574673686327,0.00586766171191,0.287717237673,0.288093917674,0.536109124049,0.565755451008,0.591245603022,0.601911472108,0.944581818182,0,0,0.998361526348,2.56000279732e-05,0,POTENTIALLY_USEFUL_FOR_LOCAL_DECISION,NOT_FROZEN_REQUIRES_REVIEW,MILD_MODEL_MISMATCH,5,0.787184605238,1.88910668285,0.0568610330847,5.68610330847,MODEL_STRUCTURE_LIMITATION,MODEL_INADEQUATE_FOR_PRECISE_DYNAMICS,True,False
baseline__combined_mild,baseline,combined_mild,UNSUPPORTED,7275,0.00188398012006,0.00170986696101,0.00367032694276,0.00464088990533,0.00536991831318,0.00554007168328,0.189105823136,0.171255679969,0.376164807833,0.47874211877,0.556520175977,0.573935832757,0.961649484536,0,0,0.997312542379,,0,POTENTIALLY_USEFUL_FOR_LOCAL_DECISION,NOT_FROZEN_REQUIRES_REVIEW,MILD_MODEL_MISMATCH,5,0.787184605238,1.88910668285,0.0568610330847,5.68610330847,MODEL_STRUCTURE_LIMITATION,MODEL_INADEQUATE_FOR_PRECISE_DYNAMICS,True,False
