case_id,subject_id,scenario_name,domain_coverage_percent,existing_90_percent_gate_pass,point_count,mean_e_J_abs,median_e_J_abs,decision_sign_accuracy,false_improvement_rate,mean_absolute_rank_percentile_error,within_group_spearman_rank_correlation,coverage_gate_modified
baseline__hip_knee_coupling_mild,baseline,hip_knee_coupling_mild,78.054863,False,361,0.00041867075526,0.000369669484257,1,0,0.00516414636315,0.999980869592,False
baseline__hip_knee_coupling_mild,baseline,hip_knee_coupling_mild,78.304239,False,376,0.0007485026878,0.000805729432712,1,0,0.00227882207099,0.999997968283,False
baseline__hip_knee_coupling_mild,baseline,hip_knee_coupling_mild,78.553616,False,304,0.000267273230458,0.000233711125899,1,0,0.00600272232305,0.999999572865,False
baseline__hip_knee_coupling_mild,baseline,hip_knee_coupling_mild,78.802993,False,44,0.000122306782593,4.77038272482e-05,1,0,0.00963787698627,1,False
baseline__hip_knee_coupling_mild,baseline,hip_knee_coupling_mild,79.052369,False,406,0.000783707541046,0.000825641160465,0.995073891626,0,0.00184685133228,0.9999829655,False
baseline__hip_knee_coupling_mild,baseline,hip_knee_coupling_mild,79.301746,False,319,0.000262594663215,0.000243974331173,1,0,0.00496304220606,0.999944549595,False
baseline__hip_knee_coupling_mild,baseline,hip_knee_coupling_mild,79.551122,False,57,0.000218439456645,0.000213757102728,1,0,0.00995139453867,1,False
baseline__hip_knee_coupling_mild,baseline,hip_knee_coupling_mild,79.800499,False,349,0.00081677721065,0.000822838259744,1,0,0.00110592860866,0.999973463943,False
baseline__hip_knee_coupling_mild,baseline,hip_knee_coupling_mild,80.049875,False,339,0.000256779511133,0.000247045177241,0.994100294985,0,0.00476059193473,0.999965193178,False
baseline__hip_knee_coupling_mild,baseline,hip_knee_coupling_mild,80.299252,False,42,0.000274587362984,0.000333925490562,1,0,0.00876507559028,1,False
baseline__hip_knee_coupling_mild,baseline,hip_knee_coupling_mild,80.548628,False,45,0.000146111107425,0.000195835798029,1,0,0.00852741445369,1,False
baseline__hip_knee_coupling_mild,baseline,hip_knee_coupling_mild,80.798005,False,108,0.000606613961413,0.000643723383,1,0,0.00436825648478,1,False
baseline__hip_knee_coupling_mild,baseline,hip_knee_coupling_mild,81.047382,False,347,0.000682036283306,0.000724351852256,0.99711815562,0,0.00212769894492,0.999997702337,False
baseline__hip_knee_coupling_mild,baseline,hip_knee_coupling_mild,81.296758,False,245,0.000216322360274,0.000234964164551,0.987755102041,0,0.00420917760683,1,False
baseline__hip_knee_coupling_mild,baseline,hip_knee_coupling_mild,81.546135,False,387,0.000809111515124,0.000846072256337,1,0,0.0064750036102,0.999999171846,False
