hip_delta,knee_delta,phase_delta,trajectory_id,trajectory_sha256,trajectory_admissible,trajectory_feasible,domain_coverage,max_joint_deviation_deg,hip_max_deviation_deg,knee_max_deviation_deg,max_pull_deviation_mm,invalid_reason,alpha_bounds_valid,global_rom_valid,workspace_valid,jacobian_valid,force_mapping_valid,domain_valid,velocity_valid,acceleration_valid,closure_valid,continuity_valid,asymmetry_valid,finite_valid,pointwise_clipping_applied,parent_reference_sha256
-5,-5,0.0025000000000000001,asym_h-5.000_k-5.000_p+0.00250,0f2318445564c092abef51c4d09e1572946309a4c76e5f299250bfbb2ec0a863,True,True,100,5.0000000000000453,5.0000000000000329,5.0000000000000453,36.640285386882525,,True,True,True,True,True,True,True,True,True,True,True,True,False,f63bdea2e0d346d73151eedaac73e887f1028c99a6eb15cfc3bc44cfd088a881
-5,-5,0.0050000000000000001,asym_h-5.000_k-5.000_p+0.00500,21e682a0e543c24fa8ff34cd42dbd34a3ef4a4bb30d53ad067e5db7d0e9d6ddd,True,True,100,5.0000000000000453,5.0000000000000329,5.0000000000000453,36.640285386882525,,True,True,True,True,True,True,True,True,True,True,True,True,False,f63bdea2e0d346d73151eedaac73e887f1028c99a6eb15cfc3bc44cfd088a881
-5,-5,0.0074999999999999997,asym_h-5.000_k-5.000_p+0.00750,4078a9684d766aa62ee9b4bbcab5d61357df4afafe571d5ae0b31898a0bf5d5d,True,True,100,5.0000000000000453,5.0000000000000329,5.0000000000000453,36.640285386882525,,True,True,True,True,True,True,True,True,True,True,True,True,False,f63bdea2e0d346d73151eedaac73e887f1028c99a6eb15cfc3bc44cfd088a881
-5,-5,0.01,asym_h-5.000_k-5.000_p+0.01000,acd4584a3961121ea228784d2daec654458b18122681d0c6cf1cb35e1a3f52fb,True,True,100,5.0000000000000453,5.0000000000000329,5.0000000000000453,36.640285386882525,,True,True,True,True,True,True,True,True,True,True,True,True,False,f63bdea2e0d346d73151eedaac73e887f1028c99a6eb15cfc3bc44cfd088a881
-5,-5,0.012500000000000001,asym_h-5.000_k-5.000_p+0.01250,9c7e4e51f709a78a97d9e8be3968b585d7c64dc9d82106bb8f5aa2e550908308,True,True,100,5.1285011650881032,5.0000000000000329,5.1285011650881032,36.640285386882525,,True,True,True,True,True,True,True,True,True,True,True,True,False,f63bdea2e0d346d73151eedaac73e887f1028c99a6eb15cfc3bc44cfd088a881
-5,-5,0.014999999999999999,asym_h-5.000_k-5.000_p+0.01500,742ba26e918806cdc56084143ed68da2dca0ab0de89ea4d13e7e67d4b776e261,True,True,100,5.4177555238394017,5.0000000000000329,5.4177555238394017,36.640285386882525,,True,True,True,True,True,True,True,True,True,True,True,True,False,f63bdea2e0d346d73151eedaac73e887f1028c99a6eb15cfc3bc44cfd088a881
-5,-5,0.017500000000000002,asym_h-5.000_k-5.000_p+0.01750,7e697125a2519157e7cd182ee5a6cc75b5695d464c657c565f0a3063732df9c7,True,True,100,5.7115620613475251,5.0000000000000329,5.7115620613475251,36.640285386882525,,True,True,True,True,True,True,True,True,True,True,True,True,False,f63bdea2e0d346d73151eedaac73e887f1028c99a6eb15cfc3bc44cfd088a881
-5,-5,0.02,asym_h-5.000_k-5.000_p+0.02000,ce38dea87a2c334cd5370b3c2985fa9bce26fd056e028d9318ca677cf01e4d37,True,True,100,6.079578099965242,5.0000000000000329,6.079578099965242,36.640285386882525,,True,True,True,True,True,True,True,True,True,True,True,True,False,f63bdea2e0d346d73151eedaac73e887f1028c99a6eb15cfc3bc44cfd088a881
-5,-5,0.022499999999999999,asym_h-5.000_k-5.000_p+0.02250,406725a9cdb84fee50fccc4b3cd398ce75fe94c02aca67a0585acb024ebce23c,True,True,100,6.482237091596649,5.0000000000000329,6.482237091596649,36.640285386882525,,True,True,True,True,True,True,True,True,True,True,True,True,False,f63bdea2e0d346d73151eedaac73e887f1028c99a6eb15cfc3bc44cfd088a881
-5,-5,0.025000000000000001,asym_h-5.000_k-5.000_p+0.02500,e4e79261041862211bec74c4121498a595bde1893133056d35ea6daffe4b0a75,True,True,100,6.8872426648904161,5.0000000000000329,6.8872426648904161,36.640285386882439,,True,True,True,True,True,True,True,True,True,True,True,True,False,f63bdea2e0d346d73151eedaac73e887f1028c99a6eb15cfc3bc44cfd088a881
