subject_id,rom_protocol_version,theta_shank_definition,q_hip_rad,q_knee_rad,theta_shank_rad,q_hip_deg,q_knee_deg,x_knee,z_knee,x_pull,z_pull,reachable,near_singular,jacobian_determinant,jacobian_condition_number,jacobian_near_singular,jacobian_mapping_valid,mass_thigh_kg,mass_shank_kg,com_thigh_m,com_shank_m,k_hip_nm_per_rad,k_knee_nm_per_rad,q0_hip_rad,q0_knee_rad,gravity_m_s2,tau_gravity_hip_nm,tau_gravity_knee_nm,tau_stiffness_hip_nm,tau_stiffness_knee_nm,tau_total_hip_nm,tau_total_knee_nm,fx_robot_on_leg_n,fz_robot_on_leg_n,force_magnitude_n,force_mapping_valid,invalid_reason
baseline,ROM_PROTOCOL_V2,q_hip - q_knee,0.5235987755982988,0.5235987755982988,0.0,30.0,30.0,0.3637306695894642,0.2099999999999999,0.6637306695894643,0.2099999999999999,True,False,0.06300000000000001,9.010259882148967,False,True,7.0,4.0,0.18,0.16,15.0,12.0,0.17453292519943295,0.17453292519943295,9.81,31.255785080708513,-6.2784,5.235987755982988,4.18879020478639,36.4917728366915,-2.089609795213611,-151.75545622935908,6.965365984045353,151.91522247185307,True,
baseline,ROM_PROTOCOL_V2,q_hip - q_knee,1.0471975511965976,1.0471975511965976,0.0,60.0,60.0,0.21,0.3637306695894642,0.51,0.3637306695894642,True,False,0.10911920087683925,4.181717285268839,False,True,7.0,4.0,0.18,0.16,15.0,12.0,0.17453292519943295,0.17453292519943295,9.81,20.699100000000005,-6.2784,13.08996938995747,10.471975511965976,33.789069389957476,4.1935755119659754,-112.49573154357087,-13.97858503988658,113.36088591414813,True,
baseline,ROM_PROTOCOL_V2,q_hip - q_knee,1.5707963267948966,1.7453292519943295,-0.1745329251994329,90.0,100.0,2.5717582782094416e-17,0.42,0.2954423259036624,0.3679055466999208,True,False,0.12408577687953821,2.0259594447144105,False,True,7.0,4.0,0.18,0.16,15.0,12.0,0.17453292519943295,0.17453292519943295,9.81,6.183016996511849,-6.1830169965118476,20.943951023931955,18.84955592153876,27.126968020443805,12.666538925026911,-94.74644510826359,-26.166781084396177,98.29338377007844,True,
baseline,ROM_PROTOCOL_V2,q_hip - q_knee,1.9198621771937625,2.0943951023931953,-0.1745329251994327,110.0,120.0,-0.1436484601967808,0.3946709007300815,0.1517938657068815,0.3425764474300025,True,False,0.1091192008768393,1.394190123545161,False,True,7.0,4.0,0.18,0.16,15.0,12.0,0.17453292519943295,0.17453292519943295,9.81,-3.6813227652010934,-6.1830169965118476,26.17993877991494,23.03834612632515,22.498616014713846,16.8553291298133,-84.3625955597565,-42.17576407523686,94.3177745968865,True,
hip_stiff,ROM_PROTOCOL_V2,q_hip - q_knee,0.5235987755982988,0.5235987755982988,0.0,30.0,30.0,0.3637306695894642,0.2099999999999999,0.6637306695894643,0.2099999999999999,True,False,0.06300000000000001,9.010259882148967,False,True,7.0,4.0,0.18,0.16,30.0,12.0,0.17453292519943295,0.17453292519943295,9.81,31.255785080708513,-6.2784,10.471975511965976,4.18879020478639,41.727760592674485,-2.089609795213611,-176.68873125784947,6.96536598404535,176.82597116034808,True,
hip_stiff,ROM_PROTOCOL_V2,q_hip - q_knee,1.0471975511965976,1.0471975511965976,0.0,60.0,60.0,0.21,0.3637306695894642,0.51,0.3637306695894642,True,False,0.10911920087683925,4.181717285268839,False,True,7.0,4.0,0.18,0.16,30.0,12.0,0.17453292519943295,0.17453292519943295,9.81,20.699100000000005,-6.2784,26.17993877991494,10.471975511965976,46.87903877991495,4.1935755119659754,-148.48381416726568,-13.978585039886577,149.14034970247465,True,
hip_stiff,ROM_PROTOCOL_V2,q_hip - q_knee,1.5707963267948966,1.7453292519943295,-0.1745329251994329,90.0,100.0,2.5717582782094416e-17,0.42,0.2954423259036624,0.3679055466999208,True,False,0.12408577687953821,2.0259594447144105,False,True,7.0,4.0,0.18,0.16,30.0,12.0,0.17453292519943295,0.17453292519943295,9.81,6.183016996511849,-6.1830169965118476,41.88790204786391,18.84955592153876,48.070919044375756,12.666538925026911,-144.61299516524443,-17.373962874501213,145.65291949229012,True,
hip_stiff,ROM_PROTOCOL_V2,q_hip - q_knee,1.9198621771937625,2.0943951023931953,-0.1745329251994327,110.0,120.0,-0.1436484601967808,0.3946709007300815,0.1517938657068815,0.3425764474300025,True,False,0.1091192008768393,1.394190123545161,False,True,7.0,4.0,0.18,0.16,30.0,12.0,0.17453292519943295,0.17453292519943295,9.81,-3.6813227652010934,-6.1830169965118476,52.35987755982988,23.03834612632515,48.67855479462879,16.8553291298133,-155.24528112747365,-29.67723414457383,158.056431500968,True,
knee_stiff,ROM_PROTOCOL_V2,q_hip - q_knee,0.5235987755982988,0.5235987755982988,0.0,30.0,30.0,0.3637306695894642,0.2099999999999999,0.6637306695894643,0.2099999999999999,True,False,0.06300000000000001,9.010259882148967,False,True,7.0,4.0,0.18,0.16,15.0,30.0,0.17453292519943295,0.17453292519943295,9.81,31.255785080708513,-6.2784,5.235987755982988,10.471975511965976,36.4917728366915,4.1935755119659754,-217.95137354823197,-13.978585039886605,218.39918056457606,True,
knee_stiff,ROM_PROTOCOL_V2,q_hip - q_knee,1.0471975511965976,1.0471975511965976,0.0,60.0,60.0,0.21,0.3637306695894642,0.51,0.3637306695894642,True,False,0.10911920087683925,4.181717285268839,False,True,7.0,4.0,0.18,0.16,15.0,30.0,0.17453292519943295,0.17453292519943295,9.81,20.699100000000005,-6.2784,13.08996938995747,26.17993877991494,33.789069389957476,19.90153877991494,-185.91142009590828,-66.33846259971646,197.39262332258332,True,
