hip_deg,knee_deg,native_limit_crossed,knee_qfrc_passive,knee_qfrc_actuator_zero_control,knee_total_passive_residual,total_crossing_derivative_jump_ratio,source_equality_max_abs_residual,source_equality_max_abs_force,finite,warning_count
60.0,115.0,False,0.0,-10.58042164383539,-10.58042164383539,0.009261831425609603,4.440892098500626e-16,358.0333310260419,True,0
60.0,115.25,False,0.0,-10.668941673473292,-10.668941673473292,0.009261831425609603,1.7763568394002505e-15,361.49186391658156,True,0
60.0,115.5,False,0.0,-10.758415934755696,-10.758415934755696,0.009261831425609603,2.220446049250313e-15,364.9872394638785,True,0
60.0,115.75,False,0.0,-10.848858692098915,-10.848858692098915,0.009261831425609603,1.1102230246251565e-15,368.52002103467646,True,0
60.0,116.0,False,0.0,-10.940284378651665,-10.940284378651665,0.009261831425609603,6.661338147750939e-16,372.09077970591517,True,0
60.0,116.25,False,0.0,-11.032707596955378,-11.032707596955378,0.009261831425609603,4.2500725161431774e-17,375.70009470477237,True,0
60.0,116.5,False,0.0,-11.126143119559293,-11.126143119559293,0.009261831425609603,1.3322676295501878e-15,379.34855327586695,True,0
60.0,116.75,False,0.0,-11.220605889598108,-11.220605889598108,0.009261831425609603,1.3322676295501878e-15,383.03675072592006,True,0
60.0,117.0,False,0.0,-11.316111021324325,-11.316111021324325,0.009261831425609603,8.881784197001252e-16,386.7652904666168,True,0
60.0,117.25,False,0.0,-11.412673800593492,-11.412673800593492,0.009261831425609603,8.881784197001252e-16,390.53478405559673,True,0
60.0,117.5,False,0.0,-11.51030968530226,-11.51030968530226,0.009261831425609603,1.1102230246251565e-15,394.3458512355862,True,0
60.0,117.75,False,0.0,-11.609034305769464,-11.609034305769464,0.009261831425609603,8.881784197001252e-16,398.19911997131777,True,0
60.0,118.0,False,0.0,-11.708863465067626,-11.708863465067626,0.009261831425609603,6.661338147750939e-16,402.0952264845126,True,0
60.0,118.25,False,0.0,-11.80981313929296,-11.80981313929296,0.009261831425609603,2.220446049250313e-15,406.03481528654385,True,0
60.0,118.5,False,0.0,-11.911899477773833,-11.911899477773833,0.009261831425609603,1.1102230246251565e-15,410.0185392087691,True,0
60.0,118.75,False,0.0,-12.015138803217777,-12.015138803217777,0.009261831425609603,4.440892098500626e-16,414.0470594305848,True,0
60.0,119.0,False,0.0,-12.119547611782988,-12.119547611782988,0.009261831425609603,6.661338147750939e-16,418.1210455047117,True,0
60.0,119.25,False,0.0,-12.225142573089574,-12.225142573089574,0.009261831425609603,1.5543122344752192e-15,422.24117538024086,True,0
60.0,119.5,False,0.0,-12.331940530143978,-12.331940530143978,0.009261831425609603,1.9984014443252818e-15,426.4081354225829,True,0
60.0,119.75,False,0.0,-12.439958499194251,-12.439958499194251,0.009261831425609603,2.220446049250313e-16,430.622620430867,True,0
60.0,120.0,False,0.0,-12.549213669493495,-12.549213669493495,0.009261831425609603,4.440892098500626e-16,434.8853343231694,True,0
60.0,120.25,True,0.0,-12.659723402986744,-12.659723402986744,0.009261831425609603,1.3322676295501878e-15,439.19698634891233,True,0
60.0,120.5,True,0.0,-12.771505233897555,-12.771505233897555,0.009261831425609603,1.3322676295501878e-15,443.55829959196143,True,0
60.0,120.75,True,0.0,-12.884576868226786,-12.884576868226786,0.009261831425609603,8.881784197001252e-16,447.97053971404,True,0
60.0,121.0,True,0.0,-12.998956183147607,-12.998956183147607,0.009261831425609603,1.9984014443252818e-15,452.4340971476817,True,0
60.0,121.25,True,0.0,-13.114661226298935,-13.114661226298935,0.009261831425609603,5.551115123125783e-17,456.9495133926207,True,0
60.0,121.5,True,0.0,-13.231710214973274,-13.231710214973274,0.009261831425609603,8.881784197001252e-16,461.5175417360941,True,0
60.0,121.75,True,0.0,-13.350121535183744,-13.350121535183744,0.009261831425609603,5.551115123125783e-17,466.1389439091111,True,0
60.0,122.0,True,0.0,-13.469913740622502,-13.469913740622502,0.009261831425609603,5.551115123125783e-17,470.81449007055096,True,0
60.0,122.25,True,0.0,-13.591105551492223,-13.591105551492223,0.009261831425609603,5.551115123125783e-17,475.54495878415327,True,0
60.0,122.5,True,0.0,-13.713715853207862,-13.713715853207862,0.009261831425609603,6.661338147750939e-16,480.33113697525675,True,0
60.0,122.75,True,0.0,-13.837763694970269,-13.837763694970269,0.009261831425609603,2.220446049250313e-15,485.1738199243122,True,0
60.0,123.0,True,0.0,-13.963268288198956,-13.963268288198956,0.009261831425609603,8.881784197001252e-16,490.07381122647257,True,0
60.0,123.25,True,0.0,-14.090249004820043,-14.090249004820043,0.009261831425609603,1.7763568394002505e-15,495.0319227474888,True,0
60.0,123.5,True,0.0,-14.218725375406446,-14.218725375406446,0.009261831425609603,4.440892098500626e-16,500.0489745769977,True,0
60.0,123.75,True,0.0,-14.348717087164761,-14.348717087164761,0.009261831425609603,6.661338147750939e-16,505.12579497611733,True,0
60.0,124.0,True,0.0,-14.480243981757653,-14.480243981757653,0.009261831425609603,2.220446049250313e-16,510.26322031891874,True,0
60.0,124.25,True,0.0,-14.613326052960321,-14.613326052960321,0.009261831425609603,8.881784197001252e-16,515.4620950275847,True,0
60.0,124.5,True,0.0,-14.747983444146428,-14.747983444146428,0.009261831425609603,6.661338147750939e-16,520.7232715009866,True,0
60.0,124.75,True,0.0,-14.88423644559055,-14.88423644559055,0.009261831425609603,1.3322676295501878e-15,526.0476100367133,True,0
60.0,125.0,True,0.0,-15.022105491587796,-15.022105491587796,0.009261831425609603,2.220446049250313e-16,531.4359787586573,True,0
