actuator_id,actuator,preselected_key_muscle,biarticular_hip_knee,hip_deg,knee_deg,native_limit_crossed,tendon_length_m,actuator_length_m,normalized_actuator_length,zero_control_actuator_force_n,length_crossing_derivative_jump_ratio,tendon_crossing_derivative_jump_ratio,force_crossing_derivative_jump_ratio,extended_to_native_force_growth_ratio,force_to_model_fmax_ratio,finite
1,addlong_r,False,False,60.0,120.5,True,0.20595012098503415,0.20595012098503415,0.26823962645728977,0.0,0.0,0.0,0.0,0.0,0.0,True
1,addlong_r,False,False,60.0,120.75,True,0.20595012098503415,0.20595012098503415,0.26823962645728977,0.0,0.0,0.0,0.0,0.0,0.0,True
1,addlong_r,False,False,60.0,121.0,True,0.20595012098503415,0.20595012098503415,0.26823962645728977,0.0,0.0,0.0,0.0,0.0,0.0,True
1,addlong_r,False,False,60.0,121.25,True,0.20595012098503415,0.20595012098503415,0.26823962645728977,0.0,0.0,0.0,0.0,0.0,0.0,True
1,addlong_r,False,False,60.0,121.5,True,0.20595012098503415,0.20595012098503415,0.26823962645728977,0.0,0.0,0.0,0.0,0.0,0.0,True
1,addlong_r,False,False,60.0,121.75,True,0.20595012098503415,0.20595012098503415,0.26823962645728977,0.0,0.0,0.0,0.0,0.0,0.0,True
1,addlong_r,False,False,60.0,122.0,True,0.20595012098503415,0.20595012098503415,0.26823962645728977,0.0,0.0,0.0,0.0,0.0,0.0,True
1,addlong_r,False,False,60.0,122.25,True,0.20595012098503415,0.20595012098503415,0.26823962645728977,0.0,0.0,0.0,0.0,0.0,0.0,True
1,addlong_r,False,False,60.0,122.5,True,0.20595012098503415,0.20595012098503415,0.26823962645728977,0.0,0.0,0.0,0.0,0.0,0.0,True
1,addlong_r,False,False,60.0,122.75,True,0.20595012098503415,0.20595012098503415,0.26823962645728977,0.0,0.0,0.0,0.0,0.0,0.0,True
1,addlong_r,False,False,60.0,123.0,True,0.20595012098503415,0.20595012098503415,0.26823962645728977,0.0,0.0,0.0,0.0,0.0,0.0,True
1,addlong_r,False,False,60.0,123.25,True,0.20595012098503415,0.20595012098503415,0.26823962645728977,0.0,0.0,0.0,0.0,0.0,0.0,True
1,addlong_r,False,False,60.0,123.5,True,0.20595012098503415,0.20595012098503415,0.26823962645728977,0.0,0.0,0.0,0.0,0.0,0.0,True
