variant,formal_role,hip_deg,knee_deg,knee_velocity_deg_s,tendon_length_min_m,tendon_length_max_m,actuator_length_min_m,actuator_length_max_m,normalized_actuator_length_min,normalized_actuator_length_max,actuator_force_max_abs_n,hip_moment_arm_max_abs_m,knee_moment_arm_max_abs_m,hip_qfrc_passive,knee_qfrc_passive,hip_qfrc_actuator,knee_qfrc_actuator,source_equality_max_abs_residual,source_equality_max_abs_force,qfrc_constraint_l2,finite,warning_count
NATIVE,PRIMARY_OR_NATIVE,30.0,100.0,0.0,0.08130555624310062,0.5854216436409769,0.08130555624310062,0.5854216436409769,-0.9156927494310412,1.0000039331521238,103.37679550326716,0.07348871726986506,0.046756197363828626,0.0,0.0,-6.427830583172072,-6.58337185420583,2.220446049250313e-16,200.88294975759882,403.83788941656934,True,0
NATIVE,PRIMARY_OR_NATIVE,30.0,100.0,5.0,0.08130555624310062,0.5854216436409769,0.08130555624310062,0.5854216436409769,-0.9156927494310412,1.0000039331521238,103.37679550326716,0.07348871726986506,0.046756197363828626,0.0,-0.04363323129985824,-6.427830583172072,-6.58337185420583,2.220446049250313e-16,200.88170171221873,403.8331574216462,True,0
NATIVE,PRIMARY_OR_NATIVE,30.0,100.0,-5.0,0.08130555624310062,0.5854216436409769,0.08130555624310062,0.5854216436409769,-0.9156927494310412,1.0000039331521238,103.37679550326716,0.07348871726986506,0.046756197363828626,0.0,0.04363323129985824,-6.427830583172072,-6.58337185420583,2.220446049250313e-16,200.88420063876558,403.83975846140976,True,0
NATIVE,PRIMARY_OR_NATIVE,30.0,105.0,0.0,0.08130555624310062,0.5854216436409769,0.08130555624310062,0.5854216436409769,-0.9156927494310412,1.0000039331521238,117.80800714533162,0.07348871726986506,0.04615623234449639,0.0,0.0,-6.424546281552704,-7.691555173437535,4.440892098500626e-16,244.30738320865117,434.8734567184273,True,0
NATIVE,PRIMARY_OR_NATIVE,30.0,105.0,5.0,0.08130555624310062,0.5854216436409769,0.08130555624310062,0.5854216436409769,-0.9156927494310412,1.0000039331521238,117.80800714533162,0.07348871726986506,0.04615623234449639,0.0,-0.04363323129985824,-6.424546281552704,-7.691555173437535,4.440892098500626e-16,244.30604720724696,434.86682612161275,True,0
NATIVE,PRIMARY_OR_NATIVE,30.0,105.0,-5.0,0.08130555624310062,0.5854216436409769,0.08130555624310062,0.5854216436409769,-0.9156927494310412,1.0000039331521238,117.80800714533162,0.07348871726986506,0.04615623234449639,0.0,0.04363323129985824,-6.424546281552704,-7.691555173437535,4.440892098500626e-16,244.30872046591014,434.8770459075346,True,0
NATIVE,PRIMARY_OR_NATIVE,30.0,110.0,0.0,0.08130555624310062,0.5854216436409769,0.08130555624310062,0.5854216436409769,-0.9156927494310412,1.0000039331521238,134.71432427864477,0.07348871726986506,0.04465244583529148,0.0,0.0,-6.421000852009042,-9.002823774346213,2.220446049250313e-16,295.7533060126729,475.0747605379229,True,0
NATIVE,PRIMARY_OR_NATIVE,30.0,110.0,5.0,0.08130555624310062,0.5854216436409769,0.08130555624310062,0.5854216436409769,-0.9156927494310412,1.0000039331521238,134.71432427864477,0.07348871726986506,0.04465244583529148,0.0,-0.04363323129985824,-6.421000852009042,-9.002823774346213,2.220446049250313e-16,295.7519027222497,475.06614068907436,True,0
NATIVE,PRIMARY_OR_NATIVE,30.0,110.0,-5.0,0.08130555624310062,0.5854216436409769,0.08130555624310062,0.5854216436409769,-0.9156927494310412,1.0000039331521238,134.71432427864477,0.07348871726986506,0.04465244583529148,0.0,0.04363323129985824,-6.421000852009042,-9.002823774346213,2.220446049250313e-16,295.75470867077235,475.0801086715409,True,0
NATIVE,PRIMARY_OR_NATIVE,30.0,115.0,0.0,0.08130555624310062,0.5854216436409769,0.08130555624310062,0.5854216436409769,-0.9156927494310412,1.0000039331521238,155.06429349404377,0.07348871726986506,0.041174830620049896,0.0,0.0,-6.417066927649133,-10.592911194528117,4.440892098500626e-16,357.98702210465774,527.9830142944144,True,0
NATIVE,PRIMARY_OR_NATIVE,30.0,115.0,5.0,0.08130555624310062,0.5854216436409769,0.08130555624310062,0.5854216436409769,-0.9156927494310412,1.0000039331521238,155.06429349404377,0.07348871726986506,0.041174830620049896,0.0,-0.04363323129985824,-6.417066927649133,-10.592911194528117,4.440892098500626e-16,357.98557453879334,527.9724651683193,True,0
NATIVE,PRIMARY_OR_NATIVE,30.0,115.0,-5.0,0.08130555624310062,0.5854216436409769,0.08130555624310062,0.5854216436409769,-0.9156927494310412,1.0000039331521238,155.06429349404377,0.07348871726986506,0.041174830620049896,0.0,0.04363323129985824,-6.417066927649133,-10.592911194528117,4.440892098500626e-16,357.98846675775707,527.9900079770404,True,0
NATIVE,PRIMARY_OR_NATIVE,30.0,118.0,0.0,0.08130555624310062,0.5854216436409769,0.08130555624310062,0.5854216436409769,-0.9156927494310412,1.0000039331521238,169.44452574657387,0.07348871726986506,0.03707388341878115,0.0,0.0,-6.414461969353232,-11.721079112493927,6.661338147750939e-16,402.0491697450354,567.8076369038204,True,0
NATIVE,PRIMARY_OR_NATIVE,30.0,118.0,5.0,0.08130555624310062,0.5854216436409769,0.08130555624310062,0.5854216436409769,-0.9156927494310412,1.0000039331521238,169.44452574657387,0.07348871726986506,0.03707388341878115,0.0,-0.04363323129985824,-6.414461969353232,-11.721079112493927,6.661338147750939e-16,402.0477075610038,567.7960231673543,True,0
NATIVE,PRIMARY_OR_NATIVE,30.0,118.0,-5.0,0.08130555624310062,0.5854216436409769,0.08130555624310062,0.5854216436409769,-0.9156927494310412,1.0000039331521238,169.44452574657387,0.07348871726986506,0.03707388341878115,0.0,0.04363323129985824,-6.414461969353232,-11.721079112493927,6.661338147750939e-16,402.0506274088954,567.8155001315895,True,0
NATIVE,PRIMARY_OR_NATIVE,30.0,120.0,0.0,0.08130555624310062,0.5854216436409769,0.08130555624310062,0.5854216436409769,-0.9156927494310412,1.0000039331521238,180.13758051036464,0.07348871726986506,0.037917594725156434,0.0,0.0,-6.412603353976673,-12.561239698615987,4.440892098500626e-16,434.8394454969701,598.5175708417652,True,0
NATIVE,PRIMARY_OR_NATIVE,30.0,120.0,5.0,0.08130555624310062,0.5854216436409769,0.08130555624310062,0.5854216436409769,-0.9156927494310412,1.0000039331521238,180.13758051036464,0.07348871726986506,0.037917594725156434,0.0,-0.04363323129985824,-6.412603353976673,-12.561239698615987,4.440892098500626e-16,434.8379787657493,598.5053181318102,True,0
NATIVE,PRIMARY_OR_NATIVE,30.0,120.0,-5.0,0.08130555624310062,0.5854216436409769,0.08130555624310062,0.5854216436409769,-0.9156927494310412,1.0000039331521238,180.13758051036464,0.07348871726986506,0.037917594725156434,0.0,0.04363323129985824,-6.412603353976673,-12.561239698615987,4.440892098500626e-16,434.8409065145721,598.5259330699835,True,0
NATIVE,PRIMARY_OR_NATIVE,60.0,100.0,0.0,0.08058080815478381,0.5854216436409769,0.08058080815478381,0.5854216436409769,-0.9156927494310412,1.0000039331521238,297.63127343473957,0.07320229085117091,0.04675619736105307,0.0,0.0,-13.842287734123149,-6.569683337383535,2.220446049250313e-16,200.9305782069831,409.4284988121423,True,0
NATIVE,PRIMARY_OR_NATIVE,60.0,100.0,5.0,0.08058080815478381,0.5854216436409769,0.08058080815478381,0.5854216436409769,-0.9156927494310412,1.0000039331521238,297.63127343473957,0.07320229085117091,0.04675619736105307,0.0,-0.04363323129985824,-13.842287734123149,-6.569683337383535,2.220446049250313e-16,200.9293170566922,409.4699596141655,True,0
NATIVE,PRIMARY_OR_NATIVE,60.0,100.0,-5.0,0.08058080815478381,0.5854216436409769,0.08058080815478381,0.5854216436409769,-0.9156927494310412,1.0000039331521238,297.63127343473957,0.07320229085117091,0.04675619736105307,0.0,0.04363323129985824,-13.842287734123149,-6.569683337383535,2.220446049250313e-16,200.93184209192685,409.38444317750725,True,0
NATIVE,PRIMARY_OR_NATIVE,60.0,105.0,0.0,0.08058080815478381,0.5854216436409769,0.08058080815478381,0.5854216436409769,-0.9156927494310412,1.0000039331521238,297.63127343473957,0.07320229084006868,0.04615623234449639,0.0,0.0,-13.842287734123152,-7.678234393658281,4.440892098500626e-16,244.35456386009866,440.38347764016095,True,0
NATIVE,PRIMARY_OR_NATIVE,60.0,105.0,5.0,0.08058080815478381,0.5854216436409769,0.08058080815478381,0.5854216436409769,-0.9156927494310412,1.0000039331521238,297.63127343473957,0.07320229084006868,0.04615623234449639,0.0,-0.04363323129985824,-13.842287734123152,-7.678234393658281,4.440892098500626e-16,244.3532149807589,440.41978022302544,True,0
NATIVE,PRIMARY_OR_NATIVE,60.0,105.0,-5.0,0.08058080815478381,0.5854216436409769,0.08058080815478381,0.5854216436409769,-0.9156927494310412,1.0000039331521238,297.63127343473957,0.07320229084006868,0.04615623234449639,0.0,0.04363323129985824,-13.842287734123152,-7.678234393658281,4.440892098500626e-16,244.35591384261605,440.34448414764074,True,0
NATIVE,PRIMARY_OR_NATIVE,60.0,110.0,0.0,0.08058080815478381,0.5854216436409769,0.08058080815478381,0.5854216436409769,-0.9156927494310412,1.0000039331521238,297.63127343473957,0.0732022908456198,0.044652445840842596,0.0,0.0,-13.842287734123149,-8.989903261812685,2.220446049250313e-16,295.8000441968419,480.55286390473606,True,0
NATIVE,PRIMARY_OR_NATIVE,60.0,110.0,5.0,0.08058080815478381,0.5854216436409769,0.08058080815478381,0.5854216436409769,-0.9156927494310412,1.0000039331521238,297.63127343473957,0.0732022908456198,0.044652445840842596,0.0,-0.04363323129985824,-13.842287734123149,-8.989903261812685,2.220446049250313e-16,295.79862813231796,480.58406558450747,True,0
NATIVE,PRIMARY_OR_NATIVE,60.0,110.0,-5.0,0.08058080815478381,0.5854216436409769,0.08058080815478381,0.5854216436409769,-0.9156927494310412,1.0000039331521238,297.63127343473957,0.0732022908456198,0.044652445840842596,0.0,0.04363323129985824,-13.842287734123149,-8.989903261812685,2.220446049250313e-16,295.80145942398616,480.5188066641237,True,0
NATIVE,PRIMARY_OR_NATIVE,60.0,115.0,0.0,0.08058080815478381,0.5854216436409769,0.08058080815478381,0.5854216436409769,-0.9156927494310412,1.0000039331521238,297.63127343473957,0.07320229084006868,0.041174830620049896,0.0,0.0,-13.842287734123149,-10.58042164383539,4.440892098500626e-16,358.0333310260419,533.4847547306674,True,0
NATIVE,PRIMARY_OR_NATIVE,60.0,115.0,5.0,0.08058080815478381,0.5854216436409769,0.08058080815478381,0.5854216436409769,-0.9156927494310412,1.0000039331521238,297.63127343473957,0.07320229084006868,0.041174830620049896,0.0,-0.04363323129985824,-13.842287734123149,-10.58042164383539,4.440892098500626e-16,358.03187065649206,533.5110158502042,True,0
NATIVE,PRIMARY_OR_NATIVE,60.0,115.0,-5.0,0.08058080815478381,0.5854216436409769,0.08058080815478381,0.5854216436409769,-0.9156927494310412,1.0000039331521238,297.63127343473957,0.07320229084006868,0.041174830620049896,0.0,0.04363323129985824,-13.842287734123149,-10.58042164383539,4.440892098500626e-16,358.0347882239138,533.4554021693073,True,0
