hip_target_deg,actual_hip_deg,direction,time_s,desired_knee_deg,actual_knee_deg,desired_knee_velocity_deg_s,actual_knee_velocity_deg_s,knee_tracking_error_deg,hip_diagnostic_torque_nm,knee_diagnostic_torque_nm,hip_qfrc_passive,knee_qfrc_passive,hip_qfrc_actuator,knee_qfrc_actuator,source_equality_max_abs_residual,source_equality_max_abs_force,qfrc_constraint_l2,tendon_length_min_m,tendon_length_max_m,muscle_force_max_abs_n,individual_muscle_forces_json,finite,warning_count
30.0,29.998579276958736,ASCENDING_100_TO_125,0.0,100.0,99.99899968829834,0.0,-1.0003117016571523,-0.0010003117016594842,0.0,0.0,0.0,0.0,-6.427830583172072,-6.58337185420583,2.220446049250313e-16,200.88294975759882,403.83788941656934,0.08130555624310062,0.5854216436409769,103.37679550326716,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2344948284405697,-0.04454387215494722,0.0,0.0,0.0,-82.40311376000177,-11.968158162837456,-29.710449423772435,0.0,-1.4042295373607996,-1.9507258830345668,0.0,-1.0249064692831944,-14.59866835675067,0.0,0.0,-1.4800843350048165,-1.2486809501867244,-26.71064522019852,0.0,0.0,0.0,0.0,0.0,-6.404083112509205,-2.427698927232278,0.0,-1.0598441878306712,-11.538276971516874,-25.259722470671264,-103.37679550326716,-0.09653300093461364,-0.5840455053793444,0.0,0.0,0.0,0.0,0.0,-8.741662139070927,0.0,-0.21757195914553,-0.036450924832518945,0.0,-70.75634200137837,-92.09082642974893,0.0,0.0,-17.20701890261695,0.0,0.0,0.0,0.0,-0.13539829112311388,-4.84020996288884,-4.3681401003615035,-7.507657736239843,-1.369910894123646,-1.6173723324382974,-3.403704815058939,-48.374740819089084,0.0,-27.460680705789382,-0.6702070788927085,-1.8558294330635625,-5.120723638601899,-3.980488303539566,0.0,-1.1631118549888584,0.0,0.0,0.0]",True,0
30.0,29.832687530041596,ASCENDING_100_TO_125,0.02,100.0000019940048,99.98624734521785,0.0002988012,0.5728164901864937,-0.013754648786957091,42.85141581233847,0.023791824847680276,0.0974312159870766,-0.004090992158738063,-6.378655626416507,-6.493346867216755,7.876631167835768e-05,198.28453712277636,922.0133272121625,0.08130430553318503,0.5854083969655941,102.27853115126808,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.23504331383107815,-0.04441667153490468,0.0,0.0,0.0,-81.46663957939043,-11.826032638578301,-29.60237565288311,0.0,-1.3726500075402093,-1.9032819030426642,0.0,-1.0214021577788628,-14.552501902786428,0.0,0.0,-1.4797524822577461,-1.2481859172118714,-26.551656044859964,0.0,0.0,0.0,0.0,0.0,-6.381788943470686,-2.4579472718386914,0.0,-1.0582698020994155,-11.390006851413567,-24.749382527613207,-102.27853115126808,-0.09806249419025866,-0.5897553068669935,0.0,0.0,0.0,0.0,0.0,-8.718581061821022,0.0,-0.22146258761131302,-0.03561550613185644,0.0,-70.36007506950135,-91.66267531094448,0.0,0.0,-17.191716843862793,0.0,0.0,0.0,0.0,-0.13489797864395292,-4.834798850096543,-4.362810610499736,-7.556866455736499,-1.368468787706019,-1.6133937239674765,-3.396444108526545,-48.4412456866318,0.0,-27.44822901084657,-0.6501367203035676,-1.8414869350455185,-4.983292619177079,-3.9795301516749584,0.0,-1.14865980696562,0.0,0.0,0.0]",True,0
30.0,29.637069475862038,ASCENDING_100_TO_125,0.04,100.0000159041536,100.00840968565456,0.0011904192,1.1578222505125315,0.008393781500956266,51.614891789275,-3.729113419152055,0.06869193989251222,-0.010335911206761098,-6.316143277812333,-6.4006332824952725,0.00016960226617151672,195.5548658702093,808.618144070922,0.081304305837756,0.585386667685238,101.15285739124744,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2357331419569866,-0.04420728633739549,0.0,0.0,0.0,-80.2877163997932,-11.647012279118918,-29.465039959105905,0.0,-1.3327081136652374,-1.844997710759894,0.0,-1.0163677316956803,-14.493608030958042,0.0,0.0,-1.479857127704052,-1.2479534843732067,-26.357661858159606,0.0,0.0,0.0,0.0,0.0,-6.353486467968282,-2.498142517285925,0.0,-1.0557546134818143,-11.238712514554733,-24.2350334423938,-101.15285739124744,-0.09812737310670291,-0.5899985880660777,0.0,0.0,0.0,0.0,0.0,-8.700702665538236,0.0,-0.22139624851021183,-0.03560702687624586,0.0,-70.21535246406359,-91.50087870122687,0.0,0.0,-17.19101715964889,0.0,0.0,0.0,0.0,-0.1348789945734659,-4.834533697994536,-4.357859405692325,-7.559093959150028,-1.3687795358525816,-1.6137584751013292,-3.3960139405308927,-48.44408444357204,0.0,-27.427809897282366,-0.641051874464142,-1.8353913830879796,-4.985351902062355,-3.9745590427042607,0.0,-1.1485440308412547,0.0,0.0,0.0]",True,0
30.0,29.534773080992366,ASCENDING_100_TO_125,0.06,100.0000535151664,100.02378516664533,0.0026676971999999998,0.4020447250373476,0.02373165147892564,48.949034855196054,-3.1750613335099738,0.02873922932680285,-0.003820510310645174,-6.282649489299785,-6.347282872352313,0.00022427600901762587,193.9992856478258,810.5246323375255,0.08130427874183395,0.5853731833059759,100.50520220185359,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.23581989358580688,-0.04417421898772688,0.0,0.0,0.0,-79.6575709189233,-11.551337517757235,-29.391382283401,0.0,-1.3116068404331245,-1.8140255566631285,0.0,-1.0137888208135821,-14.462291922654169,0.0,0.0,-1.4799442507171978,-1.2479792939882013,-26.25342895558407,0.0,0.0,0.0,0.0,0.0,-6.349865914512513,-2.520078021295584,0.0,-1.055360733282657,-11.151811628479093,-23.941057940146713,-100.50520220185359,-0.09811064338893034,-0.5899276256194288,0.0,0.0,0.0,0.0,0.0,-8.69026964074199,0.0,-0.22139036632597917,-0.035609657080647915,0.0,-70.12864827049286,-91.40145714257199,0.0,0.0,-17.19128296489581,0.0,0.0,0.0,0.0,-0.13487850083639089,-4.834560783323689,-4.354945010748923,-7.558315284549367,-1.3687659634708116,-1.6137479556847847,-3.3960599138735845,-48.443076708064396,0.0,-27.41514237899619,-0.6361917899163038,-1.8321758475564367,-4.9855628375406065,-3.9713409074309727,0.0,-1.1485845101666274,0.0,0.0,0.0]",True,0
30.0,29.50284433051894,ASCENDING_100_TO_125,0.08,100.0001264689152,100.02594922976671,0.004723507199999999,-0.08665616101888303,0.02582276085151136,45.00336700209218,-2.0580334496749155,0.005556691921635816,0.0006354120269904954,-6.271841367089753,-6.319734618170571,0.0002515709957328256,193.18390757475785,804.8636877718643,0.08130432262641767,0.5853661200158427,100.16959962002845,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.23571175394927807,-0.04420884630784425,0.0,0.0,0.0,-79.45423524077168,-11.520478182861721,-29.36760802368528,0.0,-1.3048203897361508,-1.8040428852337234,0.0,-1.0129606188608191,-14.452155799849054,0.0,0.0,-1.4799075141531264,-1.248000567533395,-26.219602610541795,0.0,0.0,0.0,0.0,0.0,-6.3543125411359265,-2.526978344365001,0.0,-1.055775917855134,-11.106729271716809,-23.78817240095847,-100.16959962002845,-0.09807676454147855,-0.5898029228742395,0.0,0.0,0.0,0.0,0.0,-8.684983404731016,0.0,-0.22138244977891522,-0.03561071858434367,0.0,-70.08427423473852,-91.3498739126127,0.0,0.0,-17.19159534028909,0.0,0.0,0.0,0.0,-0.13489083204723934,-4.834677948250413,-4.353445556220648,-7.557291928333953,-1.3687772268996072,-1.6137646328842445,-3.3962013948792933,-48.4416574847736,0.0,-27.408508138801626,-0.6338617085520807,-1.830645132516905,-4.985829660663901,-3.9696450037464825,0.0,-1.1486029386592038,0.0,0.0,0.0]",True,0
30.0,29.502128133989327,ASCENDING_100_TO_125,0.1,100.000246265,100.0227012175475,0.0073507500000000005,-0.1840917896866056,0.022454952547505513,42.90502325909432,-1.4712770446334107,-0.0018741908722440513,0.0016170268427082347,-6.2713815725025714,-6.3060185198651855,0.0002639134354869774,192.77056209844508,800.4780960409344,0.08130434839998504,0.5853627065454389,100.00154672436574,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.23561677078869453,-0.044240560110987585,0.0,0.0,0.0,-79.44517499891698,-11.519108611286855,-29.36656871841322,0.0,-1.3045230059225452,-1.8035793000439533,0.0,-1.0129311396175367,-14.45170073460863,0.0,0.0,-1.4798616452991729,-1.2480091213873663,-26.21795888460574,0.0,0.0,0.0,0.0,0.0,-6.3582306226998275,-2.5269504000316556,0.0,-1.0561548767845041,-11.084095277050881,-23.710947705874727,-100.00154672436574,-0.09806256651723118,-0.5897522006773007,0.0,0.0,0.0,0.0,0.0,-8.6824204173762,0.0,-0.22138009666789862,-0.03561072948688782,0.0,-70.06193503442128,-91.32368343979086,0.0,0.0,-17.19170844251156,0.0,0.0,0.0,0.0,-0.13489706620203862,-4.834732677352287,-4.352721686200631,-7.556906499210104,-1.3687845300930928,-1.6137736882430493,-3.396266368435638,-48.44111331561919,0.0,-27.405302302743753,-0.6327298263782831,-1.829897729339435,-4.985904916705532,-3.968846791273756,0.0,-1.1486033793493555,0.0,0.0,0.0]",True,0
30.0,29.506970223939877,ASCENDING_100_TO_125,0.12,100.0004242613248,100.01969495204665,0.0105423552,-0.11045425440018788,0.01927069072185361,42.497835581519595,-1.3627555002601959,-0.0018154963662721775,0.0010032288052550518,-6.272920037574518,-6.299533127930623,0.00026913233358151836,192.57251308091236,799.4136885371124,0.08130434113816087,0.5853611616815052,99.92163211998094,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.23558014813687872,-0.044252837511596456,0.0,0.0,0.0,-79.47372807292852,-11.523443408130573,-29.369917028712926,0.0,-1.305483176840466,-1.804968069169883,0.0,-1.0130571720759676,-14.453136737057047,0.0,0.0,-1.4798436747262225,-1.2480121958968746,-26.22262490698724,0.0,0.0,0.0,0.0,0.0,-6.3597408403306135,-2.5256691685030184,0.0,-1.0563012184155054,-11.073306965506855,-23.673956190264967,-99.92163211998094,-0.09806956675187996,-0.5897782659399764,0.0,0.0,0.0,0.0,0.0,-8.681160349441699,0.0,-0.22138130465109418,-0.035610578618909504,0.0,-70.05075528711,-91.31081609854552,0.0,0.0,-17.191640148130062,0.0,0.0,0.0,0.0,-0.13489473260990667,-4.8347091992240285,-4.352377589851207,-7.55712721429311,-1.3687826066890207,-1.6137709367589477,-3.3962371504265167,-48.44141621123017,0.0,-27.403851471319214,-0.6321016781408886,-1.8294723186662707,-4.9858647122101445,-3.968507078375902,0.0,-1.1486008634594331,0.0,0.0,0.0]",True,0
30.0,29.509466095394334,ASCENDING_100_TO_125,0.14,100.0006716746736,100.01833424678618,0.014291281200000002,-0.03532586421348274,0.017662572112584485,42.63085894948152,-1.407105552247272,-0.0006063680816243486,0.00033304304315972307,-6.273753424473175,-6.2967296954016065,0.0002712390073979533,192.48661345777515,799.6080612358226,0.08130433342686676,0.5853604729387433,99.88697026614629,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.23557750677886755,-0.044253740951407355,0.0,0.0,0.0,-79.48920660704565,-11.525792162691165,-29.371728008210514,0.0,-1.3060035668445535,-1.8057243396349647,0.0,-1.0131248563983632,-14.453917456612347,0.0,0.0,-1.4798423355332633,-1.2480123755020047,-26.22517748848994,0.0,0.0,0.0,0.0,0.0,-6.359848892645722,-2.52497313339516,0.0,-1.0563117407224674,-11.068624087589027,-23.657882615246752,-99.88697026614629,-0.09807402216643757,-0.5897942692124937,0.0,0.0,0.0,0.0,0.0,-8.680589515214985,0.0,-0.22138181826582226,-0.03561062641946534,0.0,-70.04580908959807,-91.30518296926442,0.0,0.0,-17.19160368625849,0.0,0.0,0.0,0.0,-0.13489283517285053,-4.834692374388172,-4.35222282914213,-7.557250517556617,-1.3687803341062281,-1.6137682596255467,-3.3962171843799966,-48.441589830313724,0.0,-27.403204663209316,-0.6318106609350043,-1.829274806975601,-4.985849116417445,-3.968354208622325,0.0,-1.148601647201174,0.0,0.0,0.0]",True,0
30.0,29.509986503794657,ASCENDING_100_TO_125,0.16,100.0009995812864,100.01808101755513,0.018590515199999998,0.002763310666090059,0.01708143626873948,42.750010895053585,-1.445774296233852,-4.001655914375842e-05,-1.3495920894253857e-05,-6.273939334484196,-6.295649260797852,0.00027206782803515864,192.4539012922192,799.8291161486089,0.08130433215391558,0.5853601675300948,99.8736228451127,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.23558188890267004,-0.04425229514977309,0.0,0.0,0.0,-79.49263678102238,-11.526312463772367,-29.372128479059132,0.0,-1.3061185488033025,-1.8058928379763457,0.0,-1.0131393783494216,-14.45409024676899,0.0,0.0,-1.4798443196478508,-1.2480118780103455,-26.225749475820855,0.0,0.0,0.0,0.0,0.0,-6.359667782092278,-2.524790266561356,0.0,-1.0562943581668114,-11.066824058857634,-23.651729955924345,-99.8736228451127,-0.09807442550856,-0.5897956170898816,0.0,0.0,0.0,0.0,0.0,-8.680346715809176,0.0,-0.22138177285400137,-0.035610661885745264,0.0,-70.04378156531656,-91.30286839715183,0.0,0.0,-17.1916016248169,0.0,0.0,0.0,0.0,-0.1348925914124457,-4.834690566644332,-4.352155568758446,-7.557258627822711,-1.3687800046544152,-1.613767948118921,-3.3962152618731856,-48.441602268980795,0.0,-27.40291785205272,-0.6316934379058612,-1.8291962427203958,-4.985851114167671,-3.9682828350823676,0.0,-1.1486022621772232,0.0,0.0,0.0]",True,0
30.0,29.509884308303825,ASCENDING_100_TO_125,0.18,100.0014189174352,100.01832529215865,0.023433073199999998,0.01869564473698218,0.01690637472344747,42.79142270999102,-1.459923981919889,7.160000467997568e-05,-0.00015847869793964196,-6.273911927914019,-6.295299438737635,0.00027239152802155733,192.44387395313615,799.905303349804,0.08130433280959902,0.5853600337027878,99.86935076053898,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2355844508515474,-0.04425145338808648,0.0,0.0,0.0,-79.49210825914882,-11.526232211373449,-29.372066319142988,0.0,-1.3061004310071298,-1.8058674901157061,0.0,-1.013136645053764,-14.454063012040617,0.0,0.0,-1.479845416093921,-1.2480115416216724,-26.225665732499994,0.0,0.0,0.0,0.0,0.0,-6.359562114572377,-2.5247903258589384,0.0,-1.0562842761119349,-11.06625282922113,-23.64980990837609,-99.86935076053898,-0.09807409860320278,-0.5897944623413345,0.0,0.0,0.0,0.0,0.0,-8.680242963100559,0.0,-0.22138170252307307,-0.03561065954600114,0.0,-70.0429314504507,-91.30189458102087,0.0,0.0,-17.19160407769886,0.0,0.0,0.0,0.0,-0.13489274399761206,-4.834691874983246,-4.352126272193937,-7.5572501221389485,-1.368780248628644,-1.613768246190888,-3.3962168074519883,-48.44159017104642,0.0,-27.402792174471355,-0.6316451258903352,-1.8291641187959276,-4.985853381554151,-3.968250784992603,0.0,-1.148602247862327,0.0,0.0,0.0]",True,0
