actuator_id,actuator,preselected_key_muscle,biarticular_hip_knee,hip_deg,knee_deg,native_limit_crossed,hip_moment_arm_m,knee_moment_arm_m,hip_crossing_derivative_jump_ratio,knee_crossing_derivative_jump_ratio,hip_sign_flip_count,knee_sign_flip_count,finite
4,addmagMid_r,False,False,60.0,116.5,False,-0.03509455437228359,-0.0,0.0,0.0,0,0,True
4,addmagMid_r,False,False,60.0,116.75,False,-0.03509455437228359,-0.0,0.0,0.0,0,0,True
4,addmagMid_r,False,False,60.0,117.0,False,-0.03509455437228359,-0.0,0.0,0.0,0,0,True
4,addmagMid_r,False,False,60.0,117.25,False,-0.03509455437228359,-0.0,0.0,0.0,0,0,True
4,addmagMid_r,False,False,60.0,117.5,False,-0.03509455437228359,-0.0,0.0,0.0,0,0,True
4,addmagMid_r,False,False,60.0,117.75,False,-0.03509455437228359,-0.0,0.0,0.0,0,0,True
4,addmagMid_r,False,False,60.0,118.0,False,-0.03509455437228359,-0.0,0.0,0.0,0,0,True
4,addmagMid_r,False,False,60.0,118.25,False,-0.03509455437228359,-0.0,0.0,0.0,0,0,True
4,addmagMid_r,False,False,60.0,118.5,False,-0.03509455437228359,-0.0,0.0,0.0,0,0,True
4,addmagMid_r,False,False,60.0,118.75,False,-0.03509455437228359,-0.0,0.0,0.0,0,0,True
4,addmagMid_r,False,False,60.0,119.0,False,-0.03509455437228359,-0.0,0.0,0.0,0,0,True
4,addmagMid_r,False,False,60.0,119.25,False,-0.03509455437228359,-0.0,0.0,0.0,0,0,True
4,addmagMid_r,False,False,60.0,119.5,False,-0.03509455437228359,-0.0,0.0,0.0,0,0,True
4,addmagMid_r,False,False,60.0,119.75,False,-0.03509455437228359,-0.0,0.0,0.0,0,0,True
4,addmagMid_r,False,False,60.0,120.0,False,-0.03509455437228359,-0.0,0.0,0.0,0,0,True
4,addmagMid_r,False,False,60.0,120.25,True,-0.03509455437228359,-0.0,0.0,0.0,0,0,True
4,addmagMid_r,False,False,60.0,120.5,True,-0.03509455437228359,-0.0,0.0,0.0,0,0,True
4,addmagMid_r,False,False,60.0,120.75,True,-0.03509455437228359,-0.0,0.0,0.0,0,0,True
4,addmagMid_r,False,False,60.0,121.0,True,-0.03509455437228359,-0.0,0.0,0.0,0,0,True
4,addmagMid_r,False,False,60.0,121.25,True,-0.03509455437228359,-0.0,0.0,0.0,0,0,True
4,addmagMid_r,False,False,60.0,121.5,True,-0.03509455437228359,-0.0,0.0,0.0,0,0,True
4,addmagMid_r,False,False,60.0,121.75,True,-0.03509455437228359,-0.0,0.0,0.0,0,0,True
4,addmagMid_r,False,False,60.0,122.0,True,-0.03509455437228359,-0.0,0.0,0.0,0,0,True
