model,step,beta_radius,endpoint,count,reference,minimum,improvement_pct,landscape_range_pct,beta_flex,beta_extend,share_shift,flexion_share,beta_boundary,share_boundary,near_minimum_0p1pct,best_hip_speed_ratio,best_knee_speed_ratio,best_hip_accel_ratio,best_knee_accel_ratio
LEG_0_NOMINAL,step1,0.03,E0,25,32.213792487735084,32.18108482537364,0.10153310068629424,0.19883177070231714,-0.03,0.03,0.0,0.5666666666666667,True,False,12,1.0,1.0287391451148653,1.0,1.1849068453414608
LEG_0_NOMINAL,step1,0.03,E2,25,1.0,1.0,0.0,1.5977305733536173,0.0,0.0,0.0,0.5666666666666667,False,False,9,1.0,1.0,1.0,1.0
LEG_0_NOMINAL,step1,0.06,E0,81,32.213792487735084,32.14647926214381,0.2089577798606175,0.39999188738952945,-0.06,0.06,0.0,0.5666666666666667,True,False,12,1.0,1.0898210204986554,1.0,1.320448959744308
LEG_0_NOMINAL,step1,0.06,E2,81,1.0,1.0,0.0,3.305210022327487,0.0,0.0,0.0,0.5666666666666667,False,False,15,1.0,1.0,1.0,1.0
LEG_0_NOMINAL,step1,0.09,E0,169,32.213792487735084,32.109758608695834,0.32294824981833165,0.6050947284246557,-0.09,0.09,0.0,0.5666666666666667,True,False,10,1.0,1.1746568056237208,1.0,1.5946824259437997
LEG_0_NOMINAL,step1,0.09,E2,169,1.0,1.0,0.0,5.1031901287671655,0.0,0.0,0.0,0.5666666666666667,False,False,21,1.0,1.0,1.0,1.0
LEG_0_NOMINAL,step1,0.12,E0,289,32.213792487735084,32.070668427474644,0.4442943509831473,0.8161238736707739,-0.12,0.12,0.0,0.5666666666666667,True,False,10,1.0,1.264620434613714,1.0,1.795756998282945
LEG_0_NOMINAL,step1,0.12,E2,289,1.0,1.0,0.0,6.967379031280729,0.0,0.0,0.0,0.5666666666666667,False,False,27,1.0,1.0,1.0,1.0
LEG_0_NOMINAL,step2,0.12,E0,405,32.213792487735084,31.922166559072743,0.9052828187596157,1.7388516943180181,-0.12,0.12,0.1,0.6666666666666666,True,True,4,1.2999999999999998,1.6440065649978282,1.69,3.0348293270981777
LEG_0_NOMINAL,step2,0.12,E2,405,1.0,0.9987919137653803,0.12080862346196541,7.309426309590783,0.0,0.0,0.1,0.6666666666666666,False,True,29,1.2999999999999998,1.2999999999999998,1.69,1.6900000000000002
LEG_1_HEAVY_HIP_STIFF,step1,0.03,E0,25,98.52206905582268,98.50488900531508,0.01743776868700426,0.03634076224814255,-0.03,0.03,0.0,0.5666666666666667,True,False,25,1.0,1.028739145114866,1.0,1.1849068453420997
LEG_1_HEAVY_HIP_STIFF,step1,0.03,E2,25,1.0,1.0,0.0,1.4588821530485907,0.0,0.0,0.0,0.5666666666666667,False,False,9,1.0,1.0,1.0,1.0
LEG_1_HEAVY_HIP_STIFF,step1,0.06,E0,81,98.52206905582268,98.48878858259204,0.03377971407785838,0.07323010843948138,-0.06,0.06,0.0,0.5666666666666667,True,False,81,1.0,1.08982102049866,1.0,1.320448959744128
LEG_1_HEAVY_HIP_STIFF,step1,0.06,E2,81,1.0,1.0,0.0,3.076667668335431,0.0,0.0,0.0,0.5666666666666667,False,False,25,1.0,1.0,1.0,1.0
LEG_1_HEAVY_HIP_STIFF,step1,0.09,E0,169,98.52206905582268,98.47362057550797,0.04917525664962164,0.11107010018986868,-0.09,0.09,0.0,0.5666666666666667,True,False,165,1.0,1.1746568056237148,1.0,1.5946824259443013
LEG_1_HEAVY_HIP_STIFF,step1,0.09,E2,169,1.0,1.0,0.0,4.846596775135659,0.0,0.0,0.0,0.5666666666666667,False,False,49,1.0,1.0,1.0,1.0
LEG_1_HEAVY_HIP_STIFF,step1,0.12,E0,289,98.52206905582268,98.4592497130142,0.06376169665386122,0.15022649024355744,-0.12,0.12,0.0,0.5666666666666667,True,False,240,1.0,1.264620434613707,1.0,1.7957569982829287
LEG_1_HEAVY_HIP_STIFF,step1,0.12,E2,289,1.0,1.0,0.0,6.752872830266288,0.0,0.0,0.0,0.5666666666666667,False,False,81,1.0,1.0,1.0,1.0
LEG_1_HEAVY_HIP_STIFF,step2,0.12,E0,405,98.52206905582268,97.61782642133078,0.9178071909752152,1.8466897767563828,-0.12,0.12,-0.1,0.4666666666666667,True,True,65,0.8125000000000001,1.0275041031236372,1.043352189341075,1.8436151804472072
LEG_1_HEAVY_HIP_STIFF,step2,0.12,E2,405,1.0,0.9995826798097652,0.04173201902347712,6.860570596034854,0.0,0.03,0.1,0.6666666666666666,False,True,68,1.2999999999999998,1.3373608886493258,1.6899999999999997,2.0024925686281483
LEG_2_KNEE_DOMINANT,step1,0.03,E0,25,175.78628336733587,173.91565431425246,1.0641496123872203,2.166045340745775,-0.03,0.03,0.0,0.5666666666666667,True,False,1,1.0,1.0287391451148575,1.0,1.1849068453407092
LEG_2_KNEE_DOMINANT,step1,0.03,E2,25,1.0,1.0,0.0,1.4207797969417513,0.0,0.0,0.0,0.5666666666666667,False,False,1,1.0,1.0,1.0,1.0
LEG_2_KNEE_DOMINANT,step1,0.06,E0,81,175.78628336733587,172.11009946668014,2.0912802923159295,4.334978478091206,-0.06,0.06,0.0,0.5666666666666667,True,False,1,1.0,1.0898210204986682,1.0,1.320448959745552
LEG_2_KNEE_DOMINANT,step1,0.06,E2,81,1.0,1.0,0.0,2.9750279195937424,0.0,0.0,0.0,0.5666666666666667,False,False,1,1.0,1.0,1.0,1.0
LEG_2_KNEE_DOMINANT,step1,0.09,E0,169,175.78628336733587,170.37143458716486,3.080359102226281,6.50820180407553,-0.09,0.09,0.0,0.5666666666666667,True,False,1,1.0,1.1746568056236872,1.0,1.594682425943515
LEG_2_KNEE_DOMINANT,step1,0.09,E2,169,1.0,1.0,0.0,4.655572711384459,0.0,0.0,0.0,0.5666666666666667,False,False,1,1.0,1.0,1.0,1.0
LEG_2_KNEE_DOMINANT,step1,0.12,E0,289,175.78628336733587,168.7046143999068,4.02856743528202,8.684584779394598,-0.12,0.12,0.0,0.5666666666666667,True,False,1,1.0,1.2646204346136796,1.0,1.7957569982834753
LEG_2_KNEE_DOMINANT,step1,0.12,E2,289,1.0,1.0,0.0,6.447670679243589,0.0,0.0,0.0,0.5666666666666667,False,False,1,1.0,1.0,1.0,1.0
