model,beta_flex,beta_extend,share_shift,step1,step2,valid,invalid_reason,flexion_share,flexion_duration_s,extension_duration_s,min_warp_derivative,ROM_excess_rad,hip_speed_peak_deg_s,knee_speed_peak_deg_s,hip_accel_peak_deg_s2,knee_accel_peak_deg_s2,knee_angle_change_peak_deg,E0,E2,hip_torque_peak_Nm,knee_torque_peak_Nm,decomposition_residual_Nm,warning_count,hip_flex_RMS_Nm,hip_extend_RMS_Nm,knee_flex_RMS_Nm,knee_extend_RMS_Nm,hip_flex_relative,hip_extend_relative,knee_flex_relative,knee_extend_relative
LEG_0_NOMINAL,0.0,0.0,0.0,True,True,True,,0.5666666666666667,13.6,10.4,1.0,0.0,22.187512350414032,28.25962767612265,14.101230445371915,17.44677742917496,0.0,32.213792487735084,1.0,36.717424834474585,16.719942306081464,,,29.520899958101996,30.844953765017976,11.851490837373873,11.025978195135389,1.0,1.0,1.0,1.0
LEG_0_NOMINAL,-0.12,-0.12,-0.1,False,True,True,,0.4666666666666667,11.2,12.8,0.5878479508633715,0.0,18.0273537847114,28.47804504448496,14.712549657581809,32.16514371824968,17.904634618550684,32.36278863516764,1.0718861768612882,36.83034911315944,16.719981666292753,,,29.59132176569191,30.749955603598025,11.411605264160018,11.818593613739598,1.0023854898627704,0.9969201392829549,0.9628835241700843,1.0718861768612882
LEG_0_NOMINAL,-0.12,-0.12,-0.05,False,True,True,,0.5166666666666666,12.399999999999999,11.600000000000001,0.5878479508633715,0.0,19.892252452095338,31.42404970425926,12.002746026580793,26.240866467333774,17.904634618550684,32.2751286043478,1.0708907246104942,36.76689082082167,16.720017980455562,,,29.562823328747562,30.728771225115068,11.398414474679408,11.807617778928046,1.0014201250878214,0.996233337200373,0.9617705174048077,1.0708907246104942
LEG_0_NOMINAL,-0.12,-0.12,0.0,True,True,True,,0.5666666666666667,13.6,10.4,0.5878479508633715,0.0,22.187512350414032,35.049901593212255,14.101230445371915,28.449292446821584,17.904634618550684,32.187483062008205,1.0696737903128073,36.72099442375398,16.720317208418287,,,29.539523023819715,30.70297252579247,11.387624473379253,11.794199887896838,1.0006308434276783,0.9953969378489869,0.9608600833127415,1.0696737903128073
LEG_0_NOMINAL,-0.12,-0.12,0.05,False,True,True,,0.6166666666666667,14.8,9.2,0.5878479508633715,0.0,25.081535700468038,39.62162788797908,18.019719812989447,36.35486142542797,17.904634618550684,32.099880376512836,1.0681525468036988,36.684936145941656,16.720880338341264,,,29.520117461513284,30.670884918366877,11.37863475402594,11.777426690135915,0.9999734934710722,0.9943566507514588,0.9601015526370089,1.0681525468036988
LEG_0_NOMINAL,-0.12,-0.12,0.1,False,True,True,,0.6666666666666666,16.0,8.0,0.5878479508633715,0.0,28.84376605553824,45.56487207117593,23.831079452678534,48.079304235128475,17.904634618550684,32.01239590337215,1.0661973033242813,36.65535397402115,16.72177293174997,,,29.503705472603283,30.62992954565899,11.371029613016136,11.755868218165677,0.9994175487358747,0.9930288688063182,0.9594598493176407,1.0661973033242813
LEG_0_NOMINAL,-0.12,-0.105,0.0,True,False,True,,0.5666666666666667,13.6,10.4,0.5878479508633715,0.0,22.187512350414032,33.749839387343116,14.101230445371915,25.690982608547692,15.821174767543269,32.17994708269987,1.0602885162710811,36.72099442375398,16.720356232157286,,,29.539523023819715,30.72422111264301,11.387624473379253,11.690718060957394,1.0006308434276783,0.9960858215805825,0.9608600833127415,1.0602885162710811
LEG_0_NOMINAL,-0.12,-0.09,-0.1,False,True,True,,0.4666666666666667,11.2,12.8,0.5878479508633715,0.0,18.0273537847114,26.41787435590487,14.712549657581809,32.16514371824968,13.69163711233995,32.344397369060694,1.0532564849932589,36.83034911315944,16.719762175880543,,,29.59132176569191,30.791725403834626,11.411605264160018,11.613183037420617,1.0023854898627704,0.9982743251428142,0.9628835241700843,1.0532564849932589
LEG_0_NOMINAL,-0.12,-0.09,-0.05,False,True,True,,0.5166666666666666,12.399999999999999,11.600000000000001,0.5878479508633715,0.0,19.892252452095338,29.150757909963993,12.002746026580793,26.240866467333774,13.69163711233995,32.258432232455,1.0522555010572325,36.76689082082167,16.72000182714978,,,29.562823328747562,30.77055342756103,11.398414474679408,11.602146210368309,1.0014201250878214,0.997587925142513,0.9617705174048077,1.0522555010572325
LEG_0_NOMINAL,-0.12,-0.09,0.0,True,True,True,,0.5666666666666667,13.6,10.4,0.5878479508633715,0.0,22.187512350414032,32.514306899575224,14.101230445371915,22.176754476299497,13.69163711233995,32.17249319801129,1.0510319012876717,36.72099442375398,16.72039733050805,,,29.539523023819715,30.744775567555138,11.387624473379253,11.58865482598956,1.0006308434276783,0.9967522014062329,0.9608600833127415,1.0510319012876717
LEG_0_NOMINAL,-0.12,-0.09,0.05,False,True,True,,0.6166666666666667,14.8,9.2,0.5878479508633715,0.0,25.081535700468038,36.755303451693734,18.019719812989447,28.339293054779706,13.69163711233995,32.08660954286327,1.0495024460672997,36.684936145941656,16.720996222857465,,,29.520117461513284,30.712722728155697,11.37863475402594,11.571791086079301,0.9999734934710722,0.9957130414955511,0.9601015526370089,1.0495024460672997
LEG_0_NOMINAL,-0.12,-0.09,0.1,False,True,True,,0.6666666666666666,16.0,8.0,0.5878479508633715,0.0,28.84376605553824,42.26859896944779,23.831079452678534,37.47871506494615,13.69163711233995,32.00085788821919,1.047536772510757,36.65535397402115,16.721941890093582,,,29.503705472603283,30.671826038555405,11.371029613016136,11.550117612306106,0.9994175487358747,0.9943871620693133,0.9594598493176407,1.047536772510757
LEG_0_NOMINAL,-0.12,-0.075,0.0,True,False,True,,0.5666666666666667,13.6,10.4,0.5878479508633715,0.0,22.187512350414032,31.333174288082823,14.101230445371915,21.814422729331962,12.431064829097311,32.16509650105542,1.0419416816732863,36.72099442375398,16.720440529733004,,,29.539523023819715,30.76443549192834,11.387624473379253,11.488426262732354,1.0006308434276783,0.9973895803604362,0.9608600833127415,1.0419416816732863
LEG_0_NOMINAL,-0.12,-0.06,-0.1,False,True,True,,0.4666666666666667,11.2,12.8,0.5878479508633715,0.0,18.0273537847114,24.591363963410423,14.712549657581809,32.16514371824968,12.431064829097311,32.3262492230759,1.0352910076907564,36.83034911315944,16.71977482598664,,,29.59132176569191,30.82986050505616,11.411605264160018,11.415096076418024,1.0023854898627704,0.9995106732830012,0.9628835241700843,1.0352910076907564
