subject_id,direction,reference_candidate_id,neighbor_candidate_id,signed_beta_step,reference_j,neighbor_j,delta_j_neighbor_minus_reference,finite_difference_dj_dbeta,delta_sign,neighbor_is_descent
MYOLEG_VP_010,beta_flex_negative,MYOLEG_V3_K0312,MYOLEG_V3_K0287,-0.0025,1.0000000000000002,1.0002014245152409,0.00020142451524063354,-0.08056980609625342,1,False
MYOLEG_VP_010,beta_flex_positive,MYOLEG_V3_K0312,MYOLEG_V3_K0337,0.0025,1.0000000000000002,0.9998195188448159,-0.00018048115518431995,-0.07219246207372798,-1,True
MYOLEG_VP_010,beta_extend_negative,MYOLEG_V3_K0312,MYOLEG_V3_K0311,-0.0025,1.0000000000000002,0.9997616982652535,-0.00023830173474670424,0.0953206938986817,-1,True
MYOLEG_VP_010,beta_extend_positive,MYOLEG_V3_K0312,MYOLEG_V3_K0313,0.0025,1.0000000000000002,1.0002579479535716,0.0002579479535713691,0.10317918142854765,1,False
MYOLEG_VP_011,beta_flex_negative,MYOLEG_V3_K0312,MYOLEG_V3_K0287,-0.0025,0.9999999999999998,1.000203627030919,0.00020362703091914014,-0.08145081236765606,1,False
MYOLEG_VP_011,beta_flex_positive,MYOLEG_V3_K0312,MYOLEG_V3_K0337,0.0025,0.9999999999999998,0.9998175381791703,-0.0001824618208294826,-0.07298472833179304,-1,True
MYOLEG_VP_011,beta_extend_negative,MYOLEG_V3_K0312,MYOLEG_V3_K0311,-0.0025,0.9999999999999998,0.9997586490772423,-0.00024135092275745507,0.09654036910298203,-1,True
MYOLEG_VP_011,beta_extend_positive,MYOLEG_V3_K0312,MYOLEG_V3_K0313,0.0025,0.9999999999999998,1.0002612182017934,0.00026121820179358934,0.10448728071743574,1,False
MYOLEG_VP_013,beta_flex_negative,MYOLEG_V3_K0312,MYOLEG_V3_K0287,-0.0025,0.9999999999999997,1.000203146493204,0.00020314649320429812,-0.08125859728171925,1,False
MYOLEG_VP_013,beta_flex_positive,MYOLEG_V3_K0312,MYOLEG_V3_K0337,0.0025,0.9999999999999997,0.9998178171319086,-0.0001821828680910187,-0.07287314723640748,-1,True
MYOLEG_VP_013,beta_extend_negative,MYOLEG_V3_K0312,MYOLEG_V3_K0311,-0.0025,0.9999999999999997,0.9997598250723467,-0.00024017492765293635,0.09606997106117454,-1,True
MYOLEG_VP_013,beta_extend_positive,MYOLEG_V3_K0312,MYOLEG_V3_K0313,0.0025,0.9999999999999997,1.0002598360013613,0.0002598360013615908,0.10393440054463632,1,False
MYOLEG_VP_014,beta_flex_negative,MYOLEG_V3_K0312,MYOLEG_V3_K0287,-0.0025,1.0000000000000002,1.0002075096344565,0.00020750963445625992,-0.08300385378250397,1,False
