subject_id,anchor_subject_id,affine_slope,affine_intercept,affine_r2,affine_nrmse,proportional_slope,proportional_r2,proportional_nrmse
MYOLEG_VP_001,MYOLEG_VP_031,1.058168070351351,-0.05815443561948922,0.9997874652575629,3.634496813974175e-05,1.0000154059636714,0.9967679305394066,0.00014173257216841903
MYOLEG_VP_002,MYOLEG_VP_031,0.9538756800272944,0.04611975766534371,0.9999527808934734,1.5441819093473e-05,0.9999940330056022,0.9976153115251762,0.00010973758641674842
MYOLEG_VP_003,MYOLEG_VP_031,1.0117381060685071,-0.011733480392161176,0.9999795862654866,1.0768784922430357e-05,1.00000498304743,0.9998450979425695,2.9664297302541268e-05
MYOLEG_VP_005,MYOLEG_VP_031,0.9709381673460517,0.029056630774264274,0.9999628732899456,1.39373597336431e-05,0.9999939131314384,0.9990673699842474,6.985411113476846e-05
MYOLEG_VP_006,MYOLEG_VP_031,0.9975073939092757,0.0024939926449826376,0.9999988630037103,2.505707577914572e-06,1.000001310593774,0.9999926122332553,6.387154921066899e-06
MYOLEG_VP_007,MYOLEG_VP_031,0.9690529703432694,0.030942951441035416,0.9999804938966165,1.0082638281452422e-05,0.9999949793430399,0.9989609734952449,7.35871933853409e-05
MYOLEG_VP_009,MYOLEG_VP_031,1.0123142925473012,-0.01230808302075042,0.9999499659224075,1.6869080861299218e-05,1.0000065843985264,0.9998021557506458,3.354441225430575e-05
MYOLEG_VP_010,MYOLEG_VP_031,0.9622701870745207,0.03772615393449075,0.9999738563831125,1.1591045424645361e-05,0.9999951919691634,0.9984369210172077,8.962521990431295e-05
MYOLEG_VP_011,MYOLEG_VP_031,0.9736671270470679,0.026327231146151608,0.9999637442529918,1.3811619707811922e-05,0.9999935563347068,0.9992326900697407,6.353917804294732e-05
MYOLEG_VP_013,MYOLEG_VP_031,0.9700702299453047,0.02992664372350601,0.9999804320937663,1.0109189888937615e-05,0.9999959621816176,0.9990287823620837,7.122007971516539e-05
MYOLEG_VP_014,MYOLEG_VP_031,0.9875611720062163,0.012438329495335508,0.9999994581942852,1.7124635386089845e-06,0.99999912266261,0.9998408331263224,2.9351201612408962e-05
MYOLEG_VP_015,MYOLEG_VP_031,1.0383561320038912,-0.038351151502009156,0.9999774438387263,1.1617597211331233e-05,1.00000614857752,0.9986133937714619,9.108781679480818e-05
MYOLEG_VP_017,MYOLEG_VP_031,1.0129679821586395,-0.012965520422531124,0.9999919544452865,6.768763183883577e-06,1.0000028566319052,0.9998281367049693,3.12840441828704e-05
MYOLEG_VP_018,MYOLEG_VP_031,1.0211616607888376,-0.021159752621214355,0.9999969166546011,4.2241591182517664e-06,1.0000025526382734,0.9995675712825975,5.0024924764406125e-05
MYOLEG_VP_019,MYOLEG_VP_031,0.9834720508768697,0.016527464414065964,0.9999981392263356,3.160418959671634e-06,0.9999990119076534,0.9997157399603093,3.906211814812935e-05
MYOLEG_VP_021,MYOLEG_VP_031,0.9385294994237567,0.06146299476789728,0.9998925989575038,2.29147166466502e-05,0.9999906221897982,0.9956045386183411,0.00014659274499838665
MYOLEG_VP_022,MYOLEG_VP_031,1.0166163912015918,-0.01661072259311829,0.9999719922083412,1.2674622963946216e-05,1.000006174527582,0.9997050442359987,4.1131453730198375e-05
MYOLEG_VP_023,MYOLEG_VP_031,1.0194173627517946,-0.01941279809564144,0.999972114728052,1.268172696591176e-05,1.0000051559191432,0.9996095078254424,4.7456655061465684e-05
MYOLEG_VP_025,MYOLEG_VP_031,1.0501630310660635,-0.050149848586380226,0.9998113731175038,3.3980384038996096e-05,1.0000147099127348,0.9975314519627367,0.00012292699939533248
MYOLEG_VP_026,MYOLEG_VP_031,1.0718927219815837,-0.07187639138266542,0.9997303540446463,4.1470000039718e-05,1.0000185197655644,0.9952353641599551,0.00017432189455115097
MYOLEG_VP_027,MYOLEG_VP_031,0.944329289570224,0.05566296256081383,0.9998978673875241,2.2483654033222106e-05,0.9999905567829729,0.9964239674000305,0.00013304097167390178
MYOLEG_VP_029,MYOLEG_VP_031,0.994775749205418,0.005222973835965511,0.9999953192745279,5.070122697795474e-06,0.9999985639632788,0.9999677541953846,1.3307561853443563e-05
MYOLEG_VP_030,MYOLEG_VP_031,1.0522928705689916,-0.05228167972357028,0.999861647098709,2.916019677171053e-05,1.000012783208466,0.997393666885987,0.00012656431582220456
MYOLEG_VP_031,MYOLEG_VP_031,0.9999999999999997,0.0,1.0,3.9260125090966384e-16,1.0,1.0,0.0
