subject_id,kendall_MYOLEG_VP_001,kendall_MYOLEG_VP_002,kendall_MYOLEG_VP_003,kendall_MYOLEG_VP_005,kendall_MYOLEG_VP_006,kendall_MYOLEG_VP_007,kendall_MYOLEG_VP_009,kendall_MYOLEG_VP_010,kendall_MYOLEG_VP_011,kendall_MYOLEG_VP_013,kendall_MYOLEG_VP_014,kendall_MYOLEG_VP_015,kendall_MYOLEG_VP_017,kendall_MYOLEG_VP_018,kendall_MYOLEG_VP_019,kendall_MYOLEG_VP_021,kendall_MYOLEG_VP_022,kendall_MYOLEG_VP_023,kendall_MYOLEG_VP_025,kendall_MYOLEG_VP_026,kendall_MYOLEG_VP_027,kendall_MYOLEG_VP_029,kendall_MYOLEG_VP_030,kendall_MYOLEG_VP_031
MYOLEG_VP_001,1.0,0.9865333333333335,0.9935589743589746,0.9870871794871796,0.9914153846153847,0.9881333333333334,0.9952820512820514,0.9876102564102566,0.9871794871794872,0.9880512820512822,0.9903282051282053,0.993620512820513,0.9925743589743591,0.9918564102564105,0.9899076923076924,0.984297435897436,0.9940410256410257,0.9942358974358976,0.9994153846153847,0.9990256410256411,0.9844512820512822,0.989394871794872,0.9982358974358976,0.9908615384615386
MYOLEG_VP_002,0.9865333333333335,1.0,0.9929743589743592,0.999446153846154,0.9951179487179489,0.9984000000000001,0.9912512820512822,0.9989230769230771,0.9993538461538463,0.9984820512820514,0.9962051282051283,0.9929128205128206,0.9939589743589744,0.9946769230769232,0.9966256410256411,0.9977641025641028,0.9924923076923078,0.992297435897436,0.9871179487179489,0.9855589743589744,0.9979179487179488,0.9971384615384618,0.988297435897436,0.995671794871795
MYOLEG_VP_003,0.9935589743589746,0.9929743589743592,1.0,0.9935282051282053,0.9978564102564104,0.9945743589743591,0.9982769230769232,0.9940512820512821,0.993620512820513,0.9944923076923079,0.9967692307692309,0.9998564102564104,0.9990153846153847,0.998297435897436,0.996348717948718,0.9907384615384616,0.9995179487179489,0.999323076923077,0.9941435897435899,0.9925846153846155,0.9908923076923078,0.9958358974358975,0.9953230769230771,0.9973025641025642
MYOLEG_VP_005,0.9870871794871796,0.999446153846154,0.9935282051282053,1.0,0.995671794871795,0.9989538461538462,0.9918051282051283,0.9994769230769233,0.9998871794871795,0.9990358974358975,0.9967589743589745,0.9934666666666667,0.9945128205128206,0.9952307692307694,0.9971794871794873,0.9972102564102565,0.993046153846154,0.9928512820512821,0.987671794871795,0.9861128205128207,0.9973641025641027,0.9976923076923079,0.9888512820512823,0.9962256410256412
MYOLEG_VP_006,0.9914153846153847,0.9951179487179489,0.9978564102564104,0.995671794871795,1.0,0.9967179487179488,0.9961333333333334,0.996194871794872,0.9957641025641026,0.9966358974358975,0.9989128205128207,0.9977948717948718,0.9988410256410257,0.9995589743589745,0.9984923076923078,0.9928820512820514,0.9973743589743591,0.9971794871794873,0.9920000000000001,0.9904410256410258,0.9930358974358976,0.9979794871794874,0.9931794871794873,0.999446153846154
MYOLEG_VP_007,0.9881333333333334,0.9984000000000001,0.9945743589743591,0.9989538461538462,0.9967179487179488,1.0,0.9928512820512821,0.9994769230769233,0.9990461538461539,0.9997948717948719,0.9978051282051282,0.9945128205128206,0.9955589743589744,0.9962769230769233,0.9982256410256412,0.9961641025641027,0.9940923076923078,0.9938974358974361,0.9887179487179488,0.9871589743589746,0.9963179487179488,0.9987384615384617,0.989897435897436,0.997271794871795
MYOLEG_VP_009,0.9952820512820514,0.9912512820512822,0.9982769230769232,0.9918051282051283,0.9961333333333334,0.9928512820512821,1.0,0.9923282051282053,0.991897435897436,0.9927692307692308,0.995046153846154,0.9983384615384617,0.9972923076923078,0.9965743589743592,0.9946256410256411,0.9890153846153847,0.9987589743589744,0.9989538461538462,0.9958666666666668,0.9943076923076924,0.9891692307692309,0.9941128205128207,0.997046153846154,0.9955794871794873
MYOLEG_VP_010,0.9876102564102566,0.9989230769230771,0.9940512820512821,0.9994769230769233,0.996194871794872,0.9994769230769233,0.9923282051282053,1.0,0.9994666666666668,0.9995589743589745,0.9972820512820514,0.9939897435897437,0.9950358974358976,0.9957538461538462,0.9977025641025643,0.9966871794871796,0.9935692307692309,0.993374358974359,0.9881948717948719,0.9866358974358975,0.9968410256410258,0.9982153846153847,0.9893743589743591,0.9967487179487181
MYOLEG_VP_011,0.9871794871794872,0.9993538461538463,0.993620512820513,0.9998871794871795,0.9957641025641026,0.9990461538461539,0.991897435897436,0.9994666666666668,1.0,0.9990871794871796,0.9968512820512823,0.9935589743589746,0.9946051282051283,0.9953230769230771,0.997271794871795,0.9971179487179489,0.9931384615384616,0.9929435897435899,0.9877641025641026,0.9862051282051284,0.997271794871795,0.9977846153846155,0.9889435897435898,0.9963179487179488
MYOLEG_VP_013,0.9880512820512822,0.9984820512820514,0.9944923076923079,0.9990358974358975,0.9966358974358975,0.9997948717948719,0.9927692307692308,0.9995589743589745,0.9990871794871796,1.0,0.997723076923077,0.9944307692307693,0.9954769230769231,0.996194871794872,0.9981435897435899,0.996246153846154,0.9940102564102565,0.9938153846153848,0.9886358974358976,0.9870769230769232,0.9964000000000001,0.9986564102564104,0.9898153846153848,0.9971897435897437
MYOLEG_VP_014,0.9903282051282053,0.9962051282051283,0.9967692307692309,0.9967589743589745,0.9989128205128207,0.9978051282051282,0.995046153846154,0.9972820512820514,0.9968512820512823,0.997723076923077,1.0,0.9967076923076924,0.9977538461538463,0.9984717948717949,0.9995794871794873,0.9939692307692308,0.9962871794871797,0.9960923076923078,0.9909128205128207,0.9893538461538463,0.9941230769230771,0.9990666666666668,0.9920923076923078,0.9994666666666668
MYOLEG_VP_015,0.993620512820513,0.9929128205128206,0.9998564102564104,0.9934666666666667,0.9977948717948718,0.9945128205128206,0.9983384615384617,0.9939897435897437,0.9935589743589746,0.9944307692307693,0.9967076923076924,1.0,0.9989538461538462,0.9982358974358976,0.9962871794871797,0.9906769230769232,0.9995794871794873,0.9993846153846155,0.9942051282051284,0.992646153846154,0.9908307692307693,0.9957743589743591,0.9953846153846155,0.9972410256410257
MYOLEG_VP_017,0.9925743589743591,0.9939589743589744,0.9990153846153847,0.9945128205128206,0.9988410256410257,0.9955589743589744,0.9972923076923078,0.9950358974358976,0.9946051282051283,0.9954769230769231,0.9977538461538463,0.9989538461538462,1.0,0.9992820512820514,0.9973333333333334,0.991723076923077,0.9985333333333335,0.9983384615384617,0.9931589743589745,0.9916,0.9918769230769232,0.996820512820513,0.9943384615384616,0.9982871794871796
MYOLEG_VP_018,0.9918564102564105,0.9946769230769232,0.998297435897436,0.9952307692307694,0.9995589743589745,0.9962769230769233,0.9965743589743592,0.9957538461538462,0.9953230769230771,0.996194871794872,0.9984717948717949,0.9982358974358976,0.9992820512820514,1.0,0.9980512820512822,0.9924410256410258,0.9978153846153847,0.9976205128205129,0.9924410256410258,0.9908820512820514,0.9925948717948719,0.9975384615384616,0.993620512820513,0.9990051282051283
MYOLEG_VP_019,0.9899076923076924,0.9966256410256411,0.996348717948718,0.9971794871794873,0.9984923076923078,0.9982256410256412,0.9946256410256411,0.9977025641025643,0.997271794871795,0.9981435897435899,0.9995794871794873,0.9962871794871797,0.9973333333333334,0.9980512820512822,1.0,0.9943897435897437,0.9958666666666668,0.995671794871795,0.9904923076923078,0.9889333333333336,0.9945435897435898,0.9994871794871797,0.991671794871795,0.9990461538461539
MYOLEG_VP_021,0.984297435897436,0.9977641025641028,0.9907384615384616,0.9972102564102565,0.9928820512820514,0.9961641025641027,0.9890153846153847,0.9966871794871796,0.9971179487179489,0.996246153846154,0.9939692307692308,0.9906769230769232,0.991723076923077,0.9924410256410258,0.9943897435897437,1.0,0.9902564102564104,0.9900615384615387,0.9848820512820514,0.9833230769230771,0.9998461538461539,0.9949025641025642,0.9860615384615385,0.9934358974358976
MYOLEG_VP_022,0.9940410256410257,0.9924923076923078,0.9995179487179489,0.993046153846154,0.9973743589743591,0.9940923076923078,0.9987589743589744,0.9935692307692309,0.9931384615384616,0.9940102564102565,0.9962871794871797,0.9995794871794873,0.9985333333333335,0.9978153846153847,0.9958666666666668,0.9902564102564104,1.0,0.9997435897435899,0.9946256410256411,0.9930666666666668,0.9904102564102565,0.9953538461538464,0.9958051282051283,0.996820512820513
MYOLEG_VP_023,0.9942358974358976,0.992297435897436,0.999323076923077,0.9928512820512821,0.9971794871794873,0.9938974358974361,0.9989538461538462,0.993374358974359,0.9929435897435899,0.9938153846153848,0.9960923076923078,0.9993846153846155,0.9983384615384617,0.9976205128205129,0.995671794871795,0.9900615384615387,0.9997435897435899,1.0,0.994820512820513,0.9932615384615386,0.9902153846153847,0.9951589743589744,0.9960000000000002,0.9966256410256411
MYOLEG_VP_025,0.9994153846153847,0.9871179487179489,0.9941435897435899,0.987671794871795,0.9920000000000001,0.9887179487179488,0.9958666666666668,0.9881948717948719,0.9877641025641026,0.9886358974358976,0.9909128205128207,0.9942051282051284,0.9931589743589745,0.9924410256410258,0.9904923076923078,0.9848820512820514,0.9946256410256411,0.994820512820513,1.0,0.9984410256410258,0.9850358974358976,0.9899794871794874,0.998820512820513,0.991446153846154
MYOLEG_VP_026,0.9990256410256411,0.9855589743589744,0.9925846153846155,0.9861128205128207,0.9904410256410258,0.9871589743589746,0.9943076923076924,0.9866358974358975,0.9862051282051284,0.9870769230769232,0.9893538461538463,0.992646153846154,0.9916,0.9908820512820514,0.9889333333333336,0.9833230769230771,0.9930666666666668,0.9932615384615386,0.9984410256410258,1.0,0.9834769230769232,0.9884205128205129,0.9972615384615385,0.9898871794871795
MYOLEG_VP_027,0.9844512820512822,0.9979179487179488,0.9908923076923078,0.9973641025641027,0.9930358974358976,0.9963179487179488,0.9891692307692309,0.9968410256410258,0.997271794871795,0.9964000000000001,0.9941230769230771,0.9908307692307693,0.9918769230769232,0.9925948717948719,0.9945435897435898,0.9998461538461539,0.9904102564102565,0.9902153846153847,0.9850358974358976,0.9834769230769232,1.0,0.9950564102564105,0.9862153846153847,0.9935897435897437
MYOLEG_VP_029,0.989394871794872,0.9971384615384618,0.9958358974358975,0.9976923076923079,0.9979794871794874,0.9987384615384617,0.9941128205128207,0.9982153846153847,0.9977846153846155,0.9986564102564104,0.9990666666666668,0.9957743589743591,0.996820512820513,0.9975384615384616,0.9994871794871797,0.9949025641025642,0.9953538461538464,0.9951589743589744,0.9899794871794874,0.9884205128205129,0.9950564102564105,1.0,0.9911589743589745,0.9985333333333335
MYOLEG_VP_030,0.9982358974358976,0.988297435897436,0.9953230769230771,0.9888512820512823,0.9931794871794873,0.989897435897436,0.997046153846154,0.9893743589743591,0.9889435897435898,0.9898153846153848,0.9920923076923078,0.9953846153846155,0.9943384615384616,0.993620512820513,0.991671794871795,0.9860615384615385,0.9958051282051283,0.9960000000000002,0.998820512820513,0.9972615384615385,0.9862153846153847,0.9911589743589745,1.0,0.9926256410256411
MYOLEG_VP_031,0.9908615384615386,0.995671794871795,0.9973025641025642,0.9962256410256412,0.999446153846154,0.997271794871795,0.9955794871794873,0.9967487179487181,0.9963179487179488,0.9971897435897437,0.9994666666666668,0.9972410256410257,0.9982871794871796,0.9990051282051283,0.9990461538461539,0.9934358974358976,0.996820512820513,0.9966256410256411,0.991446153846154,0.9898871794871795,0.9935897435897437,0.9985333333333335,0.9926256410256411,1.0
