subject_i,subject_j,top_fraction,candidate_count,intersection_count,union_count,jaccard,overlap_coefficient
MYOLEG_VP_001,MYOLEG_VP_030,0.05,32,32,32,1.0,1.0
MYOLEG_VP_001,MYOLEG_VP_030,0.1,63,63,63,1.0,1.0
MYOLEG_VP_001,MYOLEG_VP_031,0.01,7,7,7,1.0,1.0
MYOLEG_VP_001,MYOLEG_VP_031,0.05,32,32,32,1.0,1.0
MYOLEG_VP_001,MYOLEG_VP_031,0.1,63,63,63,1.0,1.0
MYOLEG_VP_002,MYOLEG_VP_003,0.01,7,7,7,1.0,1.0
MYOLEG_VP_002,MYOLEG_VP_003,0.05,32,32,32,1.0,1.0
MYOLEG_VP_002,MYOLEG_VP_003,0.1,63,62,64,0.96875,0.9841269841269841
MYOLEG_VP_002,MYOLEG_VP_005,0.01,7,7,7,1.0,1.0
MYOLEG_VP_002,MYOLEG_VP_005,0.05,32,32,32,1.0,1.0
MYOLEG_VP_002,MYOLEG_VP_005,0.1,63,63,63,1.0,1.0
MYOLEG_VP_002,MYOLEG_VP_006,0.01,7,7,7,1.0,1.0
MYOLEG_VP_002,MYOLEG_VP_006,0.05,32,32,32,1.0,1.0
MYOLEG_VP_002,MYOLEG_VP_006,0.1,63,62,64,0.96875,0.9841269841269841
MYOLEG_VP_002,MYOLEG_VP_007,0.01,7,7,7,1.0,1.0
MYOLEG_VP_002,MYOLEG_VP_007,0.05,32,32,32,1.0,1.0
MYOLEG_VP_002,MYOLEG_VP_007,0.1,63,63,63,1.0,1.0
MYOLEG_VP_002,MYOLEG_VP_009,0.01,7,7,7,1.0,1.0
MYOLEG_VP_002,MYOLEG_VP_009,0.05,32,32,32,1.0,1.0
MYOLEG_VP_002,MYOLEG_VP_009,0.1,63,62,64,0.96875,0.9841269841269841
MYOLEG_VP_002,MYOLEG_VP_010,0.01,7,7,7,1.0,1.0
MYOLEG_VP_002,MYOLEG_VP_010,0.05,32,32,32,1.0,1.0
MYOLEG_VP_002,MYOLEG_VP_010,0.1,63,63,63,1.0,1.0
