recipient_subject_id,donor_MYOLEG_VP_001,donor_MYOLEG_VP_002,donor_MYOLEG_VP_003,donor_MYOLEG_VP_005,donor_MYOLEG_VP_006,donor_MYOLEG_VP_007,donor_MYOLEG_VP_009,donor_MYOLEG_VP_010,donor_MYOLEG_VP_011,donor_MYOLEG_VP_013,donor_MYOLEG_VP_014,donor_MYOLEG_VP_015,donor_MYOLEG_VP_017,donor_MYOLEG_VP_018,donor_MYOLEG_VP_019,donor_MYOLEG_VP_021,donor_MYOLEG_VP_022,donor_MYOLEG_VP_023,donor_MYOLEG_VP_025,donor_MYOLEG_VP_026,donor_MYOLEG_VP_027,donor_MYOLEG_VP_029,donor_MYOLEG_VP_030,donor_MYOLEG_VP_031
MYOLEG_VP_001,0.9942456043900652,0.9942456043900652,0.9942456043900652,0.9942456043900652,0.9942456043900652,0.9942456043900652,0.9942456043900652,0.9942456043900652,0.9942456043900652,0.9942456043900652,0.9942456043900652,0.9942456043900652,0.9942456043900652,0.9942456043900652,0.9942456043900652,0.9942456043900652,0.9942456043900652,0.9942456043900652,0.9942456043900652,0.9942456043900652,0.9942456043900652,0.9942456043900652,0.9942456043900652,0.9942456043900652
MYOLEG_VP_002,0.994779848434815,0.994779848434815,0.994779848434815,0.994779848434815,0.994779848434815,0.994779848434815,0.994779848434815,0.994779848434815,0.994779848434815,0.994779848434815,0.994779848434815,0.994779848434815,0.994779848434815,0.994779848434815,0.994779848434815,0.994779848434815,0.994779848434815,0.994779848434815,0.994779848434815,0.994779848434815,0.994779848434815,0.994779848434815,0.994779848434815,0.994779848434815
MYOLEG_VP_003,0.9944821849904519,0.9944821849904519,0.9944821849904519,0.9944821849904519,0.9944821849904519,0.9944821849904519,0.9944821849904519,0.9944821849904519,0.9944821849904519,0.9944821849904519,0.9944821849904519,0.9944821849904519,0.9944821849904519,0.9944821849904519,0.9944821849904519,0.9944821849904519,0.9944821849904519,0.9944821849904519,0.9944821849904519,0.9944821849904519,0.9944821849904519,0.9944821849904519,0.9944821849904519,0.9944821849904519
MYOLEG_VP_005,0.9946843351885692,0.9946843351885692,0.9946843351885692,0.9946843351885692,0.9946843351885692,0.9946843351885692,0.9946843351885692,0.9946843351885692,0.9946843351885692,0.9946843351885692,0.9946843351885692,0.9946843351885692,0.9946843351885692,0.9946843351885692,0.9946843351885692,0.9946843351885692,0.9946843351885692,0.9946843351885692,0.9946843351885692,0.9946843351885692,0.9946843351885692,0.9946843351885692,0.9946843351885692,0.9946843351885692
MYOLEG_VP_006,0.9945534602847065,0.9945534602847065,0.9945534602847065,0.9945534602847065,0.9945534602847065,0.9945534602847065,0.9945534602847065,0.9945534602847065,0.9945534602847065,0.9945534602847065,0.9945534602847065,0.9945534602847065,0.9945534602847065,0.9945534602847065,0.9945534602847065,0.9945534602847065,0.9945534602847065,0.9945534602847065,0.9945534602847065,0.9945534602847065,0.9945534602847065,0.9945534602847065,0.9945534602847065,0.9945534602847065
MYOLEG_VP_007,0.9946964812707473,0.9946964812707473,0.9946964812707473,0.9946964812707473,0.9946964812707473,0.9946964812707473,0.9946964812707473,0.9946964812707473,0.9946964812707473,0.9946964812707473,0.9946964812707473,0.9946964812707473,0.9946964812707473,0.9946964812707473,0.9946964812707473,0.9946964812707473,0.9946964812707473,0.9946964812707473,0.9946964812707473,0.9946964812707473,0.9946964812707473,0.9946964812707473,0.9946964812707473,0.9946964812707473
MYOLEG_VP_009,0.9944805177261201,0.9944805177261201,0.9944805177261201,0.9944805177261201,0.9944805177261201,0.9944805177261201,0.9944805177261201,0.9944805177261201,0.9944805177261201,0.9944805177261201,0.9944805177261201,0.9944805177261201,0.9944805177261201,0.9944805177261201,0.9944805177261201,0.9944805177261201,0.9944805177261201,0.9944805177261201,0.9944805177261201,0.9944805177261201,0.9944805177261201,0.9944805177261201,0.9944805177261201,0.9944805177261201
MYOLEG_VP_010,0.9947352229915446,0.9947352229915446,0.9947352229915446,0.9947352229915446,0.9947352229915446,0.9947352229915446,0.9947352229915446,0.9947352229915446,0.9947352229915446,0.9947352229915446,0.9947352229915446,0.9947352229915446,0.9947352229915446,0.9947352229915446,0.9947352229915446,0.9947352229915446,0.9947352229915446,0.9947352229915446,0.9947352229915446,0.9947352229915446,0.9947352229915446,0.9947352229915446,0.9947352229915446,0.9947352229915446
MYOLEG_VP_011,0.994668422063366,0.994668422063366,0.994668422063366,0.994668422063366,0.994668422063366,0.994668422063366,0.994668422063366,0.994668422063366,0.994668422063366,0.994668422063366,0.994668422063366,0.994668422063366,0.994668422063366,0.994668422063366,0.994668422063366,0.994668422063366,0.994668422063366,0.994668422063366,0.994668422063366,0.994668422063366,0.994668422063366,0.994668422063366,0.994668422063366,0.994668422063366
MYOLEG_VP_013,0.9946937375220644,0.9946937375220644,0.9946937375220644,0.9946937375220644,0.9946937375220644,0.9946937375220644,0.9946937375220644,0.9946937375220644,0.9946937375220644,0.9946937375220644,0.9946937375220644,0.9946937375220644,0.9946937375220644,0.9946937375220644,0.9946937375220644,0.9946937375220644,0.9946937375220644,0.9946937375220644,0.9946937375220644,0.9946937375220644,0.9946937375220644,0.9946937375220644,0.9946937375220644,0.9946937375220644
