subject_id,oracle_j,reference_j,reference_minus_oracle_j,landscape_min_j,landscape_median_j,landscape_max_j,landscape_dynamic_range_j,top5_percent_boundary_j,top5_percent_to_oracle_spread_j
MYOLEG_VP_001,0.9942456043900652,1.0,0.005754395609934848,0.9942456043900652,1.0000301258114748,1.0059308920461305,0.011685287656065357,0.9958892456994847,0.001643641309419519
MYOLEG_VP_002,0.994779848434815,0.9999999999999998,0.0052201515651847386,0.994779848434815,1.0000197083852491,1.0052834014930034,0.010503553058188397,0.99627354178884,0.0014936933540249386
MYOLEG_VP_003,0.9944821849904519,1.0000000000000002,0.005517815009548288,0.9944821849904519,1.0000396231033457,1.005639478540345,0.011157293549893144,0.9960585435166792,0.001576358526227284
MYOLEG_VP_005,0.9946843351885692,1.0000000000000002,0.005315664811430976,0.9946843351885692,1.0000147383245066,1.0053762514395206,0.010691916250951339,0.996205811527494,0.0015214763389247432
MYOLEG_VP_006,0.9945534602847065,1.0,0.005446539715293519,0.9945534602847065,1.0000431862972075,1.0055484727284543,0.010995012443747787,0.9961102058107985,0.0015567455260919738
MYOLEG_VP_007,0.9946964812707473,0.9999999999999997,0.005303518729252388,0.9946964812707473,1.0000167574685601,1.0053703448417755,0.010673863571028175,0.9962143786182559,0.0015178973475086233
MYOLEG_VP_009,0.9944805177261201,0.9999999999999999,0.005519482273879772,0.9944805177261201,1.0000316306299162,1.0056489132683828,0.011168395542262677,0.9960577916570496,0.0015772739309294348
MYOLEG_VP_010,0.9947352229915446,1.0000000000000002,0.005264777008455623,0.9947352229915446,1.0000144863723714,1.0053336681758815,0.010598445184336946,0.9962416754522745,0.0015064524607298901
MYOLEG_VP_011,0.994668422063366,0.9999999999999998,0.005331577936633747,0.994668422063366,1.000013486899581,1.0053901339364626,0.010721711873096562,0.9961945175615593,0.0015260954981932695
MYOLEG_VP_013,0.9946937375220644,0.9999999999999997,0.0053062624779353085,0.9946937375220644,1.0000176979241329,1.0053790158720584,0.010685278349993999,0.9962118578674634,0.0015181203453989989
MYOLEG_VP_014,0.9946031106732772,1.0000000000000002,0.005396889326722998,0.9946031106732772,1.000034479289541,1.0054863639554492,0.01088325328217199,0.9961465701072648,0.0015434594339875929
MYOLEG_VP_015,0.9943383894430852,1.0,0.005661610556914831,0.9943383894430852,1.0000404605459312,1.0057882137282552,0.011449824285170052,0.9959551976976955,0.0016168082546103024
MYOLEG_VP_017,0.9944706740648649,0.9999999999999998,0.005529325935134888,0.9944706740648649,1.0000431262019986,1.0056385325132058,0.011167858448340895,0.9960509544096933,0.0015802803448283775
MYOLEG_VP_018,0.9944255229229682,1.0000000000000002,0.0055744770770320695,0.9944255229229682,1.0000470284251521,1.0056816361139764,0.011256113191008277,0.996018492482709,0.0015929695597408644
MYOLEG_VP_019,0.9946264015903028,1.0,0.0053735984096972,0.9946264015903028,1.0000319417330397,1.005463495037683,0.010837093447380264,0.9961627935116215,0.0015363919213187138
MYOLEG_VP_021,0.9948577359760704,0.9999999999999998,0.005142264023929366,0.9948577359760704,1.0000241698118582,1.0051872138099947,0.010329477833924239,0.996329893382155,0.0014721574060846399
MYOLEG_VP_022,0.99445808368311,1.0000000000000004,0.005541916316890494,0.99445808368311,1.0000383648465143,1.0056704115375403,0.011212327854430382,0.9960408685164446,0.0015827848333346273
MYOLEG_VP_023,0.9944385056818645,1.0000000000000002,0.005561494318135685,0.9944385056818645,1.000036534959813,1.005682088000467,0.011243582318602563,0.9960280962827596,0.00158959060089503
MYOLEG_VP_025,0.9942887693519785,0.9999999999999999,0.00571123064802137,0.9942887693519785,1.00002864401903,1.0058847231412036,0.011595953789225066,0.9959186211085466,0.001629851756568046
MYOLEG_VP_026,0.9941767361021038,1.0,0.005823263897896225,0.9941767361021038,1.0000440400343822,1.0060167136668057,0.011839977564701898,0.9958431606111903,0.0016664245090864949
MYOLEG_VP_027,0.9948252229112654,0.9999999999999998,0.0051747770887343725,0.9948252229112654,1.0000246990517756,1.0052187253436269,0.010393502432361479,0.9963068429024391,0.0014816199911736883
MYOLEG_VP_029,0.9945632533769032,1.0000000000000002,0.005436746623097011,0.9945632533769032,1.000028269782425,1.0055230691085026,0.010959815731599432,0.9961177556887968,0.0015545023118935797
MYOLEG_VP_030,0.9942729852594815,1.0,0.00572701474051851,0.9942729852594815,1.0000322580799377,1.0058891067267735,0.011616121467291962,0.9959078584419893,0.0016348731825077678
MYOLEG_VP_031,0.9945363266729226,0.9999999999999997,0.00546367332707709,0.9945363266729226,1.0000380395513684,1.0055572946678288,0.011020967994906261,0.9960986096878263,0.001562283014903687
