recipient_subject_id,own_oracle_candidate_id,own_oracle_j,best_foreign_oracle_j,mean_foreign_oracle_j,worst_foreign_oracle_j,median_foreign_regret,max_foreign_regret,foreign_oracle_equivalent_fraction
MYOLEG_VP_001,MYOLEG_V3_K0600,0.9942456043900652,0.9942456043900652,0.9942456043900655,0.9942456043900652,0.0,0.0,1.0
MYOLEG_VP_002,MYOLEG_V3_K0600,0.994779848434815,0.994779848434815,0.9947798484348146,0.994779848434815,0.0,0.0,1.0
MYOLEG_VP_003,MYOLEG_V3_K0600,0.9944821849904519,0.9944821849904519,0.9944821849904522,0.9944821849904519,0.0,0.0,1.0
MYOLEG_VP_005,MYOLEG_V3_K0600,0.9946843351885692,0.9946843351885692,0.9946843351885694,0.9946843351885692,0.0,0.0,1.0
MYOLEG_VP_006,MYOLEG_V3_K0600,0.9945534602847065,0.9945534602847065,0.9945534602847065,0.9945534602847065,0.0,0.0,1.0
MYOLEG_VP_007,MYOLEG_V3_K0600,0.9946964812707473,0.9946964812707473,0.9946964812707472,0.9946964812707473,0.0,0.0,1.0
MYOLEG_VP_009,MYOLEG_V3_K0600,0.9944805177261201,0.9944805177261201,0.9944805177261202,0.9944805177261201,0.0,0.0,1.0
MYOLEG_VP_010,MYOLEG_V3_K0600,0.9947352229915446,0.9947352229915446,0.9947352229915445,0.9947352229915446,0.0,0.0,1.0
MYOLEG_VP_011,MYOLEG_V3_K0600,0.994668422063366,0.994668422063366,0.994668422063366,0.994668422063366,0.0,0.0,1.0
MYOLEG_VP_013,MYOLEG_V3_K0600,0.9946937375220644,0.9946937375220644,0.9946937375220639,0.9946937375220644,0.0,0.0,1.0
MYOLEG_VP_014,MYOLEG_V3_K0600,0.9946031106732772,0.9946031106732772,0.9946031106732774,0.9946031106732772,0.0,0.0,1.0
MYOLEG_VP_015,MYOLEG_V3_K0600,0.9943383894430852,0.9943383894430852,0.9943383894430855,0.9943383894430852,0.0,0.0,1.0
MYOLEG_VP_017,MYOLEG_V3_K0600,0.9944706740648649,0.9944706740648649,0.9944706740648648,0.9944706740648649,0.0,0.0,1.0
MYOLEG_VP_018,MYOLEG_V3_K0600,0.9944255229229682,0.9944255229229682,0.9944255229229677,0.9944255229229682,0.0,0.0,1.0
MYOLEG_VP_019,MYOLEG_V3_K0600,0.9946264015903028,0.9946264015903028,0.9946264015903027,0.9946264015903028,0.0,0.0,1.0
MYOLEG_VP_021,MYOLEG_V3_K0600,0.9948577359760704,0.9948577359760704,0.99485773597607,0.9948577359760704,0.0,0.0,1.0
MYOLEG_VP_022,MYOLEG_V3_K0600,0.99445808368311,0.99445808368311,0.99445808368311,0.99445808368311,0.0,0.0,1.0
MYOLEG_VP_023,MYOLEG_V3_K0600,0.9944385056818645,0.9944385056818645,0.9944385056818641,0.9944385056818645,0.0,0.0,1.0
MYOLEG_VP_025,MYOLEG_V3_K0600,0.9942887693519785,0.9942887693519785,0.9942887693519785,0.9942887693519785,0.0,0.0,1.0
MYOLEG_VP_026,MYOLEG_V3_K0600,0.9941767361021038,0.9941767361021038,0.9941767361021041,0.9941767361021038,0.0,0.0,1.0
MYOLEG_VP_027,MYOLEG_V3_K0600,0.9948252229112654,0.9948252229112654,0.9948252229112657,0.9948252229112654,0.0,0.0,1.0
MYOLEG_VP_029,MYOLEG_V3_K0600,0.9945632533769032,0.9945632533769032,0.9945632533769032,0.9945632533769032,0.0,0.0,1.0
MYOLEG_VP_030,MYOLEG_V3_K0600,0.9942729852594815,0.9942729852594815,0.9942729852594815,0.9942729852594815,0.0,0.0,1.0
MYOLEG_VP_031,MYOLEG_V3_K0600,0.9945363266729226,0.9945363266729226,0.9945363266729224,0.9945363266729226,0.0,0.0,1.0
