case_id,metric,A0,A1,A2,A3,A3_minus_A0_total,guard_effect_at_S0_A1_minus_A0,guard_effect_at_S2_A3_minus_A2,stopping_effect_at_G0_A2_minus_A0,stopping_effect_at_G2_A3_minus_A1,factorial_guard_main_effect,factorial_stopping_main_effect,guard_stopping_interaction,dominant_direct_effect,complex_statistical_model_used,data_role
prospective_subject_002__matched_linear,global_truth_regret,0.0207975482133,0.0258263082185,0.0207975482133,0.0258263082185,0.00502876000524,0.00502876000524,0.00502876000524,0,0,0.00502876000524,0,0,GUARD_EFFECT,False,POST_PROSPECTIVE_DEVELOPMENT_ONLY
prospective_subject_002__matched_linear,low_decision_value_exploration_count,7,8,2,2,-5,1,0,-5,-6,0.5,-5.5,-1,STOPPING_EFFECT,False,POST_PROSPECTIVE_DEVELOPMENT_ONLY
prospective_subject_002__matched_linear,correct_local_stops,1,0,1,0,-1,-1,-1,0,0,-1,0,0,GUARD_EFFECT,False,POST_PROSPECTIVE_DEVELOPMENT_ONLY
prospective_subject_002__matched_linear,final_best_alpha_hip,0,0,0,0,0,0,0,0,0,0,0,0,NONE_SUFFICIENT_EXPLAINS_FAILURE,False,POST_PROSPECTIVE_DEVELOPMENT_ONLY
prospective_subject_002__matched_linear,final_best_alpha_knee,-1,0,-1,0,1,1,1,0,0,1,0,0,GUARD_EFFECT,False,POST_PROSPECTIVE_DEVELOPMENT_ONLY
prospective_subject_002__matched_linear,final_best_alpha_phase,0,0,0,0,0,0,0,0,0,0,0,0,NONE_SUFFICIENT_EXPLAINS_FAILURE,False,POST_PROSPECTIVE_DEVELOPMENT_ONLY
prospective_subject_003__combined_strong,number_of_executed_trials,0,0,0,0,0,0,0,0,0,0,0,0,NONE_SUFFICIENT_EXPLAINS_FAILURE,False,POST_PROSPECTIVE_DEVELOPMENT_ONLY
prospective_subject_003__combined_strong,number_of_explore_trials,0,0,0,0,0,0,0,0,0,0,0,0,NONE_SUFFICIENT_EXPLAINS_FAILURE,False,POST_PROSPECTIVE_DEVELOPMENT_ONLY
prospective_subject_003__combined_strong,number_of_exploit_trials,0,0,0,0,0,0,0,0,0,0,0,0,NONE_SUFFICIENT_EXPLAINS_FAILURE,False,POST_PROSPECTIVE_DEVELOPMENT_ONLY
prospective_subject_003__combined_strong,missed_improvement_rounds,1,1,1,1,0,0,0,0,0,0,0,0,NONE_SUFFICIENT_EXPLAINS_FAILURE,False,POST_PROSPECTIVE_DEVELOPMENT_ONLY
prospective_subject_003__combined_strong,premature_conservative_stops,1,1,1,1,0,0,0,0,0,0,0,0,NONE_SUFFICIENT_EXPLAINS_FAILURE,False,POST_PROSPECTIVE_DEVELOPMENT_ONLY
prospective_subject_003__combined_strong,number_of_executed_false_improvements,0,0,0,0,0,0,0,0,0,0,0,0,NONE_SUFFICIENT_EXPLAINS_FAILURE,False,POST_PROSPECTIVE_DEVELOPMENT_ONLY
prospective_subject_003__combined_strong,final_best_actual_J,1,1,1,1,0,0,0,0,0,0,0,0,NONE_SUFFICIENT_EXPLAINS_FAILURE,False,POST_PROSPECTIVE_DEVELOPMENT_ONLY
prospective_subject_003__combined_strong,global_truth_regret,0.0537660518215,0.0537660518215,0.0537660518215,0.0537660518215,0,0,0,0,0,0,0,0,NONE_SUFFICIENT_EXPLAINS_FAILURE,False,POST_PROSPECTIVE_DEVELOPMENT_ONLY
prospective_subject_003__combined_strong,low_decision_value_exploration_count,0,0,0,0,0,0,0,0,0,0,0,0,NONE_SUFFICIENT_EXPLAINS_FAILURE,False,POST_PROSPECTIVE_DEVELOPMENT_ONLY
prospective_subject_003__combined_strong,correct_local_stops,0,0,0,0,0,0,0,0,0,0,0,0,NONE_SUFFICIENT_EXPLAINS_FAILURE,False,POST_PROSPECTIVE_DEVELOPMENT_ONLY
prospective_subject_003__combined_strong,final_best_alpha_hip,0,0,0,0,0,0,0,0,0,0,0,0,NONE_SUFFICIENT_EXPLAINS_FAILURE,False,POST_PROSPECTIVE_DEVELOPMENT_ONLY
prospective_subject_003__combined_strong,final_best_alpha_knee,0,0,0,0,0,0,0,0,0,0,0,0,NONE_SUFFICIENT_EXPLAINS_FAILURE,False,POST_PROSPECTIVE_DEVELOPMENT_ONLY
prospective_subject_003__combined_strong,final_best_alpha_phase,0,0,0,0,0,0,0,0,0,0,0,0,NONE_SUFFICIENT_EXPLAINS_FAILURE,False,POST_PROSPECTIVE_DEVELOPMENT_ONLY
prospective_subject_003__matched_linear,number_of_executed_trials,13,8,8,2,-11,-5,-6,-5,-6,-5.5,-5.5,-1,GUARD_EFFECT,False,POST_PROSPECTIVE_DEVELOPMENT_ONLY
prospective_subject_003__matched_linear,number_of_explore_trials,8,8,3,2,-6,0,-1,-5,-6,-0.5,-5.5,-1,STOPPING_EFFECT,False,POST_PROSPECTIVE_DEVELOPMENT_ONLY
prospective_subject_003__matched_linear,number_of_exploit_trials,5,0,5,0,-5,-5,-5,0,0,-5,0,0,GUARD_EFFECT,False,POST_PROSPECTIVE_DEVELOPMENT_ONLY
prospective_subject_003__matched_linear,missed_improvement_rounds,1,9,1,3,2,8,2,0,-6,5,-3,-6,GUARD_STOPPING_INTERACTION,False,POST_PROSPECTIVE_DEVELOPMENT_ONLY
prospective_subject_003__matched_linear,premature_conservative_stops,0,1,0,1,1,1,1,0,0,1,0,0,GUARD_EFFECT,False,POST_PROSPECTIVE_DEVELOPMENT_ONLY
prospective_subject_003__matched_linear,number_of_executed_false_improvements,0,0,0,0,0,0,0,0,0,0,0,0,NONE_SUFFICIENT_EXPLAINS_FAILURE,False,POST_PROSPECTIVE_DEVELOPMENT_ONLY
prospective_subject_003__matched_linear,final_best_actual_J,0.973706313745,1,0.973706313745,1,0.0262936862545,0.0262936862545,0.0262936862545,0,0,0.0262936862545,0,0,GUARD_EFFECT,False,POST_PROSPECTIVE_DEVELOPMENT_ONLY
prospective_subject_003__matched_linear,global_truth_regret,0.000837074344438,0.0271274717933,0.000837074344438,0.0271274717933,0.0262903974488,0.0262903974488,0.0262903974488,0,0,0.0262903974488,0,0,GUARD_EFFECT,False,POST_PROSPECTIVE_DEVELOPMENT_ONLY
prospective_subject_003__matched_linear,low_decision_value_exploration_count,7,8,2,2,-5,1,0,-5,-6,0.5,-5.5,-1,STOPPING_EFFECT,False,POST_PROSPECTIVE_DEVELOPMENT_ONLY
prospective_subject_003__matched_linear,correct_local_stops,1,0,1,0,-1,-1,-1,0,0,-1,0,0,GUARD_EFFECT,False,POST_PROSPECTIVE_DEVELOPMENT_ONLY
prospective_subject_003__matched_linear,final_best_alpha_hip,0,0,0,0,0,0,0,0,0,0,0,0,NONE_SUFFICIENT_EXPLAINS_FAILURE,False,POST_PROSPECTIVE_DEVELOPMENT_ONLY
prospective_subject_003__matched_linear,final_best_alpha_knee,-5,0,-5,0,5,5,5,0,0,5,0,0,GUARD_EFFECT,False,POST_PROSPECTIVE_DEVELOPMENT_ONLY
prospective_subject_003__matched_linear,final_best_alpha_phase,0,0,0,0,0,0,0,0,0,0,0,0,NONE_SUFFICIENT_EXPLAINS_FAILURE,False,POST_PROSPECTIVE_DEVELOPMENT_ONLY
