path_id,case_id,coordinate,direction,bundle_length,predicted_endpoint_deltaJ,truth_endpoint_deltaJ_posthoc,e_deltaJ_bundle_posthoc,cumulative_direction_correct,declared_path_direction_correct,declared_path_magnitude_ordering_correct,prediction_usefulness,same_formal_parameter_direction,mixed_axis_or_turn_required,calibration_role,future_bundle_uncertainty_updated,data_role
prospective_accumulation_06,prospective_subject_002__hip_knee_coupling_strong,knee,NEGATIVE,2,-0.00257737835785,-0.00280923012695,0.000231851769097,True,True,True,CUMULATIVE_SIGNAL_PRESENT,True,False,POST_HOC_CHARACTERIZATION_NOT_FUTURE_CALIBRATION,False,POST_PROSPECTIVE_DEVELOPMENT_ONLY
prospective_accumulation_06,prospective_subject_002__hip_knee_coupling_strong,knee,NEGATIVE,3,-0.00386123184773,-0.00420746569393,0.000346233846206,True,True,True,CUMULATIVE_SIGNAL_PRESENT,True,False,POST_HOC_CHARACTERIZATION_NOT_FUTURE_CALIBRATION,False,POST_PROSPECTIVE_DEVELOPMENT_ONLY
prospective_accumulation_06,prospective_subject_002__hip_knee_coupling_strong,knee,NEGATIVE,5,-0.00641952663804,-0.00699144118431,0.000571914546273,True,True,True,CUMULATIVE_SIGNAL_PRESENT,True,False,POST_HOC_CHARACTERIZATION_NOT_FUTURE_CALIBRATION,False,POST_PROSPECTIVE_DEVELOPMENT_ONLY
prospective_accumulation_07,prospective_subject_003__matched_linear,knee,NEGATIVE,2,-0.0026943778102,-0.0026943778102,0,True,True,True,CUMULATIVE_SIGNAL_PRESENT,True,False,POST_HOC_CHARACTERIZATION_NOT_FUTURE_CALIBRATION,False,POST_PROSPECTIVE_DEVELOPMENT_ONLY
prospective_accumulation_07,prospective_subject_003__matched_linear,knee,NEGATIVE,3,-0.00403592492962,-0.00403592492962,0,True,True,True,CUMULATIVE_SIGNAL_PRESENT,True,False,POST_HOC_CHARACTERIZATION_NOT_FUTURE_CALIBRATION,False,POST_PROSPECTIVE_DEVELOPMENT_ONLY
prospective_accumulation_07,prospective_subject_003__matched_linear,knee,NEGATIVE,5,-0.00670816217832,-0.00670816217832,0,True,True,True,CUMULATIVE_SIGNAL_PRESENT,True,False,POST_HOC_CHARACTERIZATION_NOT_FUTURE_CALIBRATION,False,POST_PROSPECTIVE_DEVELOPMENT_ONLY
prospective_accumulation_08,prospective_subject_003__combined_strong,knee,NEGATIVE,2,-0.00229342031141,-0.00458675866713,0.00229333835572,True,True,True,CUMULATIVE_SIGNAL_PRESENT,True,False,POST_HOC_CHARACTERIZATION_NOT_FUTURE_CALIBRATION,False,POST_PROSPECTIVE_DEVELOPMENT_ONLY
prospective_accumulation_08,prospective_subject_003__combined_strong,knee,NEGATIVE,3,-0.00343691037742,-0.00685819196233,0.00342128158492,True,True,True,CUMULATIVE_SIGNAL_PRESENT,True,False,POST_HOC_CHARACTERIZATION_NOT_FUTURE_CALIBRATION,False,POST_PROSPECTIVE_DEVELOPMENT_ONLY
prospective_accumulation_08,prospective_subject_003__combined_strong,knee,NEGATIVE,5,-0.00571759915175,-0.0113573784518,0.00563977930004,True,True,True,CUMULATIVE_SIGNAL_PRESENT,True,False,POST_HOC_CHARACTERIZATION_NOT_FUTURE_CALIBRATION,False,POST_PROSPECTIVE_DEVELOPMENT_ONLY
prospective_accumulation_09,prospective_subject_003__combined_strong,knee,NEGATIVE,2,-0.00229342031141,-0.00458675866713,0.00229333835572,True,True,True,CUMULATIVE_SIGNAL_PRESENT,True,False,POST_HOC_CHARACTERIZATION_NOT_FUTURE_CALIBRATION,False,POST_PROSPECTIVE_DEVELOPMENT_ONLY
prospective_accumulation_09,prospective_subject_003__combined_strong,knee,NEGATIVE,3,-0.00343691037742,-0.00685819196233,0.00342128158492,True,True,True,CUMULATIVE_SIGNAL_PRESENT,True,False,POST_HOC_CHARACTERIZATION_NOT_FUTURE_CALIBRATION,False,POST_PROSPECTIVE_DEVELOPMENT_ONLY
prospective_accumulation_09,prospective_subject_003__combined_strong,knee,NEGATIVE,5,-0.00571759915175,-0.0113573784518,0.00563977930004,True,True,True,CUMULATIVE_SIGNAL_PRESENT,True,False,POST_HOC_CHARACTERIZATION_NOT_FUTURE_CALIBRATION,False,POST_PROSPECTIVE_DEVELOPMENT_ONLY
