case_id,subject_id,scenario_name,policy_id,iteration,trajectory_id,support_growth,information_gain,parameter_change_observed,parameter_delta_norm,prediction_map_change_observed,predicted_ranking_changed,predicted_best_trajectory_changed,validation_uncertainty_changed,exploit_eligibility_after,decision_value_zero,consecutive_zero_decision_value,support_alone_used_as_decision_value,future_truth_used_by_stopping,future_exploit_used_by_stopping,future_best_used_by_stopping
prospective_subject_002__matched_linear,prospective_subject_002,matched_linear,P2_V1_G0_C0_S0,8,asym_h+1.750_k+0.000_p+0.00000,550,0.501672508162,False,0,False,False,False,False,False,True,6,False,False,False,False
prospective_subject_002__matched_linear,prospective_subject_002,matched_linear,P2_V1_G0_C0_S0,9,asym_h+2.000_k+0.000_p+0.00000,550,0.456252782868,False,0,False,False,False,False,False,True,7,False,False,False,False
prospective_subject_002__matched_linear,prospective_subject_002,matched_linear,POST_HOC_A1_G2_C0_S0,1,asym_h+0.250_k+0.000_p+0.00000,4450,1.86854077186,False,0,False,False,False,False,False,True,1,False,False,False,False
prospective_subject_002__matched_linear,prospective_subject_002,matched_linear,POST_HOC_A1_G2_C0_S0,2,asym_h+0.500_k+0.000_p+0.00000,550,1.31547778807,False,0,False,False,False,False,False,True,2,False,False,False,False
prospective_subject_002__matched_linear,prospective_subject_002,matched_linear,POST_HOC_A1_G2_C0_S0,3,asym_h+0.750_k+0.000_p+0.00000,550,1.02569758573,False,0,False,False,False,False,False,True,3,False,False,False,False
prospective_subject_002__matched_linear,prospective_subject_002,matched_linear,POST_HOC_A1_G2_C0_S0,4,asym_h+1.000_k+0.000_p+0.00000,550,0.844550355861,False,0,False,False,False,False,False,True,4,False,False,False,False
prospective_subject_002__matched_linear,prospective_subject_002,matched_linear,POST_HOC_A1_G2_C0_S0,5,asym_h+1.250_k+0.000_p+0.00000,550,0.719639008139,False,0,False,False,False,False,False,True,5,False,False,False,False
prospective_subject_002__matched_linear,prospective_subject_002,matched_linear,POST_HOC_A1_G2_C0_S0,6,asym_h+1.500_k+0.000_p+0.00000,550,0.627903553868,False,0,False,False,False,False,False,True,6,False,False,False,False
prospective_subject_002__matched_linear,prospective_subject_002,matched_linear,POST_HOC_A1_G2_C0_S0,7,asym_h+1.750_k+0.000_p+0.00000,550,0.557494372648,False,0,False,False,False,False,False,True,7,False,False,False,False
prospective_subject_002__matched_linear,prospective_subject_002,matched_linear,POST_HOC_A1_G2_C0_S0,8,asym_h+2.000_k+0.000_p+0.00000,550,0.501656455055,False,0,False,False,False,False,False,True,8,False,False,False,False
prospective_subject_002__matched_linear,prospective_subject_002,matched_linear,POST_HOC_A2_G0_C0_S2,1,asym_h+0.250_k+0.000_p+0.00000,4450,1.86854077186,False,0,False,False,False,False,True,False,0,False,False,False,False
prospective_subject_002__matched_linear,prospective_subject_002,matched_linear,POST_HOC_A2_G0_C0_S2,3,asym_h+0.500_k+0.000_p+0.00000,550,1.02587045576,False,0,False,False,False,False,False,True,1,False,False,False,False
prospective_subject_002__matched_linear,prospective_subject_002,matched_linear,POST_HOC_A2_G0_C0_S2,4,asym_h+0.750_k+0.000_p+0.00000,550,0.844640257238,False,0,False,False,False,False,False,True,2,False,False,False,False
prospective_subject_002__matched_linear,prospective_subject_002,matched_linear,P2_V2A_G2_C0_S2,1,asym_h+0.250_k+0.000_p+0.00000,4450,1.86854077186,False,0,False,False,False,False,False,True,1,False,False,False,False
prospective_subject_002__matched_linear,prospective_subject_002,matched_linear,P2_V2A_G2_C0_S2,2,asym_h+0.500_k+0.000_p+0.00000,550,1.31547778807,False,0,False,False,False,False,False,True,2,False,False,False,False
prospective_subject_003__matched_linear,prospective_subject_003,matched_linear,P2_V1_G0_C0_S0,1,asym_h+0.250_k+0.000_p+0.00000,4450,1.86854077188,False,0,False,False,False,False,True,False,0,False,False,False,False
prospective_subject_003__matched_linear,prospective_subject_003,matched_linear,P2_V1_G0_C0_S0,7,asym_h+0.500_k+0.000_p+0.00000,550,0.560015947596,False,0,False,False,False,False,False,True,1,False,False,False,False
prospective_subject_003__matched_linear,prospective_subject_003,matched_linear,P2_V1_G0_C0_S0,8,asym_h+0.750_k+0.000_p+0.00000,550,0.503674225557,False,0,False,False,False,False,False,True,2,False,False,False,False
prospective_subject_003__matched_linear,prospective_subject_003,matched_linear,P2_V1_G0_C0_S0,9,asym_h+1.000_k+0.000_p+0.00000,550,0.457895984594,False,0,False,False,False,False,False,True,3,False,False,False,False
prospective_subject_003__matched_linear,prospective_subject_003,matched_linear,P2_V1_G0_C0_S0,10,asym_h+1.250_k+0.000_p+0.00000,550,0.419934400573,False,0,False,False,False,False,False,True,4,False,False,False,False
prospective_subject_003__matched_linear,prospective_subject_003,matched_linear,P2_V1_G0_C0_S0,11,asym_h+1.500_k+0.000_p+0.00000,550,0.387926374802,False,0,False,False,False,False,False,True,5,False,False,False,False
prospective_subject_003__matched_linear,prospective_subject_003,matched_linear,P2_V1_G0_C0_S0,12,asym_h+1.750_k+0.000_p+0.00000,550,0.360561521213,False,0,False,False,False,False,False,True,6,False,False,False,False
prospective_subject_003__matched_linear,prospective_subject_003,matched_linear,P2_V1_G0_C0_S0,13,asym_h+2.000_k+0.000_p+0.00000,550,0.336890230158,False,0,False,False,False,False,False,True,7,False,False,False,False
prospective_subject_003__matched_linear,prospective_subject_003,matched_linear,POST_HOC_A1_G2_C0_S0,1,asym_h+0.250_k+0.000_p+0.00000,4450,1.86854077188,False,0,False,False,False,False,False,True,1,False,False,False,False
prospective_subject_003__matched_linear,prospective_subject_003,matched_linear,POST_HOC_A1_G2_C0_S0,2,asym_h+0.500_k+0.000_p+0.00000,550,1.31547778813,False,0,False,False,False,False,False,True,2,False,False,False,False
prospective_subject_003__matched_linear,prospective_subject_003,matched_linear,POST_HOC_A1_G2_C0_S0,3,asym_h+0.750_k+0.000_p+0.00000,550,1.02569758581,False,0,False,False,False,False,False,True,3,False,False,False,False
prospective_subject_003__matched_linear,prospective_subject_003,matched_linear,POST_HOC_A1_G2_C0_S0,4,asym_h+1.000_k+0.000_p+0.00000,550,0.844550355999,False,0,False,False,False,False,False,True,4,False,False,False,False
prospective_subject_003__matched_linear,prospective_subject_003,matched_linear,POST_HOC_A1_G2_C0_S0,5,asym_h+1.250_k+0.000_p+0.00000,550,0.719639008224,False,0,False,False,False,False,False,True,5,False,False,False,False
prospective_subject_003__matched_linear,prospective_subject_003,matched_linear,POST_HOC_A1_G2_C0_S0,6,asym_h+1.500_k+0.000_p+0.00000,550,0.627903553914,False,0,False,False,False,False,False,True,6,False,False,False,False
prospective_subject_003__matched_linear,prospective_subject_003,matched_linear,POST_HOC_A1_G2_C0_S0,7,asym_h+1.750_k+0.000_p+0.00000,550,0.557494372664,False,0,False,False,False,False,False,True,7,False,False,False,False
prospective_subject_003__matched_linear,prospective_subject_003,matched_linear,POST_HOC_A1_G2_C0_S0,8,asym_h+2.000_k+0.000_p+0.00000,550,0.501656455044,False,0,False,False,False,False,False,True,8,False,False,False,False
prospective_subject_003__matched_linear,prospective_subject_003,matched_linear,POST_HOC_A2_G0_C0_S2,1,asym_h+0.250_k+0.000_p+0.00000,4450,1.86854077188,False,0,False,False,False,False,True,False,0,False,False,False,False
prospective_subject_003__matched_linear,prospective_subject_003,matched_linear,POST_HOC_A2_G0_C0_S2,7,asym_h+0.500_k+0.000_p+0.00000,550,0.560015947596,False,0,False,False,False,False,False,True,1,False,False,False,False
prospective_subject_003__matched_linear,prospective_subject_003,matched_linear,POST_HOC_A2_G0_C0_S2,8,asym_h+0.750_k+0.000_p+0.00000,550,0.503674225557,False,0,False,False,False,False,False,True,2,False,False,False,False
prospective_subject_003__matched_linear,prospective_subject_003,matched_linear,P2_V2A_G2_C0_S2,1,asym_h+0.250_k+0.000_p+0.00000,4450,1.86854077188,False,0,False,False,False,False,False,True,1,False,False,False,False
prospective_subject_003__matched_linear,prospective_subject_003,matched_linear,P2_V2A_G2_C0_S2,2,asym_h+0.500_k+0.000_p+0.00000,550,1.31547778813,False,0,False,False,False,False,False,True,2,False,False,False,False
