path_id,case_id,coordinate,direction,policy_id,old_G2_single_step_margin,old_G2_first_step_authorized,bundle_scale_used,predicted_cumulative_improvement,calibrated_uncertainty,bundle_lower_bound_margin,first_step_authorized,posthoc_truth_cumulative_delta_J,posthoc_truth_supports_bundle,recovered_true_accumulation_path,truth_used_for_authorization,rule_modified_for_path
prospective_accumulation_06,prospective_subject_002__hip_knee_coupling_strong,knee,NEGATIVE,R2_G0_BUNDLE_SCALE_P95_S2,-0.00414057144799,False,5,0.00641952663804,0.00400496043747,-0.00258543379943,False,-0.00699144118431,True,False,False,False
prospective_accumulation_06,prospective_subject_002__hip_knee_coupling_strong,knee,NEGATIVE,R3_G0_BUNDLE_SCALE_P99_S2,-0.00414057144799,False,2,0.00257737835785,0.00338315735589,-0.00580577899804,False,-0.00280923012695,False,False,False,False
prospective_accumulation_06,prospective_subject_002__hip_knee_coupling_strong,knee,NEGATIVE,R4_G0_BUNDLE_SCALE_AXIS_P95_S2,-0.00414057144799,False,2,0.00257737835785,0.00279673276554,-0.00521935440769,False,-0.00280923012695,False,False,False,False
prospective_accumulation_07,prospective_subject_003__matched_linear,knee,NEGATIVE,R1_G0_BUNDLE_SCALE_P95_S0,-0.00408174792191,False,5,0.00670816217832,0.00400496043747,-0.00229679825915,False,-0.00670816217832,True,False,False,False
prospective_accumulation_07,prospective_subject_003__matched_linear,knee,NEGATIVE,R2_G0_BUNDLE_SCALE_P95_S2,-0.00408174792191,False,5,0.00670816217832,0.00400496043747,-0.00229679825915,False,-0.00670816217832,True,False,False,False
prospective_accumulation_07,prospective_subject_003__matched_linear,knee,NEGATIVE,R3_G0_BUNDLE_SCALE_P99_S2,-0.00408174792191,False,2,0.0026943778102,0.00338315735589,-0.00568877954569,False,-0.0026943778102,False,False,False,False
prospective_accumulation_07,prospective_subject_003__matched_linear,knee,NEGATIVE,R4_G0_BUNDLE_SCALE_AXIS_P95_S2,-0.00408174792191,False,2,0.0026943778102,0.00279673276554,-0.00510235495534,False,-0.0026943778102,False,False,False,False
prospective_accumulation_08,prospective_subject_003__combined_strong,knee,NEGATIVE,R1_G0_BUNDLE_SCALE_P95_S0,-0.00428312330172,False,5,0.00571759915175,0.00400496043747,-0.00328736128572,False,-0.0113573784518,True,False,False,False
prospective_accumulation_08,prospective_subject_003__combined_strong,knee,NEGATIVE,R2_G0_BUNDLE_SCALE_P95_S2,-0.00428312330172,False,5,0.00571759915175,0.00400496043747,-0.00328736128572,False,-0.0113573784518,True,False,False,False
prospective_accumulation_08,prospective_subject_003__combined_strong,knee,NEGATIVE,R3_G0_BUNDLE_SCALE_P99_S2,-0.00428312330172,False,2,0.00229342031141,0.00338315735589,-0.00608973704448,False,-0.00458675866713,False,False,False,False
prospective_accumulation_08,prospective_subject_003__combined_strong,knee,NEGATIVE,R4_G0_BUNDLE_SCALE_AXIS_P95_S2,-0.00428312330172,False,2,0.00229342031141,0.00279673276554,-0.00550331245413,False,-0.00458675866713,False,False,False,False
prospective_accumulation_09,prospective_subject_003__combined_strong,knee,NEGATIVE,R1_G0_BUNDLE_SCALE_P95_S0,-0.00428312330172,False,5,0.00571759915175,0.00400496043747,-0.00328736128572,False,-0.0113573784518,True,False,False,False
prospective_accumulation_09,prospective_subject_003__combined_strong,knee,NEGATIVE,R2_G0_BUNDLE_SCALE_P95_S2,-0.00428312330172,False,5,0.00571759915175,0.00400496043747,-0.00328736128572,False,-0.0113573784518,True,False,False,False
prospective_accumulation_09,prospective_subject_003__combined_strong,knee,NEGATIVE,R3_G0_BUNDLE_SCALE_P99_S2,-0.00428312330172,False,2,0.00229342031141,0.00338315735589,-0.00608973704448,False,-0.00458675866713,False,False,False,False
prospective_accumulation_09,prospective_subject_003__combined_strong,knee,NEGATIVE,R4_G0_BUNDLE_SCALE_AXIS_P95_S2,-0.00428312330172,False,2,0.00229342031141,0.00279673276554,-0.00550331245413,False,-0.00458675866713,False,False,False,False
