policy_id,stopping_rule_id,stopping_k,trials,EXPLORE,EXPLOIT,low_value_exploration,missed_improvement,false_improvement,final_J,regret,trials_removed_vs_R1,final_J_change_vs_R1,regret_change_vs_R1,S2_K_tuned_from_shadow
R1_G0_BUNDLE_SCALE_P95_S0,S0_CURRENT_CONTINUATION,,87,56,31,50,13,0,0.987946423796,0.0229902885925,0,0,0,False
R2_G0_BUNDLE_SCALE_P95_S2,S2_DECISION_VALUE_K2,2,51,20,31,14,13,0,0.987946423796,0.0229902885925,36,0,0,False
