authorization_id,iteration,policy_id,bundle_policy_id,coordinate,direction,bundle_length,start_trajectory_id,first_step_trajectory_id,endpoint_trajectory_id,start_alpha_hip,start_alpha_knee,start_alpha_phase,first_step_alpha_hip,first_step_alpha_knee,first_step_alpha_phase,endpoint_alpha_hip,endpoint_alpha_knee,endpoint_alpha_phase,intermediate_trajectory_ids,predicted_cumulative_delta_J,calibrated_uncertainty,uncertainty_percentile,uncertainty_stratification,meaningful_improvement_tolerance,bundle_lower_bound_margin,path_exists,formal_neighbor_continuous,same_axis,direction_consistent,mixed_axis,direction_reversal,all_intermediate_nodes_admissible,patient_envelope_compliant,all_nodes_model_supported,support_gate_percent,reference_provenance_valid,bundle_evidence_authorizes_next_step,selected_authorization,authorized_execution_count,queued_later_steps,authorization_lifetime,authorization_invalidated_after_execution,truth_used_for_authorization,case_id,subject_id,scenario_name,start_J_truth_posthoc,endpoint_J_truth_posthoc,truth_cumulative_delta_J_posthoc,truth_bundle_meaningful_improvement,bundle_induced_false_improvement,posthoc_truth_fed_back_to_policy
bundle_auth_b2c504f8be459c23910f13dd,1,R1_G0_BUNDLE_SCALE_P95_S0,BUNDLE_SUPPORTED_ONE_STEP_COMMITMENT_V1,knee,POSITIVE,3,asym_h+0.000_k+0.000_p+0.00000,asym_h+0.000_k+0.250_p+0.00000,asym_h+0.000_k+0.750_p+0.00000,0,0,0,0,0.25,0,0,0.75,0,asym_h+0.000_k+0.250_p+0.00000;asym_h+0.000_k+0.500_p+0.00000,0.00448136400751,0.00244544326845,P95,SCALE_ONLY,0.005,-0.011926807276,True,True,True,True,False,False,True,True,False,90,True,False,False,0,False,CURRENT_ITERATION_ONLY,False,False,baseline__matched_linear,baseline,matched_linear,1,1.00448136401,0.00448136400746,False,False,False
bundle_auth_52d20554aa828c91ff0b564f,1,R1_G0_BUNDLE_SCALE_P95_S0,BUNDLE_SUPPORTED_ONE_STEP_COMMITMENT_V1,knee,POSITIVE,5,asym_h+0.000_k+0.000_p+0.00000,asym_h+0.000_k+0.250_p+0.00000,asym_h+0.000_k+1.250_p+0.00000,0,0,0,0,0.25,0,0,1.25,0,asym_h+0.000_k+0.250_p+0.00000;asym_h+0.000_k+0.500_p+0.00000;asym_h+0.000_k+0.750_p+0.00000;asym_h+0.000_k+1.000_p+0.00000,0.00749354706133,0.00400496043747,P95,SCALE_ONLY,0.005,-0.0164985074988,True,True,True,True,False,False,True,True,False,90,True,False,False,0,False,CURRENT_ITERATION_ONLY,False,False,baseline__matched_linear,baseline,matched_linear,1,1.00749354706,0.00749354706123,False,False,False
bundle_auth_d110c43cfc95d65c0946e519,1,R1_G0_BUNDLE_SCALE_P95_S0,BUNDLE_SUPPORTED_ONE_STEP_COMMITMENT_V1,phase,NEGATIVE,2,asym_h+0.000_k+0.000_p+0.00000,asym_h+0.000_k+0.000_p-0.00250,asym_h+0.000_k+0.000_p-0.00500,0,0,0,0,0,-0.0025,0,0,-0.005,asym_h+0.000_k+0.000_p-0.00250,4.80682563919e-05,0.00164217053717,P95,SCALE_ONLY,0.005,-0.00669023879356,True,True,True,True,False,False,True,True,False,90,True,False,False,0,False,CURRENT_ITERATION_ONLY,False,False,baseline__matched_linear,baseline,matched_linear,1,1.00004806826,4.80682563802e-05,False,False,False
bundle_auth_627e068b6a1ccf65abf71c39,1,R1_G0_BUNDLE_SCALE_P95_S0,BUNDLE_SUPPORTED_ONE_STEP_COMMITMENT_V1,phase,NEGATIVE,3,asym_h+0.000_k+0.000_p+0.00000,asym_h+0.000_k+0.000_p-0.00250,asym_h+0.000_k+0.000_p-0.00750,0,0,0,0,0,-0.0025,0,0,-0.0075,asym_h+0.000_k+0.000_p-0.00250;asym_h+0.000_k+0.000_p-0.00500,7.34552709676e-05,0.00244544326845,P95,SCALE_ONLY,0.005,-0.00751889853942,True,True,True,True,False,False,True,True,False,90,True,False,False,0,False,CURRENT_ITERATION_ONLY,False,False,baseline__matched_linear,baseline,matched_linear,1,1.00007345527,7.34552709496e-05,False,False,False
bundle_auth_5ea77702642f6f1dcd0dcf83,1,R1_G0_BUNDLE_SCALE_P95_S0,BUNDLE_SUPPORTED_ONE_STEP_COMMITMENT_V1,phase,NEGATIVE,5,asym_h+0.000_k+0.000_p+0.00000,asym_h+0.000_k+0.000_p-0.00250,asym_h+0.000_k+0.000_p-0.01250,0,0,0,0,0,-0.0025,0,0,-0.0125,asym_h+0.000_k+0.000_p-0.00250;asym_h+0.000_k+0.000_p-0.00500;asym_h+0.000_k+0.000_p-0.00750;asym_h+0.000_k+0.000_p-0.01000,0.000126565989707,0.00400496043747,P95,SCALE_ONLY,0.005,-0.00913152642718,True,True,True,True,False,False,True,True,False,90,True,False,False,0,False,CURRENT_ITERATION_ONLY,False,False,baseline__matched_linear,baseline,matched_linear,1,1.00012656599,0.000126565989677,False,False,False
bundle_auth_48fdcfabc5418e067e50ff18,1,R1_G0_BUNDLE_SCALE_P95_S0,BUNDLE_SUPPORTED_ONE_STEP_COMMITMENT_V1,phase,POSITIVE,2,asym_h+0.000_k+0.000_p+0.00000,asym_h+0.000_k+0.000_p+0.00250,asym_h+0.000_k+0.000_p+0.00500,0,0,0,0,0,0.0025,0,0,0.005,asym_h+0.000_k+0.000_p+0.00250,-4.55288041314e-05,0.00164217053717,P95,SCALE_ONLY,0.005,-0.00659664173304,True,True,True,True,False,False,True,True,False,90,True,False,False,0,False,CURRENT_ITERATION_ONLY,False,False,baseline__matched_linear,baseline,matched_linear,1,0.999954471196,-4.55288041202e-05,False,False,False
bundle_auth_453725ab1a8054fac3151fc6,1,R1_G0_BUNDLE_SCALE_P95_S0,BUNDLE_SUPPORTED_ONE_STEP_COMMITMENT_V1,phase,POSITIVE,3,asym_h+0.000_k+0.000_p+0.00000,asym_h+0.000_k+0.000_p+0.00250,asym_h+0.000_k+0.000_p+0.00750,0,0,0,0,0,0.0025,0,0,0.0075,asym_h+0.000_k+0.000_p+0.00250;asym_h+0.000_k+0.000_p+0.00500,-6.68993619088e-05,0.00244544326845,P95,SCALE_ONLY,0.005,-0.00737854390654,True,True,True,True,False,False,True,True,False,90,True,False,False,0,False,CURRENT_ITERATION_ONLY,False,False,baseline__matched_linear,baseline,matched_linear,1,0.999933100638,-6.68993618921e-05,False,False,False
bundle_auth_cb1e9040b1d7e07f54c1e9d8,1,R1_G0_BUNDLE_SCALE_P95_S0,BUNDLE_SUPPORTED_ONE_STEP_COMMITMENT_V1,phase,POSITIVE,5,asym_h+0.000_k+0.000_p+0.00000,asym_h+0.000_k+0.000_p+0.00250,asym_h+0.000_k+0.000_p+0.01250,0,0,0,0,0,0.0025,0,0,0.0125,asym_h+0.000_k+0.000_p+0.00250;asym_h+0.000_k+0.000_p+0.00500;asym_h+0.000_k+0.000_p+0.00750;asym_h+0.000_k+0.000_p+0.01000,-0.00010715262485,0.00400496043747,P95,SCALE_ONLY,0.005,-0.00889780781262,True,True,True,True,False,False,True,True,False,90,True,False,False,0,False,CURRENT_ITERATION_ONLY,False,False,baseline__matched_linear,baseline,matched_linear,1,0.999892847375,-0.000107152624822,False,False,False
bundle_auth_d7a5ae2e8ae1fa6f4bf497b5,7,R1_G0_BUNDLE_SCALE_P95_S0,BUNDLE_SUPPORTED_ONE_STEP_COMMITMENT_V1,hip,NEGATIVE,2,asym_h+0.000_k-5.000_p+0.00000,asym_h-0.250_k-5.000_p+0.00000,asym_h-0.500_k-5.000_p+0.00000,0,-5,0,-0.25,-5,0,-0.5,-5,0,asym_h-0.250_k-5.000_p+0.00000,0.000904145892747,0.00164217053717,P95,SCALE_ONLY,0.005,-0.00754631642992,True,True,True,True,False,False,True,True,True,90,True,False,False,0,False,CURRENT_ITERATION_ONLY,False,False,baseline__matched_linear,baseline,matched_linear,0.971233542624,0.972137688516,0.000904145892702,False,False,False
bundle_auth_3ee15d74c3dfe26b066fb375,7,R1_G0_BUNDLE_SCALE_P95_S0,BUNDLE_SUPPORTED_ONE_STEP_COMMITMENT_V1,hip,NEGATIVE,3,asym_h+0.000_k-5.000_p+0.00000,asym_h-0.250_k-5.000_p+0.00000,asym_h-0.750_k-5.000_p+0.00000,0,-5,0,-0.25,-5,0,-0.75,-5,0,asym_h-0.250_k-5.000_p+0.00000;asym_h-0.500_k-5.000_p+0.00000,0.0013633259811,0.00244544326845,P95,SCALE_ONLY,0.005,-0.00880876924955,True,True,True,True,False,False,True,True,True,90,True,False,False,0,False,CURRENT_ITERATION_ONLY,False,False,baseline__matched_linear,baseline,matched_linear,0.971233542624,0.972596868605,0.00136332598103,False,False,False
