rom_protocol_version,theta_shank_definition,q_hip_rad,q_knee_rad,theta_shank_rad,q_hip_deg,q_knee_deg,x_knee,z_knee,x_pull,z_pull,reachable,near_singular,jacobian_determinant,jacobian_condition_number,jacobian_near_singular,jacobian_mapping_valid
ROM_PROTOCOL_V2,q_hip - q_knee,0.0,0.08726646259971647,-0.08726646259971647,0.0,5.0,0.42,0.0,0.7188584094275237,-0.02614672282429745,False,False,0.010981623586204926,55.296237658831004,False,True
ROM_PROTOCOL_V2,q_hip - q_knee,0.0,0.10471975511965978,-0.10471975511965978,0.0,6.0,0.42,0.0,0.718356568610482,-0.03135853898029604,False,False,0.013170586371724337,46.067320149678,False,True
ROM_PROTOCOL_V2,q_hip - q_knee,0.0,0.12217304763960307,-0.12217304763960307,0.0,7.0,0.42,0.0,0.7177638454923966,-0.03656080302154424,False,False,0.015355537269048576,39.47322768003224,False,True
ROM_PROTOCOL_V2,q_hip - q_knee,0.0,0.13962634015954636,-0.13962634015954636,0.0,8.0,0.42,0.0,0.717080420622471,-0.04175193028801963,False,False,0.01753581072096824,34.52590016428341,False,True
ROM_PROTOCOL_V2,q_hip - q_knee,0.0,0.15707963267948966,-0.15707963267948966,0.0,9.0,0.42,0.0,0.7163065021785413,-0.046930339512069257,False,False,0.019710742595069084,30.676415237135604,False,True
ROM_PROTOCOL_V2,q_hip - q_knee,0.0,0.17453292519943295,-0.17453292519943295,0.0,10.0,0.42,0.0,0.7154423259036624,-0.0520944533000791,False,False,0.021879670386033223,27.595419393311104,False,True
ROM_PROTOCOL_V2,q_hip - q_knee,0.0,0.19198621771937624,-0.19198621771937624,0.0,11.0,0.42,0.0,0.7144881550342992,-0.05724269861296344,False,False,0.024041933417444643,25.073323960125162,False,True
ROM_PROTOCOL_V2,q_hip - q_knee,0.0,0.20943951023931956,-0.20943951023931956,0.0,12.0,0.42,0.0,0.7134442802201417,-0.0623735072453278,False,False,0.026196873043037684,22.970403083758427,False,True
ROM_PROTOCOL_V2,q_hip - q_knee,0.0,0.22689280275926285,-0.22689280275926285,0.0,13.0,0.42,0.0,0.7123110194355706,-0.0674853163031595,False,False,0.028343832847326986,21.189923414157587,False,True
ROM_PROTOCOL_V2,q_hip - q_knee,0.0,0.24434609527920614,-0.24434609527920614,0.0,14.0,0.42,0.0,0.7110887178827989,-0.07257656867990031,False,False,0.030482158845558126,19.662789639251685,False,True
ROM_PROTOCOL_V2,q_hip - q_knee,0.0,0.2617993877991494,-0.2617993877991494,0.0,15.0,0.42,0.0,0.7097777478867204,-0.07764571353075622,False,False,0.032611199682917605,18.33833180546816,False,True
ROM_PROTOCOL_V2,q_hip - q_knee,0.0,0.2792526803190927,-0.2792526803190927,0.0,16.0,0.42,0.0,0.7083785087814957,-0.08269120674509975,False,False,0.03473030683294189,17.178547393044308,False,True
ROM_PROTOCOL_V2,q_hip - q_knee,0.0,0.29670597283903605,-0.29670597283903605,0.0,17.0,0.42,0.0,0.7068914267889106,-0.08771151141682103,False,False,0.03683883479506484,16.154375600040293,False,True
ROM_PROTOCOL_V2,q_hip - q_knee,0.0,0.3141592653589793,-0.3141592653589793,0.0,18.0,0.42,0.0,0.7053169548885461,-0.09270509831248422,False,False,0.03893614129124336,15.24321353167101,False,True
ROM_PROTOCOL_V2,q_hip - q_knee,0.0,0.33161255787892263,-0.33161255787892263,0.0,19.0,0.42,0.0,0.7036555726797951,-0.09767044633714701,False,False,0.04102158746160176,14.42721675089071,False,True
ROM_PROTOCOL_V2,q_hip - q_knee,0.0,0.3490658503988659,-0.3490658503988659,0.0,20.0,0.42,0.0,0.7019077862357725,-0.10260604299770061,False,False,0.04309453805903427,13.692109663792785,False,True
